Class,Size,Ties,Pairs,Density,AvgDist,Diameter,nWeakComp,pWeakComp,2StepReach,ReachEffic,Broker,nBroker,EgoBetween,nEgoBetween,Size2,Ties2,Pairs2,Density2,AvgDist2,Diameter2,nWeakComp2,pWeakComp2,2StepReach2,ReachEffic2,Broker2,nBroker2,EgoBetween2,nEgoBetween2,Size3,Ties3,Pairs3,Density3,AvgDist3,Diameter3,nWeakComp3,pWeakComp3,2StepReach3,ReachEffic3,Broker3,nBroker3,EgoBetween3,nEgoBetween3,Degree,NrmDegree,Share,OutDegree,InDegree,NrmOutDeg,NrmInDeg,Clus Coef,nPairs,Eigenvec,nEigenvec,Power,Normalized Power,inFarness,outFarness,inCloseness,outCloseness,OutdwReach,IndwReach,nOutdwReach,nIndwReach,Betweenness,nBetweenness,Betweenness2,EffSize,Efficiency,Constraint,Hierarchy,Indirects,name, version,name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug,bug_2
main\org\apache\tools\ant\taskdefs\ExecuteOn.java-->ExecuteOn,10,18,90,20,,,1,10,45.277779,41.37056,36,0.4,8,8.888889,2,0,2,0,,,2,100,2.777778,90.909088,1,0.5,0,0,8,12,56,21.428572,,,1,12.5,45.277779,42.558746,22,0.392857,0,0,10,2.777778,0.004921,8,2,2.222222,0.555556,0.2,45,0.091852,12.98983,17.648897,3.588101,129240,121343,0.278552,0.29668,15.999999,3,0.044321,0.00831,18.5,0.014314,0.049122,6.5,0.65,0.150211,0.020059,0.212229,ant,1.3,org.apache.tools.ant.taskdefs.ExecuteOn,11,4,2,14,42,29,2,12,5,0.725,395,1,1,0.885057471,0.232323232,3,4,34.54545455,3,1.2727,0,0
main\org\apache\tools\ant\DefaultLogger.java-->DefaultLogger,6,11,30,36.666668,,,1,16.666666,31.666666,80.281693,9.5,0.316667,1.333333,4.444445,3,0,6,0,,,3,100,3.611111,72.222221,3,0.5,0,0,3,4,6,66.666664,,,1,33.333332,31.111111,90.322578,1,0.166667,0,0,6,1.666667,0.002953,3,3,0.833333,0.833333,0.366667,15,0.032442,4.587966,6.541779,1.329973,128521,126372,0.28011,0.284873,6.833333,4.5,0.018929,0.012465,3.916667,0.003031,0.061776,3.25,0.541667,0.322276,0.031093,0.370985,ant,1.3,org.apache.tools.ant.DefaultLogger,14,1,1,8,32,49,4,4,12,0.835164835,257,1,0,0,0.307692308,0,0,16.85714286,6,1.6429,2,1
main\org\apache\tools\ant\taskdefs\TaskOutputStream.java-->TaskOutputStream,1,0,0,,0,0,1,100,27.777779,100,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,1,100,27.777779,100,0,,0,,1,0.277778,0.000492,1,0,0.277778,0,,0,0.019087,2.699343,2.309126,0.469456,129960,126734,0.277008,0.28406,5.166667,1,0.014312,0.00277,0,0,0,1,1,1,1,0,ant,1.3,org.apache.tools.ant.taskdefs.TaskOutputStream,3,2,0,1,9,0,0,1,1,0,58,1,1,0.714285714,0.666666667,1,1,17.33333333,1,0.6667,0,0
main\org\apache\tools\ant\taskdefs\Cvs.java-->Cvs,6,7,30,23.333334,,,1,16.666666,40.833332,65.333336,11.5,0.383333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,30,23.333334,,,1,16.666666,40.833332,65.333336,11.5,0.383333,0,0,6,1.666667,0.002953,6,0,1.666667,0,0.233333,15,0.049967,7.066378,10.546611,2.144174,129960,124220,0.277008,0.289808,10.816667,1,0.029963,0.00277,0,0,0.158742,3.666667,0.611111,0.219159,0.008574,0.142378,ant,1.3,org.apache.tools.ant.taskdefs.Cvs,12,3,0,12,37,32,0,12,12,0.858585859,310,1,1,0.770833333,0.458333333,0,0,24.08333333,3,1.4167,0,0
main\org\apache\tools\ant\taskdefs\Copyfile.java-->Copyfile,2,0,2,0,,,2,100,43.333332,65.271965,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,,,2,100,43.333332,65.271965,1,0.5,0,0,2,0.555556,0.000984,2,0,0.555556,0,0,1,0.044834,6.340446,3.524138,0.716473,129960,126732,0.277008,0.284064,5.833333,1,0.016159,0.00277,0,0,0.001798,2,1,0.5,0,0,ant,1.3,org.apache.tools.ant.taskdefs.Copyfile,6,3,0,4,21,1,0,4,6,0.7,136,1,0,0.880952381,0.416666667,2,2,21,1,0.8333,0,0
main\org\apache\tools\ant\util\GlobPatternMapper.java-->GlobPatternMapper,2,0,2,0,,,2,100,3.333333,100,1,0.5,0,0,2,0,2,0,,,2,100,3.333333,100,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.555556,0.000984,0,2,0,0.555556,0,1,0.005088,0.71952,-0.000001,0,127090,129960,0.283264,0.277008,1,5.333333,0.00277,0.014774,0,0,0.518415,2,1,0.5,0,0,ant,1.3,org.apache.tools.ant.util.GlobPatternMapper,5,1,0,3,15,0,2,1,4,0.5,137,1,0,0,0.9,0,0,25.2,4,1.8,0,0
main\org\apache\tools\ant\taskdefs\Move.java-->Move,3,1,6,16.666666,,,2,66.666664,43.611111,58.148148,2.5,0.416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,6,16.666666,,,2,66.666664,43.611111,58.148148,2.5,0.416667,0,0,3,0.833333,0.001476,3,0,0.833333,0,0.166667,3,0.053699,7.594238,6.657302,1.35346,129960,124936,0.277008,0.288148,8.833334,1,0.024469,0.00277,0,0,0.002505,2.333333,0.777778,0.342222,0.00034,0.013151,ant,1.3,org.apache.tools.ant.taskdefs.Move,4,4,0,6,32,6,0,6,1,2,325,0,0,0.963855422,0.75,3,5,80.25,11,5.25,0,0
main\org\apache\tools\tar\TarInputStream.java-->TarInputStream,3,1,6,16.666666,,,2,66.666664,2.5,75,2.5,0.416667,1,16.666666,1,0,0,,0,0,1,100,1.388889,100,0,,0,,2,0,2,0,,,2,100,1.666667,85.714287,1,0.5,0,0,3,0.833333,0.001476,2,1,0.555556,0.277778,0.166667,3,0.003042,0.430209,2.214989,0.450317,129600,128881,0.277778,0.279327,3.5,2,0.009695,0.00554,1,0.000774,0.24532,2.333333,0.777778,0.431111,0.012234,0.133333,ant,1.3,org.apache.tools.tar.TarInputStream,16,3,0,3,40,84,1,2,16,0.658333333,604,1,2,0.580645161,0.291666667,2,7,36.25,1,0.8125,0,0
main\org\apache\tools\ant\taskdefs\CompileTask.java-->CompileTask,4,3,12,25,,,2,50,30.277779,77.85714,4.5,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,12,25,,,2,50,30.277779,77.85714,4.5,0.375,0,0,4,1.111111,0.001969,4,0,1.111111,0,0.25,6,0.033488,4.735926,12.770615,2.596324,129960,121706,0.277008,0.295795,13.499999,1,0.037396,0.00277,0,0,0.014212,2.75,0.6875,0.287519,0.003153,0.071238,ant,1.3,org.apache.tools.ant.taskdefs.CompileTask,4,5,0,5,21,0,0,5,4,0.333333333,87,1,0,0.98089172,1,1,1,20.5,3,1.25,0,0
main\org\apache\tools\ant\types\PatternSet.java-->PatternSet,10,19,90,21.111111,,,1,10,42.5,54.255318,35.5,0.394444,12.5,13.888889,5,2,20,10,,,3,60,14.722222,75.714287,9,0.45,0,0,5,8,20,40,,,1,20,41.666668,70.754715,6,0.3,0,0,10,2.777778,0.004921,5,5,1.388889,1.388889,0.211111,45,0.072053,10.189841,8.32526,1.692563,102710,126011,0.350501,0.285689,8.333333,35.583332,0.023084,0.098569,178.416672,0.138051,0.039268,6.2,0.62,0.169958,0.046565,0.270078,ant,1.3,org.apache.tools.ant.types.PatternSet,17,3,0,10,55,76,5,6,11,0.59375,461,1,0,0.652173913,0.285714286,1,1,25.88235294,6,2.6471,1,1
