Class,Size,Ties,Pairs,Density,AvgDist,Diameter,nWeakComp,pWeakComp,2StepReach,ReachEffic,Broker,nBroker,EgoBetween,nEgoBetween,Size2,Ties2,Pairs2,Density2,AvgDist2,Diameter2,nWeakComp2,pWeakComp2,2StepReach2,ReachEffic2,Broker2,nBroker2,EgoBetween2,nEgoBetween2,Size3,Ties3,Pairs3,Density3,AvgDist3,Diameter3,nWeakComp3,pWeakComp3,2StepReach3,ReachEffic3,Broker3,nBroker3,EgoBetween3,nEgoBetween3,Degree,NrmDegree,Share,OutDegree,InDegree,NrmOutDeg,NrmInDeg,Clus Coef,nPairs,Eigenvec,nEigenvec,Power,Normalized Power,inFarness,outFarness,inCloseness,outCloseness,OutdwReach,IndwReach,nOutdwReach,nIndwReach,Betweenness,nBetweenness,Betweenness2,EffSize,Efficiency,Constraint,Hierarchy,Indirects,name, version,name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug,bug_2
main\org\apache\tools\ant\taskdefs\rmic\RmicAdapterFactory.java-->RmicAdapterFactory,5,2,20,10,,,3,60,22.338404,91.085274,9,0.45,3,15,1,0,0,,0,0,1,100,1.61597,100,0,,0,,4,1,12,8.333333,,,3,75,21.768061,95.020744,5.5,0.458333,0,0,5,0.475285,0.000644,4,1,0.380228,0.095057,0.1,10,0.009546,1.350047,-11.903611,-6.802978,1099351,942004,0.095693,0.111677,47.05241,4.833333,0.044684,0.00459,178.583328,0.016152,0.042082,4.4,0.88,0.218497,0.007495,0.042171,ant,1.7,org.apache.tools.ant.taskdefs.rmic.RmicAdapterFactory,3,1,0,10,18,3,1,9,1,1.1,106,0,0,0,0.444444444,0,0,32.66666667,1,0.6667,0,0
main\org\apache\tools\ant\taskdefs\optional\perforce\FStatP4OutputHandler.java-->FStatP4OutputHandler,1,0,0,,0,0,1,100,0.760456,100,0,,0,,1,0,0,,0,0,1,100,0.760456,100,0,,0,,1,0,0,,0,0,1,100,0.760456,100,0,,0,,1,0.095057,0.000129,1,1,0.095057,0.095057,,0,0.000925,0.130797,-2.919279,-1.668384,1106704,962001,0.095057,0.109355,36.709541,2,0.034862,0.001899,0,0,0,1,1,1,1,0,ant,1.7,org.apache.tools.ant.taskdefs.optional.perforce.FStatP4OutputHandler,5,2,0,4,13,0,1,4,4,0.625,76,1,1,0.7,0.5,0,0,13.4,1,0.6,0,0
main\org\apache\tools\ant\taskdefs\optional\junit\OutErrSummaryJUnitResultFormatter.java-->OutErrSummaryJUnitResultFormatter,1,0,0,,0,0,1,100,0.380228,100,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,1,100,0.380228,100,0,,0,,1,0.095057,0.000129,1,0,0.095057,0,,0,0.000299,0.042314,0.677899,0.387423,1107756,973698,0.094967,0.108042,26.032928,1,0.024723,0.00095,0,0,0,1,1,1,1,0,ant,1.7,org.apache.tools.ant.taskdefs.optional.junit.OutErrSummaryJUnitResultFormatter,1,2,0,1,3,0,0,1,1,2,7,0,0,1,1,0,0,6,0,0,0,0
main\org\apache\tools\ant\taskdefs\optional\perforce\P4HandlerAdapter.java-->P4HandlerAdapter,2,0,2,0,,,2,100,1.235741,100,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,,,2,100,1.235741,100,1,0.5,0,0,2,0.190114,0.000257,2,0,0.190114,0,0,1,0.000387,0.054757,2.215026,1.265899,1107756,1104601,0.094967,0.095238,3.5,1,0.003324,0.00095,0,0,0.171663,2,1,0.5,0,0,ant,1.7,org.apache.tools.ant.taskdefs.optional.perforce.P4HandlerAdapter,8,1,9,13,20,12,9,4,8,0.8,101,0.2,1,0,0.40625,0,0,11,1,0.875,0,0
main\org\apache\tools\ant\taskdefs\WaitFor.java-->WaitFor,4,4,12,33.333332,,,1,25,57.034222,54.054054,4,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,12,33.333332,,,1,25,57.034222,54.054054,4,0.333333,0,0,4,0.380228,0.000515,4,0,0.380228,0,0.333333,6,0.027991,3.958544,-19.409735,-11.092768,1107756,954523,0.094967,0.110212,51.23571,1,0.048657,0.00095,0,0,0.014718,2.875,0.71875,0.257488,0.000416,0.014721,ant,1.7,org.apache.tools.ant.taskdefs.WaitFor,9,3,0,5,26,16,0,5,7,0.75,185,1,0,0.8,0.388888889,0,0,19,2,1,1,1
main\org\apache\tools\ant\taskdefs\optional\depend\constantpool\ConstantCPInfo.java-->ConstantCPInfo,7,9,42,21.428572,,,1,14.285714,1.330799,38.888889,16.5,0.392857,24,57.142857,6,1,30,3.333333,,,5,83.333336,1.330799,63.636364,14.5,0.483333,0,0,1,0,0,,0,0,1,100,1.330799,100,0,,0,,7,0.665399,0.000901,1,6,0.095057,0.570342,0.214286,21,0,0.000021,189.958725,108.562431,1088838,1094092,0.096617,0.096153,8,12.083333,0.007597,0.011475,48,0.004341,0.001266,5.428571,0.77551,0.403966,0.320712,0.450162,ant,1.7,org.apache.tools.ant.taskdefs.optional.depend.constantpool.ConstantCPInfo,3,2,5,7,4,1,6,1,2,0.5,16,1,0,0.75,0.555555556,0,0,4,1,0.6667,0,0
main\org\apache\tools\zip\AsiExtraField.java-->AsiExtraField,5,3,20,15,,,2,40,1.330799,53.846153,8.5,0.425,3,15,3,0,6,0,,,3,100,0.665399,70,3,0.5,0,0,2,0,2,0,,,2,100,1.330799,87.5,1,0.5,0,0,5,0.475285,0.000644,2,3,0.190114,0.285171,0.15,10,0.000023,0.003246,2.000003,1.143012,1104600,1105652,0.095238,0.095147,3,4,0.002849,0.003799,3,0.000271,0.002267,3.8,0.76,0.34281,0.112252,0.254545,ant,1.7,org.apache.tools.zip.AsiExtraField,20,1,0,4,40,130,0,4,18,0.736842105,345,1,1,0,0.284210526,0,0,15.9,3,1.15,1,1
main\org\apache\tools\ant\types\resources\selectors\Date.java-->Date,6,8,30,26.666666,,,1,16.666666,48.954372,71.72702,11,0.366667,5.5,18.333334,2,0,2,0,,,2,100,3.041825,86.486488,1,0.5,0,0,4,3,12,25,,,2,50,48.574146,75.036713,4.5,0.375,0,0,6,0.570342,0.000772,4,2,0.380228,0.190114,0.266667,15,0.019107,2.702188,0.204153,0.116674,266554,977695,0.394667,0.1076,36.3536,205.568542,0.034524,0.195222,449.077393,0.040617,0.013291,3.916667,0.652778,0.211592,0.012469,0.120517,ant,1.7,org.apache.tools.ant.types.resources.selectors.Date,13,1,0,7,28,20,2,5,12,0.80952381,183,1,2,0,0.3,0,0,12.53846154,7,1.3846,0,0
main\org\apache\tools\ant\util\facade\FacadeTaskHelper.java-->FacadeTaskHelper,6,4,30,13.333333,,,2,33.333332,3.992395,59.15493,13,0.433333,1,3.333333,5,0,20,0,,,5,100,3.897338,63.076923,10,0.5,0,0,1,0,0,,0,0,1,100,0.570342,100,0,,0,,6,0.570342,0.000772,1,5,0.095057,0.475285,0.133333,15,0.005096,0.720676,0.999999,0.571505,1075181,1106704,0.097844,0.095057,2,17.25,0.001899,0.016382,1,0.00009,0.172005,4.666667,0.777778,0.223577,0.005027,0.155547,ant,1.7,org.apache.tools.ant.util.facade.FacadeTaskHelper,9,1,0,5,19,8,4,1,9,0.53125,119,1,0,0,0.518518519,0,0,11.77777778,3,1.4444,0,0
main\org\apache\tools\ant\types\selectors\DepthSelector.java-->DepthSelector,9,9,72,12.5,,,1,11.111111,45.532318,71.173851,31.5,0.4375,13,18.055555,5,1,20,5,,,4,80,10.076046,59.55056,9.5,0.475,0,0,4,2,12,16.666666,,,2,50,43.726234,92.929291,5,0.416667,0,0,9,0.855513,0.001159,4,5,0.380228,0.475285,0.125,36,0.018267,2.58334,3.659502,2.091425,266653,977829,0.39452,0.107585,29.186102,214.063232,0.027717,0.203289,249.061111,0.022526,0.034757,7.111111,0.790123,0.136589,0.009997,0.102856,ant,1.7,org.apache.tools.ant.types.selectors.DepthSelector,7,5,0,9,25,0,6,3,7,0.666666667,255,0,0,0.863636364,0.342857143,2,5,34.85714286,9,3.1429,0,0
main\org\apache\tools\ant\taskdefs\optional\dotnet\JSharp.java-->JSharp,6,11,30,36.666668,,,1,16.666666,47.528519,61.728394,9.5,0.316667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,30,36.666668,,,1,16.666666,47.528519,61.728394,9.5,0.316667,0,0,6,0.570342,0.000772,6,0,0.570342,0,0.366667,15,0.02359,3.336186,-26.502283,-15.146197,1107756,958747,0.094967,0.109727,46.869061,1,0.04451,0.00095,0,0,0.002671,2.583333,0.430556,0.236637,0.002279,0.190338,ant,1.7,org.apache.tools.ant.taskdefs.optional.dotnet.JSharp,9,6,0,5,17,26,0,5,6,0.833333333,71,0,0,0.949367089,0.333333333,1,4,6.555555556,3,1.1111,0,0
main\org\apache\tools\ant\taskdefs\LogStreamHandler.java-->LogStreamHandler,19,60,342,17.543859,,,1,5.263158,51.330799,43.760128,141,0.412281,19.5,5.701755,14,13,182,7.142857,,,1,7.142857,10.551331,46.638657,84.5,0.464286,0,0,5,4,20,20,,,2,40,50.285172,53.11245,8,0.4,0,0,19,1.806084,0.002446,5,14,0.475285,1.330799,0.175439,171,0.045573,6.445004,-5.897968,-3.370721,940742,972508,0.111827,0.108174,35.611919,73.285706,0.033819,0.069597,243.535721,0.022026,0.040598,13.447369,0.707756,0.094746,0.071979,0.275791,ant,1.7,org.apache.tools.ant.taskdefs.LogStreamHandler,3,2,0,19,10,3,14,5,3,2,38,0,0,0.923076923,0.583333333,0,0,11.66666667,1,0.3333,0,0
main\org\apache\tools\zip\JarMarker.java-->JarMarker,1,0,0,,0,0,1,100,1.045627,100,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,1,100,1.045627,100,0,,0,,1,0.095057,0.000129,1,0,0.095057,0,,0,0.000011,0.001561,0.999996,0.571503,1107756,1106704,0.094967,0.095057,2,1,0.001899,0.00095,0,0,0,1,1,1,1,0,ant,1.7,org.apache.tools.zip.JarMarker,9,1,0,3,12,20,1,2,8,0.8125,54,1,3,0,0.375,0,0,4.555555556,1,0.7778,0,0
main\org\apache\tools\ant\taskdefs\optional\clearcase\CCMkbl.java-->CCMkbl,6,13,30,43.333332,,,1,16.666666,57.699619,48.75502,8.5,0.283333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,30,43.333332,,,1,16.666666,57.699619,48.75502,8.5,0.283333,0,0,6,0.570342,0.000772,6,0,0.570342,0,0.433333,15,0.033688,4.764225,-19.994392,-11.426903,1107756,952431,0.094967,0.110454,50.69286,1,0.048141,0.00095,0,0,0.000611,2.416667,0.402778,0.189454,0.000172,0.066091,ant,1.7,org.apache.tools.ant.taskdefs.optional.clearcase.CCMkbl,19,4,0,7,40,129,0,7,16,0.936507937,252,0.5,0,0.727272727,0.381578947,2,3,11.52631579,6,1.3158,0,0
