"","BPP","BCE","MFM","AVG","X0.5","BPP","BCE","MFM","AVG","X0.5","BPP","BCE","MFM","AVG","X0.5","BPP","BCE","MFM","AVG","X0.5","BPP","BCE","MFM","AVG","X0.5","AUC","BPP","BCE","MFM","AVG","X0.5","AR0.05","AR0.1","AR0.15","AR0.2","AR0.25","AR0.3","AR0.35","AR0.4","AR0.45","AR0.5","AR0.55","AR0.6","AR0.65","AR0.7","AR0.75","AR0.8","AR0.85","AR0.9","AR0.95","AR1","CE0.05","CE0.1","CE0.15","CE0.2","CE0.25","CE0.3","CE0.35","CE0.4","CE0.45","CE0.5","CE0.55","CE0.6","CE0.65","CE0.7","CE0.75","CE0.8","CE0.85","CE0.9","CE0.95","CE1"
"1.3_all_bug2.csv-->1.3_all_bug2.csv","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n"
"1.3_all_bug2.csv-->1.4_all_bug2.csv","17","14","9","18.9506172839506","0","0.246376811594203","0.229508196721311","0.225","0.21964806726146","0","0.447368421052632","0.368421052631579","0.236842105263158","0.498700454840806","0","0.317757009345794","0.282828282828283","0.230769230769231","0.279995172118708","0","0.549382716049383","0.561728395061728","0.62962962962963","0.496265813138241","0.765432098765432","0.494057724957555","-0.199435223940582","-0.185474467415647","0.0102285136433464","-0.0621245559905277","0","0.0868048287040712","0.0857012670193451","0.11877530185003","0.144767204365718","0.167681432689033","0.195194791143128","0.215482171657566","0.235226541053195","0.254032456133494","0.271667686090175","0.291472140519088","0.309849457319417","0.331607432193167","0.353844013701307","0.375223461415801","0.39753057637868","0.421943034173554","0.447572727134024","0.473508121970087","0.501642133025633","0.019220264604953","-0.0141536944506704","-0.00507525821449962","-0.00184951560704323","-0.000737804687743824","0.00526853866063837","0.00138209217351119","-0.00405887492015206","-0.0115080306934218","-0.0213664562768754","-0.0289625951680181","-0.0394113421607781","-0.0454877597483615","-0.0513619786955939","-0.0592544282966411","-0.0662577651074958","-0.0700585638293519","-0.0719082011402661","-0.0733608845653532","-0.0702813690366615"
"1.3_all_bug2.csv-->1.5_all_bug2.csv","15","15","9","18.4144486692015","0","0.157894736842105","0.168539325842697","0.15","0.127356324663562","0","0.46875","0.46875","0.28125","0.575451520912547","0","0.236220472440945","0.247933884297521","0.195652173913043","0.199906911380651","0","0.631178707224335","0.653992395437262","0.718631178707224","0.516430771010135","0.878326996197719","0.583739177489177","0.23982686933406","0.262320223570309","0.192324670308448","0.0323419961932928","0","0.0346565681174117","0.075843803422838","0.123830044375072","0.167998432478999","0.197491530734134","0.220539280023745","0.253129667032877","0.290767878691123","0.332171566209118","0.369313000597669","0.400514764813251","0.430281408532933","0.459786122194646","0.490190944263898","0.518415996262649","0.543936222153764","0.569195364197866","0.593729239214968","0.617010740173297","0.637768551535986","-0.0444435625099909","-0.039484390402915","-0.016719675956721","0.00861197037744502","0.0199685383014419","0.022950006037447","0.0366003270524221","0.0568121501105643","0.0829068964780223","0.104334854409583","0.118283020480208","0.130883345482965","0.143898597326069","0.159337619999562","0.172245694857303","0.181367932688511","0.190785125314916","0.199639644902643","0.206764203281875","0.209110952532297"
"1.3_all_bug2.csv-->1.6_all_bug2.csv","27","25","16","45.1446540880503","0","0.272727272727273","0.271739130434783","0.246153846153846","0.254216854240753","0","0.296703296703297","0.274725274725275","0.175824175824176","0.496095099868685","0","0.284210526315789","0.273224043715847","0.205128205128205","0.31794555736369","0","0.572327044025157","0.581761006289308","0.610062893081761","0.496133459910605","0.713836477987421","0.492327056203708","0.156060815424945","0.170572650234147","0.0598723933457095","-0.0608016201538202","0","0.0416495762146445","0.132248369456925","0.203061135328643","0.265544256859345","0.313724269075084","0.355375875664816","0.393589270376543","0.422724976850498","0.447571958915891","0.468974488600534","0.489192613525202","0.508866950071172","0.527049590755945","0.545530449987189","0.564626901018004","0.584531007391727","0.605652438176384","0.627012160267635","0.648291851604679","0.668003351580213","-0.17137229894199","-0.117498210835798","-0.0670161986520266","-0.0162002545050411","0.0219048749692806","0.0552897407211979","0.0869364886506753","0.107166056662269","0.121946532948222","0.131714348608748","0.138805667646689","0.143180562875148","0.143511990159086","0.143196760590745","0.14311388404359","0.143931294563657","0.146847352774855","0.150102819166126","0.153099035942096","0.152076820589975"
"1.3_all_bug2.csv-->1.7_all_bug2.csv","48","42","26","79.0413589364845","0","0.269662921348315","0.253012048192771","0.218487394957983","0.222025143552112","0","0.290909090909091","0.254545454545455","0.157575757575758","0.479038539008997","0","0.279883381924198","0.253776435045317","0.183098591549296","0.278901576133746","0","0.635155096011817","0.635155096011817","0.657311669128508","0.488993714122388","0.756277695716396","0.471300899621212","0.248097755852847","0.255448790373833","0.161982775361193","0.00782758027088166","0","0.103573498836539","0.192077191854374","0.245169797348977","0.292883641770419","0.331658431459484","0.359942977597534","0.377099000429865","0.395406478018516","0.413095611319788","0.429862168953747","0.448268222499746","0.466253763273011","0.487190044999743","0.509786626185386","0.531516447395146","0.552471532720944","0.573028237680047","0.594209296879643","0.615106327724407","0.635874213562043","-0.0381592039615998","0.0163449744658811","0.0439250661947866","0.0730334125465863","0.0952109496489017","0.106362038410218","0.103476117694512","0.103058076270013","0.102219962572097","0.100314974639456","0.100490302699103","0.0984352478270272","0.100224622464017","0.104310133040367","0.106412872265132","0.1066155042635","0.105553200488408","0.105378045215751","0.104198564597793","0.102278932540786"
"1.4_all_bug2.csv-->1.3_all_bug2.csv","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n"
"1.4_all_bug2.csv-->1.4_all_bug2.csv","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n"
"1.4_all_bug2.csv-->1.5_all_bug2.csv","8","7","25","14.3307984790875","0","0.0661157024793388","0.0608695652173913","0.136612021857924","0.0833651572766358","0","0.25","0.21875","0.78125","0.447837452471483","0","0.104575163398693","0.0952380952380952","0.232558139534884","0.137321682511379","0","0.479087452471483","0.494296577946768","0.372623574144487","0.485347482253611","0.878326996197719","0.43844696969697","0.241226618109585","0.282521815215078","0.34626776550713","0.134894725732728","0","0.171399776408697","0.235508143013655","0.245682052600593","0.250890774490801","0.266974918963707","0.288373958381693","0.314956630828372","0.344310339499949","0.378827374561073","0.416058435121196","0.456895453411282","0.49604458261662","0.530989792053331","0.564069830828011","0.5922316856004","0.616495805083369","0.637728514678641","0.658013778538346","0.675974132827513","0.693188378597357","0.103504368661272","0.140104935863954","0.124679071537837","0.107383990558531","0.104822354975416","0.107980425635889","0.116351890437312","0.12801676277654","0.146976825091183","0.17072001290798","0.201207181970884","0.231206330735834","0.256738278322777","0.281162055858385","0.299121284914739","0.31161199999295","0.319516434519179","0.326281288078518","0.32888740269074","0.33011351711152"
"1.4_all_bug2.csv-->1.6_all_bug2.csv","20","17","52","37.7012578616352","0","0.158730158730159","0.141666666666667","0.275132275132275","0.183578641733516","0","0.21978021978022","0.186813186813187","0.571428571428571","0.414299536941046","0","0.184331797235023","0.161137440758294","0.371428571428571","0.245743209596404","0","0.443396226415094","0.443396226415094","0.446540880503145","0.449289980617855","0.713836477987421","0.377741201529748","-0.060344810322281","-0.103785805131066","0.0851235182536148","-0.101210926458605","0","0.199985605912314","0.203027475533201","0.23231091087058","0.262255111132582","0.286266725474168","0.312157396977188","0.333159541406795","0.355306468501133","0.377223900330416","0.400632916686941","0.421682946446611","0.442387383186016","0.461005441594706","0.479393452052373","0.495201034124326","0.511467223072587","0.528704653567658","0.546627246877302","0.56634411379773","0.590083785909724","0.0221586209690409","-0.0263482531511392","-0.0278538667671923","-0.0207511491720881","-0.0172282144453485","-0.00804785193984756","-0.00405164501455","0.00289421005593813","0.0101322292786988","0.0199682930761029","0.0249879269355153","0.0272018375845219","0.0239095524169146","0.0185098721649826","0.00647231944409412","-0.00661572668021332","-0.019625607862868","-0.0330637723266168","-0.0442282607603439","-0.046930627756397"
"1.4_all_bug2.csv-->1.7_all_bug2.csv","55","48","108","61.7355982274741","0","0.150273224043716","0.139130434782609","0.217303822937626","0.142219320655233","0","0.333333333333333","0.290909090909091","0.654545454545455","0.374155140772571","0","0.207156308851224","0.188235294117647","0.326283987915408","0.196553975229317","0","0.378138847858198","0.388478581979321","0.341211225997046","0.437855776090974","0.756277695716396","0.332611268939394","-0.0323057536237299","-0.0548491443696896","0.0691665465428233","0.0413824024430365","0","0.184709387505368","0.195737064309874","0.208144382768537","0.230861809103589","0.255121586984291","0.281350496701463","0.306451918052313","0.331887694422231","0.353919064988358","0.377264398005862","0.400968247577149","0.425202639436183","0.44879333184898","0.472948284492283","0.495259760096299","0.516122508470773","0.536587129541505","0.557550045732594","0.578659070630731","0.601092382651019","0.0558049631885513","0.020800909980227","-0.00297166722920778","-0.00827168795868678","-0.00840328308661741","-0.00336759811595745","0.00179575980395218","0.00882507859395638","0.0116983665421975","0.0173149975947531","0.0233753206371075","0.0290947190481743","0.0328538221616887","0.0370012199575789","0.0372567431237428","0.0340532940924014","0.0292141180908481","0.0245576354086496","0.0193712276661266","0.016527295231379"
