"","BPP","BCE","MFM","AVG","X0.5","BPP","BCE","MFM","AVG","X0.5","BPP","BCE","MFM","AVG","X0.5","BPP","BCE","MFM","AVG","X0.5","BPP","BCE","MFM","AVG","X0.5","AUC","BPP","BCE","MFM","AVG","X0.5","AR0.05","AR0.1","AR0.15","AR0.2","AR0.25","AR0.3","AR0.35","AR0.4","AR0.45","AR0.5","AR0.55","AR0.6","AR0.65","AR0.7","AR0.75","AR0.8","AR0.85","AR0.9","AR0.95","AR1","CE0.05","CE0.1","CE0.15","CE0.2","CE0.25","CE0.3","CE0.35","CE0.4","CE0.45","CE0.5","CE0.55","CE0.6","CE0.65","CE0.7","CE0.75","CE0.8","CE0.85","CE0.9","CE0.95","CE1"
"1.3_all_bug2.csv-->1.3_all_bug2.csv","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n"
"1.3_all_bug2.csv-->1.4_all_bug2.csv","23","17","23","19.4444444444444","0","0.264367816091954","0.265625","0.264367816091954","0.235306578374409","0","0.605263157894737","0.447368421052632","0.605263157894737","0.511695906432749","0","0.368","0.333333333333333","0.368","0.290414380995002","0","0.512345679012346","0.580246913580247","0.512345679012346","0.502324340801707","0.765432098765432","0.511035653650255","0.100245106463989","0.0939714193892505","0.100245106463989","-0.0373668809610286","0","0.0603681736974074","0.0613672292885874","0.101435969166404","0.151231264770003","0.183185619230598","0.224695996010304","0.263077783020685","0.292309973172972","0.317675122772985","0.344790490553942","0.371130124247338","0.394566634073381","0.415591748694637","0.433592206249442","0.448967487922597","0.462480498849289","0.477845592056608","0.499024267560846","0.522094426544226","0.546848649688178","-0.0091729379843361","-0.0411453694638218","-0.0248515244844405","0.00572271012838842","0.0179036460889733","0.0417317428072408","0.0619668591782119","0.070885052540006","0.0747893812112841","0.0811762680288198","0.0867210502470287","0.0881782038126202","0.0858790135256562","0.0783964995862225","0.0657721721175821","0.0486914032024058","0.0334243355025577","0.0279263487701449","0.0256921892457816","0.0268048730983635"
"1.3_all_bug2.csv-->1.5_all_bug2.csv","28","22","28","20.4068441064639","0","0.178343949044586","0.186440677966102","0.178343949044586","0.145872904955921","0","0.875","0.6875","0.875","0.637713878326996","0","0.296296296296296","0.293333333333333","0.296296296296296","0.2266486379232","0","0.494296577946768","0.596958174904943","0.494296577946768","0.531495323049343","0.878326996197719","0.654626623376623","0.320490536886829","0.365027385330675","0.320490536886829","0.147168604751474","0","0.0563936785241512","0.0736119431862191","0.14165902676011","0.206468517995764","0.255199052225508","0.299187079505886","0.347148370045582","0.390837681310131","0.428091808380974","0.459974376288559","0.493231629151989","0.525870053142122","0.556057569867576","0.584096308128705","0.610769246225602","0.633750522216681","0.65409034933818","0.674519356059618","0.693171148546907","0.709801106843847","-0.0209253157575239","-0.0419947711005925","0.00396932059786313","0.0544517665613798","0.0904415473775067","0.121534617217771","0.157876516151478","0.189892165997179","0.214629039670735","0.233086888833252","0.254650071371515","0.276705658914278","0.296464321340922","0.31418521596353","0.330983941263939","0.342584125918901","0.350250179895397","0.358797558411351","0.364505342659921","0.366385422475948"
"1.3_all_bug2.csv-->1.6_all_bug2.csv","62","49","62","51.7924528301887","0","0.319587628865979","0.340277777777778","0.319587628865979","0.320614768444301","0","0.681318681318681","0.538461538461538","0.681318681318681","0.569147833298777","0","0.435087719298246","0.417021276595745","0.435087719298246","0.374472477994532","0","0.493710691823899","0.569182389937107","0.493710691823899","0.537874292947273","0.713836477987421","0.594665246647626","-0.0178027503920119","0.0282662938285206","-0.0178027503920119","0.0697502125866028","0","0.186478079065596","0.256028898653618","0.286914373255163","0.30869381548264","0.332462169174462","0.352030209427318","0.372316289374541","0.390431884044205","0.404750251075991","0.42075557565402","0.440273530657469","0.457955314446311","0.477567620808066","0.500255732212049","0.526038314369977","0.555716426567465","0.583658991657579","0.609992045646317","0.634612825497319","0.656585518330557","0.00564864467773338","0.0419074474711107","0.0452543494958749","0.0435019029963336","0.0486105384725112","0.0503865962384388","0.0549060812358599","0.0572204185580769","0.0538838238936361","0.0528710739668143","0.0563306721295828","0.054361292851434","0.0539027771521522","0.0578411523833606","0.0671651765777605","0.0845592082159887","0.099265552009175","0.111320462495983","0.120160417799321","0.122915545868973"
"1.3_all_bug2.csv-->1.7_all_bug2.csv","125","101","125","90.3293943870015","0","0.282805429864253","0.286118980169972","0.282805429864253","0.256369335908763","0","0.757575757575758","0.612121212121212","0.757575757575758","0.547450875072736","0","0.411861614497529","0.38996138996139","0.411861614497529","0.321139540062402","0","0.472673559822747","0.533234859675037","0.472673559822747","0.522308210913994","0.756277695716396","0.561754261363636","0.0907589479232963","0.145285676326682","0.0907589479232963","0.139191234744845","0","0.152258178791197","0.218844928958765","0.28269744746185","0.322794181259419","0.353181295973862","0.38119595493901","0.405679819408248","0.426516669879511","0.446610734209501","0.464488031582409","0.482568473979348","0.501427458657525","0.520670031801437","0.541109320218472","0.562105781198757","0.584669001076386","0.60661881274456","0.626534292742698","0.646354026695618","0.66585895093107","0.0182229406104933","0.0489349927936774","0.0914579358011156","0.112243466728372","0.124348224751101","0.136035124845333","0.144611686280296","0.149211457543365","0.15348761172018","0.154955043059458","0.156411331873007","0.157848058223228","0.158968544009728","0.161541169870306","0.16475907200023","0.170890117240875","0.175920810273556","0.176642987376887","0.176924451271722","0.176203744902279"
"1.4_all_bug2.csv-->1.3_all_bug2.csv","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n"
"1.4_all_bug2.csv-->1.4_all_bug2.csv","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n"
"1.4_all_bug2.csv-->1.5_all_bug2.csv","6","7","24","10.5779467680608","0","0.0521739130434783","0.048951048951049","0.109090909090909","0.0602257116949917","0","0.1875","0.21875","0.75","0.330560836501901","0","0.0816326530612245","0.08","0.19047619047619","0.0987812877128806","0","0.486692015209125","0.387832699619772","0.224334600760456","0.456664112535963","0.878326996197719","0.304856601731602","0.361515753462451","0.168006716012013","0.224828256911108","0.188205197056052","0","0.131495190298547","0.186393628143914","0.211721268257515","0.220427356340883","0.246107075019093","0.277108304803896","0.309004325140483","0.340118374309392","0.367919299833441","0.397272311139629","0.427199958246854","0.452993558131715","0.482701158396974","0.515692562667874","0.546131917426653","0.573632957743999","0.599216214987029","0.622960424540149","0.644566821270337","0.663831107896676","0.0603300053198317","0.0848612749564172","0.0852705099558513","0.0710846982564728","0.0793383328288999","0.093858986956458","0.108673918639699","0.122441986175056","0.13199734892748","0.144041047768418","0.157531340157086","0.165531165954039","0.180213093197286","0.201389150822991","0.219884264424518","0.234673415889664","0.247175695402585","0.257225580502763","0.263837526834942","0.266015427453191"
"1.4_all_bug2.csv-->1.6_all_bug2.csv","11","17","57","27.5031446540881","0","0.0827067669172932","0.104938271604938","0.223529411764706","0.12391921441324","0","0.120879120879121","0.186813186813187","0.626373626373626","0.302232358836132","0","0.0982142857142857","0.134387351778656","0.329479768786127","0.170476177017097","0","0.364779874213836","0.311320754716981","0.270440251572327","0.385061904196828","0.713836477987421","0.220748414581014","-0.309899299914259","-0.397492925761044","0.0584041144831925","-0.214881989194113","0","0.166176927286245","0.186308308559445","0.202263959025988","0.214111873094342","0.232865462798669","0.254137022885971","0.280540026701276","0.309714728536515","0.334915762004762","0.361577423446951","0.387423863555098","0.412960088757383","0.437334013283728","0.464188781284673","0.489807257069692","0.516704031424453","0.543452174983468","0.571692542647556","0.599245905127512","0.623630150654513","-0.0191650416740911","-0.0478793439865949","-0.0680835327548306","-0.0873626110662413","-0.0933368575748325","-0.0930779347151332","-0.0832800565770417","-0.0676195855248149","-0.0571141897633972","-0.0438917732678307","-0.0327710812522987","-0.0241363443034671","-0.0189581439163374","-0.0101552191872311","-0.00414352402783188","0.00417465196695459","0.0122799702462598","0.024050487020798","0.0349981061110453","0.0387471656413361"
"1.4_all_bug2.csv-->1.7_all_bug2.csv","28","39","108","48.8744460856721","0","0.0918032786885246","0.102362204724409","0.186206896551724","0.111166698802086","0","0.16969696969697","0.236363636363636","0.654545454545455","0.296208764155588","0","0.119148936170213","0.142857142857143","0.28993288590604","0.153816648248407","0","0.388478581979321","0.308714918759232","0.218611521418021","0.3997368702395","0.756277695716396","0.229515861742424","0.00146451504323957","-0.237136510229323","-0.0355203892930125","-0.00961922389668171","0","0.187554839232361","0.191363395328793","0.20952463650705","0.216938848104054","0.232507645873149","0.255546451061341","0.274858845600152","0.295314337727967","0.317429304302091","0.338918052772259","0.360452499119626","0.384320197827307","0.411119302197299","0.438846239166672","0.466261650696844","0.494081183357082","0.520744408233197","0.547470578490739","0.573010146791114","0.597451826408536","0.059100305189231","0.0154759192386765","-0.0012234250456697","-0.0265234501966568","-0.0390176384787674","-0.0393948174722171","-0.0436752604517802","-0.0454331556046247","-0.0441195474937154","-0.043196041500247","-0.0426790741198244","-0.0399608841601065","-0.0332489590394407","-0.025308088748265","-0.0180543497501116","-0.00994698647473332","-0.00397419228540471","0.00233605019796439","0.00622392375206542","0.00755181434572623"
