"Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",3.48409967881518,4.69437256878845,0.74218644297216,0.457974381340353
"Pairs",-0.000583994708732794,0.000282157595211604,-2.06974654818286,0.0384760852459714
"pWeakComp",-0.0215082436319451,0.00890347087926613,-2.41571449197775,0.0157043699157594
"ReachEffic",0.0353115369285574,0.013939159050562,2.53326164085443,0.011300656779406
"nBroker",2.04274900001593,1.5074522408276,1.35510031076968,0.175385599709381
"EgoBetween2",0.0380746605473616,0.0268688963545314,1.41705338563117,0.156467319717341
"Ties3",0.0426188481322265,0.029489881781821,1.44520240696586,0.148401040524117
"Pairs3",-0.00528144308137819,0.00325837512225501,-1.62088245926795,0.105042849393798
"nBroker3",0.801481400238266,0.419582590796192,1.91018745252845,0.0561090821279327
"Eigenvec",41.7164099879485,18.044308518193,2.31188742676886,0.0207838877876752
"outCloseness",-63.2621466135593,40.0625571596399,-1.57908408995148,0.114316770483882
"Betweenness2",1.36970152160114,0.705055308042684,1.94268663178154,0.0520540324162004
