"","Sum","Mean","SD","Var","Min","25%","Median","75%","Max","Skewness","Kurtosis","shapiro.p","ks.p"
"Size",3890,12.2327044025157,33.4250316990529,1117.23274408269,0,3,5,10,372,7.71339838037342,69.8296387193961,1.64388290625586e-33,0
"Ties",9540,30,117.967112991859,13916.2397476341,0,1,6,18,1304,8.06641390334671,74.6563631074892,3.09387161720399e-34,0
"Pairs",397858,1251.12578616352,9987.77884146524,99755726.1860207,0,6,20,90,138012,10.8455434075876,131.405449570019,4.3315487671619e-36,0
"Density",6351.003899,21.0996807275747,16.4842658825642,271.731021687069,0,8.928572,16.666666,32.222221,100,0.804457403268254,3.8261447121884,1.64575276001475e-10,NA
"nWeakComp",581,1.82704402515723,1.89760551539617,3.60090669206198,0,1,1,2,18,5.17640335540864,39.513894036703,1.61478203801469e-28,0
"pWeakComp",11293.342005,35.5136541037736,31.8354942123839,1013.49869174673,0,12.5,25,50,100,0.990572382863569,2.71691636572003,1.27495544642575e-17,5.42454969831851e-12
"X2StepReach",11540.2074,36.2899603773585,23.3276891650209,544.181081779835,0,5.55875575,47.004608,56.307605,79.838707,-0.538570274607166,1.64828182215181,3.3878894601254e-18,4.33786340181541e-12
"ReachEffic",18710.062078,58.8366732012579,24.1855134336664,584.93906005006,0,43.11191975,56.914751,71.143164,100,-0.182974011078675,3.01967061591464,4.48646416971573e-08,0.11588080491906
"Broker",194159,610.562893081761,4938.00168021678,24383860.5938238,0,2.5,9,33.375,68354,10.8744350029249,132.095348948306,4.16017816113708e-36,0
"nBroker",111.244979,0.369584647840532,0.115738649070664,0.0133954348887022,0,0.330357,0.4,0.443723,0.5,-1.65486598926941,6.01244542448937,2.10936432121042e-17,NA
"EgoBetween",16965.537842,53.3507479308176,444.233874072363,197343.73487334,0,0,1,6,7252.602051,14.0747986102226,221.034462856292,3.22169089691551e-36,0
"nEgoBetween",2582.207028,8.57876089036545,11.4133619948979,130.26483202658,0,0,3.750863,14.285714,50,1.67876259041721,5.87727514200016,1.83067882950231e-20,NA
"Size2",2598,8.16981132075472,33.1665727252082,1100.02154633653,0,0,1,4,371,7.99135039699429,73.5489346439353,2.77056115332542e-34,0
"Ties2",4531,14.248427672956,100.333094675236,10066.7298871099,0,0,0,1,1292,10.0079644188749,110.514142790007,8.29361075085302e-36,0
"Pairs2",367334,1155.13836477987,9833.67022565724,96701070.1069778,0,0,0,12,137270,10.9809877874813,134.842103370459,3.50399489327649e-36,0
"Density2",1786.738747,7.09023312301587,14.5986900412728,213.121750921158,0,0,0,8.333333,100,3.30625277511141,16.7367749327558,4.3867060481128e-25,NA
"nWeakComp2",713,2.24213836477987,4.1971732059635,17.6162629208579,0,0,1,3,38,5.15527991693092,36.0198754517646,2.00390041258246e-29,0
"pWeakComp2",16377.076708,51.5002412201258,43.2490344967465,1870.47898490077,0,0,50,100,100,-0.0477555394510106,1.26435177980344,4.5728821368568e-20,1.66533453693773e-15
"X2StepReach2",1932.258071,6.07628324213836,12.112069919826,146.702237742755,0,0,1.612903,4.147465,79.838707,3.2108922408265,14.5828690312363,5.71195031916292e-28,0
"ReachEffic2",16769.108858,52.8993970283912,39.6000622611191,1568.16493108451,0,0,64.705879,92.307693,100,-0.255150905382005,1.50719700846622,1.23713577315233e-17,NA
"Broker2",181401.5,570.444968553459,4867.54751800349,23693018.8400219,0,0,0,5.875,67989,10.991031508655,135.088335523882,3.47389648729148e-36,0
"nBroker2",69.566305,0.276056765873016,0.225523777486079,0.0508609742115904,0,0,0.416667,0.49015275,0.5,-0.328444545532576,1.22449574420741,4.21708448197711e-20,NA
"EgoBetween2",7972.573995,25.0709874056604,336.606746612574,113304.101865102,0,0,0,0,5857.146973,16.5972108421069,285.771651159649,7.53709072611127e-37,0
"nEgoBetween2",534.524613,2.12112941666667,9.69144387447684,93.9240843721346,0,0,0,0,96.666664,6.11796051705214,47.3476536170995,6.12729965321086e-31,NA
"Size3",1356,4.26415094339623,4.25445074828388,18.1003511695732,0,1,3,6,25,1.75134386449888,7.26680531986072,1.61065159802379e-17,1.97047282690654e-06
"Ties3",2096,6.59119496855346,9.67432703679508,93.5926036148642,0,0,2,10,50,1.91393844381231,6.55848142351416,1.21942580013817e-22,1.11022302462516e-16
"Pairs3",10164,31.9622641509434,71.4140092462537,5099.96071662401,0,0,6,30,600,4.81069179903165,32.0580565967654,9.04955840056895e-30,0
"Density3",6627.83026,24.7307099253731,20.5731480376651,423.254420179685,0,0,23.015873,40.11904725,100,0.512562949920708,2.90053915161208,4.99836299802326e-11,NA
"nWeakComp3",406,1.27672955974843,1.41158769007013,1.99257980675753,0,1,1,1,16,5.9253387520426,54.8113118057727,9.96847827819365e-29,0
"pWeakComp3",12692.527311,39.9136078962264,35.9097475245749,1289.50996727871,0,12.5,25,64.999998,100,0.692843382351796,2.03055625523782,1.357216101962e-17,2.63774990738597e-09
"X2StepReach3",10836.059926,34.0756601446541,23.9769672554808,574.8949587704,0,2.18894,44.470047,55.760368,61.635944,-0.493522550070518,1.4935305113682,8.32786720352885e-20,2.50910403565285e-14
"ReachEffic3",17869.75782,56.5498665189873,32.3280742994076,1045.10438790802,0,40.5825615,58.2304515,87.063892,100,-0.34581561515777,2.24439537075799,5.2370673686069e-13,NA
"Broker3",4034,12.685534591195,32.204372680505,1037.12161974486,0,0,2.5,10,282,5.34452442212067,37.7311347020019,5.95470031158741e-31,0
"nBroker3",75.360849,0.281197197761194,0.16008643293769,0.0256276660107136,0,0.24702375,0.331845,0.40016025,0.5,-0.713006007980881,2.33084977789523,2.65825506017259e-14,NA
"EgoBetween3",496.66667,1.56184487421384,12.5386451971225,157.217623379323,0,0,0,0,179,11.5565503541155,148.825286673505,4.64882308979322e-36,0
"nEgoBetween3",450.539104,1.68111605970149,7.08065174809421,50.1356291777895,0,0,0,0,65.808823,5.60254966836733,39.6543084962879,2.42718783981656e-31,NA
"Degree",3890,12.2327044025157,33.4250316990529,1117.23274408269,0,3,5,10,372,7.71339838037342,69.8296387193961,1.64388290625586e-33,0
"OutDegree",1356,4.26415094339623,4.25445074828388,18.1003511695732,0,1,3,6,25,1.75134386449888,7.26680531986072,1.61065159802379e-17,2.02955129113835e-06
"InDegree",2598,8.16981132075472,33.1665727252082,1100.02154633653,0,0,1,4,371,7.99135039699429,73.5489346439353,2.77056115332542e-34,0
"Clus.Coef",63.510038,0.22206306993007,0.161670116131895,0.0261372264501004,0,0.1,0.181187,0.333333,1,0.808884615645453,3.95051955264447,1.91455961788767e-09,NA
"Eigenvec",8.779068,0.0276071320754717,0.0397542520566275,0.00158040055658187,0,0.004712,0.0208655,0.03742325,0.382419,5.32418067528808,40.346500030488,4.32982420388708e-28,1.11022302462516e-16
"Power",-8220.166285,-25.8495795125786,29.1189767572236,847.914807387728,-114.498734,-44.4838975,-14.0976805,-1e-05,5.982663,-0.977161691927889,3.04691864454621,5.41765720771408e-16,9.54896378635439e-08
"inCloseness",66.441819,0.208936537735849,0.141587162648062,0.0200469246267289,0.115075,0.115075,0.115874,0.423499,0.430498,0.877253505386167,1.77289061941251,8.18433030089037e-27,0
"outCloseness",40.221252,0.126481924528302,0.00620347539364716,3.84831069595857e-05,0.115075,0.12911125,0.129272,0.129497,0.132582,-1.22923623164659,2.65067604214526,1.72696714519885e-25,0
"OutdwReach",8272.812686,26.0151342327044,15.1884690949767,230.689593449062,1,18.348816,30.376202,36.69703425,53.183331,-0.509431659683768,2.16004883151597,5.91156992123576e-14,1.79598869687325e-06
"IndwReach",20014.399951,62.9383646257862,95.3042370689309,9082.89760329098,1,1,4.5,126.011353,500.000092,1.54911443888009,5.00015524797473,1.33488571783316e-23,0
"Betweenness",175161.747232,550.823104503145,2976.97826241122,8862399.57486894,0,0,0.9810925,101.365616,38934.25,9.03327917916546,99.9148428869554,5.361547981711e-35,0
"Betweenness2",115.524177,0.363283575471698,2.40648942584067,5.79119135668294,0,0.000781,0.0124225,0.124775,36.118294,12.1541324086811,166.419086895138,7.59615703523531e-36,0
"EffSize",3255.902674,10.2386876540881,32.6132301440085,1063.62278042607,0,2.18750025,3.707143,6.93465875,366.030914,7.9080707965487,72.597596836944,5.76188072277011e-34,0
"Efficiency",225.30256,0.708498616352201,0.226952552792597,0.0515074612190763,0,0.58040825,0.7398345,0.85474225,1,-1.18927432916419,5.13560635251206,1.72322143536306e-14,0.00375851712335984
"Constraint",83.750475,0.263366273584906,0.224188352593619,0.050260417438641,0,0.125742,0.2054145,0.333333,1,1.90400155301256,6.78292386826398,8.43132305834407e-20,4.06320976864549e-10
"Hierarchy",29.145118,0.0961885082508251,0.235830676969501,0.0556161081998931,0,0.001246,0.010226,0.0558505,1,3.2295299188595,12.3509579930074,9.33876168422917e-30,NA
"Indirects",39.835867,0.125270022012579,0.12837565727742,0.0164803093814096,0,0.012969,0.088779,0.19538675,0.605706,1.19652166558747,4.04420124490842,8.50900216337529e-16,6.65118299325584e-08
"wmc",3810,11.9811320754717,12.5597482836162,157.747276947801,1,4,8,15.75,100,2.88852233157942,15.5026640961867,7.46010016917357e-23,5.73052716390521e-12
"dit",822,2.58490566037736,1.3976180132446,1.95333611094578,1,1,3,3,7,0.467369815118118,2.33796554207603,8.25583631186521e-15,3.08786332614552e-07
"noc",244,0.767295597484277,4.18830423294174,17.5418923476777,0,0,0,0,59,10.4552488301806,131.216784179269,4.60121324880947e-35,0
"cbo",3785,11.9025157232704,21.775740994496,474.182895859373,0,4,7,13,243,7.17464433761617,65.1766514283332,1.39082445388098e-31,0
"rfc",11907,37.4433962264151,35.0315982255117,1227.21287423368,2,14,26,47.75,247,2.13836737482207,9.70897626216724,9.93621881038264e-20,1.27584529607816e-08
"lcom",30121,94.7201257861635,357.997277588626,128162.050760867,0,0,4,50.75,4576,8.76242876148901,94.9789862619215,9.41313395084056e-34,0
"ca",1934,6.08176100628931,21.2825274682771,452.94597543797,0,0.25,1,5,242,7.9657758678164,74.9185883909193,8.35338223616814e-34,0
"ce",1993,6.26729559748428,6.00742964666796,36.0892109596651,0,2,5,9,35,1.68970563333204,6.46171380604059,2.32208507089364e-17,1.02190819473158e-07
"npm",2909,9.14779874213836,10.4718419886115,109.659474634446,0,3,6,11,87,3.52027761782346,21.0478177913605,1.47307798452344e-24,8.50763903770257e-13
"lcom3",272.73079115,0.857643997327044,0.546785329779836,0.298974196862444,0,0.58749999975,0.7514150795,0.91659090925,2,0.996352016634134,3.45567425755326,4.598220341811e-18,4.21884749357559e-15
"loc",110966,348.949685534591,458.620463260927,210332.729321667,4,87.25,181,440,4238,3.46628780651097,21.9286543261234,1.29309955463616e-24,1.60982338570648e-14
"dam",239.653309935,0.753626760801887,0.390161613395027,0.152226084567011,0,0.55952380975,1,1,1,-1.21301696462386,2.72129771979178,1.28721220764178e-25,0
"moa",237,0.745283018867924,1.43455323344397,2.05794297958455,0,0,0,1,10,3.0916232110224,14.9658225772767,3.61728514783832e-27,0
"mfa",169.75514986,0.533821225974843,0.393616963639063,0.154934314064435,0,0,0.719649123,0.876404494,1,-0.436219105183566,1.44709836841605,8.08880417818064e-20,4.88498130835069e-15
"cam",142.196274754,0.447158096710692,0.240652397629643,0.0579135764848957,0.064444444,0.25828598525,0.4045454545,0.555555556,1,0.716487171525866,2.79762497904758,1.62955449301976e-10,0.00608270518446785
"ic",244,0.767295597484277,0.967581580146724,0.936214114239232,0,0,0,1,4,1.19004173516597,3.83510061841337,5.55297541177634e-21,1.11022302462516e-16
"cbm",429,1.34905660377358,2.14627159442561,4.60648175703827,0,0,0,2,15,2.54710904654032,12.013804257308,2.19606928897579e-24,1.11022302462516e-16
"amc",8490.947892517,26.7010940016258,22.996706771681,528.848522342677,2.5,13.0089285725,21.555555555,32.5535714275,210,3.26459727467101,20.2126895420171,2.8711592965046e-22,1.55714786509442e-07
"max_cc",1764,5.54716981132075,7.11881863201702,50.6775787155526,0,1,3,7,50,3.10993144846543,15.4839403461626,6.91475766139378e-25,3.99680288865056e-15
"avg_cc",478.9932,1.5062679245283,1.0472876170604,1.09681135284804,0,0.8333,1.25,1.874,6.8824,1.94220649500922,8.06248891882474,6.07918821242888e-18,7.75054724133639e-06
