Class,Size,Ties,Pairs,Density,AvgDist,Diameter,nWeakComp,pWeakComp,2StepReach,ReachEffic,Broker,nBroker,EgoBetween,nEgoBetween,Size2,Ties2,Pairs2,Density2,AvgDist2,Diameter2,nWeakComp2,pWeakComp2,2StepReach2,ReachEffic2,Broker2,nBroker2,EgoBetween2,nEgoBetween2,Size3,Ties3,Pairs3,Density3,AvgDist3,Diameter3,nWeakComp3,pWeakComp3,2StepReach3,ReachEffic3,Broker3,nBroker3,EgoBetween3,nEgoBetween3,Degree,NrmDegree,Share,OutDegree,InDegree,NrmOutDeg,NrmInDeg,Clus Coef,nPairs,Eigenvec,nEigenvec,Power,Normalized Power,inFarness,outFarness,inCloseness,outCloseness,OutdwReach,IndwReach,nOutdwReach,nIndwReach,Betweenness,nBetweenness,Betweenness2,EffSize,Efficiency,Constraint,Hierarchy,Indirects,name, version,name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug,bug_2
components\camel-quartz\src\main\java\org\apache\camel\component\quartz\QuartzExchange.java-->QuartzExchange,3,0,6,0,,,3,100,10.619469,97.959183,3,0.5,3,50,2,0,2,0,,,2,100,2.433628,100,1,0.5,1,50,2,0,2,0,,,2,100,8.849558,97.560974,1,0.5,1,50,3,0.663717,0.001546,2,2,0.442478,0.442478,0,3,0.020762,2.936224,7.061629,0.360618,202048,202499,0.223709,0.223211,4.5,5,0.009934,0.011038,23,0.011283,0.190605,3,1,0.375,0.21031,0,camel,1,org.apache.camel.component.quartz.QuartzExchange,4,2,0,6,8,6,2,5,4,2,26,0,0,0.896551724,0.5,0,0,5.5,1,0.75,0,0
components\camel-mina\src\main\java\org\apache\camel\component\mina\MinaComponent.java-->MinaComponent,2,0,2,0,,,2,100,5.088496,95.833336,1,0.5,1,50,1,0,0,,0,0,1,100,1.327434,100,0,,0,,2,0,2,0,,,2,100,5.088496,95.833336,1,0.5,1,50,2,0.442478,0.001031,2,1,0.442478,0.221239,0,1,0.011121,1.572762,41.117252,2.099744,203402,193952,0.22222,0.233047,11.199999,3,0.024724,0.006623,6,0.002943,0.01633,2,1,0.555556,0.278072,0,camel,1,org.apache.camel.component.mina.MinaComponent,6,3,0,21,33,15,1,21,2,2,176,0,0,0.8,0.5,2,2,28.33333333,1,0.6667,0,0
camel-core\src\main\java\org\apache\camel\processor\loadbalancer\RandomLoadBalancer.java-->RandomLoadBalancer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,204756,204756,0.220751,0.220751,1,1,0.002208,0.002208,0,0,0,0,0,0,,0,camel,1,org.apache.camel.processor.loadbalancer.RandomLoadBalancer,2,3,0,3,7,1,0,3,1,2,24,0,0,0.833333333,0.666666667,1,1,11,1,0.5,0,0
camel-core\src\main\java\org\apache\camel\builder\ValueBuilder.java-->ValueBuilder,11,11,110,10,,,1,9.090909,11.946902,60.674156,49.5,0.45,12.5,11.363636,9,8,72,11.111111,,,2,22.222221,10.619469,64,32,0.444444,0,0,2,1,2,50,,,1,50,2.433628,78.571426,0.5,0.25,0,0,11,2.433628,0.00567,2,9,0.442478,1.99115,0.1,55,0.05965,8.435842,3.480486,0.177739,160640,202501,0.281375,0.223209,4.166667,41.199997,0.009198,0.090949,116.949997,0.05737,0.773153,9.318182,0.847107,0.157742,0.031079,0.294055,camel,1,org.apache.camel.builder.ValueBuilder,26,1,1,10,47,0,5,5,24,0.08,236,1,1,0,0.258241758,0,0,8.038461538,2,1,0,0
components\camel-xmpp\src\main\java\org\apache\camel\component\xmpp\XmppComponent.java-->XmppComponent,2,0,2,0,,,2,100,5.530973,96.153847,1,0.5,1,50,1,0,0,,0,0,1,100,1.769912,100,0,,0,,2,0,2,0,,,2,100,5.530973,96.153847,1,0.5,1,50,2,0.442478,0.001031,2,1,0.442478,0.221239,0,1,0.009874,1.396342,958.77124,48.961781,202500,192153,0.22321,0.235229,12.533333,4,0.027667,0.00883,10,0.004906,0.036427,2,1,0.555556,0.278072,0,camel,1,org.apache.camel.component.xmpp.XmppComponent,4,3,0,4,19,6,1,4,3,2,62,0,0,0.888888889,0.375,1,1,14.5,1,0.5,0,0
camel-core\src\main\java\org\apache\camel\builder\ResequencerBuilder.java-->ResequencerBuilder,2,0,2,0,,,2,100,6.858407,100,1,0.5,1,50,1,0,0,,0,0,1,100,5.530973,100,0,,0,,2,0,2,0,,,2,100,6.858407,100,1,0.5,1,50,2,0.442478,0.001031,2,1,0.442478,0.221239,0,1,0.006134,0.86749,-8.684931,-0.443515,164308,179989,0.275093,0.251126,23.900003,28.68334,0.052759,0.063319,330.666656,0.162209,0.070272,2,1,0.555556,0.278072,0,camel,1,org.apache.camel.builder.ResequencerBuilder,8,3,0,6,13,14,2,6,8,0.666666667,70,1,0,0.909090909,0.35,1,1,7.375,1,0.875,0,0
components\camel-spring\src\main\java\org\apache\camel\spring\xml\CamelBeanDefinitionParser.java-->CamelBeanDefinitionParser,5,3,20,15,,,3,60,1.769912,66.666664,8.5,0.425,4,20,1,0,0,,0,0,1,100,0.663717,100,0,,0,,5,3,20,15,,,3,60,1.769912,66.666664,8.5,0.425,4,20,5,1.106195,0.002577,5,1,1.106195,0.221239,0.15,10,0.000048,0.006756,13.130214,0.670524,204304,199799,0.221239,0.226227,7.983333,2,0.017623,0.004415,4,0.001962,0.662736,4.416667,0.883333,0.355903,0.075454,0.291667,camel,1,org.apache.camel.spring.xml.CamelBeanDefinitionParser,13,2,0,18,112,76,3,17,1,0.875,1000,1,1,0.4,0.272727273,1,1,75.76923077,10,5.2308,0,0
camel-core\src\main\java\org\apache\camel\builder\ConstantProcessorBuilder.java-->ConstantProcessorBuilder,2,0,2,0,,,2,100,7.079646,96.969696,1,0.5,0,0,2,0,2,0,,,2,100,7.079646,96.969696,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.442478,0.001031,0,2,0,0.442478,0,1,0.005341,0.755324,-0.000007,0,162952,204756,0.277382,0.220751,1,30.816673,0.002208,0.068028,0,0,0.018217,2,1,0.5,0,0,camel,1,org.apache.camel.builder.ConstantProcessorBuilder,2,1,0,4,3,0,2,2,2,0,12,1,1,0,0.75,0,0,4.5,1,0.5,0,0
components\camel-cxf\src\main\java\org\apache\camel\component\cxf\CxfComponent.java-->CxfComponent,2,0,2,0,,,2,100,5.088496,95.833336,1,0.5,1,50,1,0,0,,0,0,1,100,1.327434,100,0,,0,,2,0,2,0,,,2,100,5.088496,95.833336,1,0.5,1,50,2,0.442478,0.001031,2,1,0.442478,0.221239,0,1,0.01044,1.476388,1079.761108,55.1404,203402,193053,0.22222,0.234133,11.783333,3,0.026012,0.006623,4,0.001962,0.010766,2,1,0.555556,0.278072,0,camel,1,org.apache.camel.component.cxf.CxfComponent,6,3,0,13,18,13,1,13,4,0.8,76,1,0,0.8,0.333333333,1,1,11.5,1,0.6667,0,0
camel-core\src\main\java\org\apache\camel\CamelTemplate.java-->CamelTemplate,39,28,1482,1.889339,,,12,30.76923,27.433628,52.991451,727,0.490553,120,8.097166,35,20,1190,1.680672,,,15,42.857143,17.477877,47.878788,585,0.491597,0,0,4,0,12,0,,,4,100,13.495575,88.4058,6,0.5,0,0,39,8.628319,0.020103,4,35,0.884956,7.743363,0.018893,741,0.318575,45.053341,7.215089,0.368455,176763,201144,0.25571,0.224715,7,48.833332,0.015453,0.1078,336.516663,0.165079,5.715159,37.564102,0.963182,0.055196,0.261807,0.222038,camel,1,org.apache.camel.CamelTemplate,25,2,0,18,45,252,8,14,20,0.675,273,1,3,0.233333333,0.24,1,1,9.72,5,1.12,0,0
components\camel-mail\src\main\java\org\apache\camel\component\mail\MessageHeaderAccessException.java-->MessageHeaderAccessException,2,0,2,0,,,2,100,2.212389,83.333336,1,0.5,1,50,1,0,0,,0,0,1,100,1.99115,100,0,,0,,1,0,0,,0,0,1,100,0.663717,100,0,,0,,2,0.442478,0.001031,1,1,0.221239,0.221239,0,1,0.002568,0.363139,0.999908,0.051063,199806,204304,0.226219,0.221239,2,5.416667,0.004415,0.011957,0.783333,0.000384,0.017405,2,1,0.5,0,0,camel,1,org.apache.camel.component.mail.MessageHeaderAccessException,2,5,0,2,6,0,1,1,2,1,22,1,0,0.944444444,0.666666667,0,0,9,1,0.5,0,0
camel-core\src\main\java\org\apache\camel\processor\ChoiceProcessor.java-->ChoiceProcessor,4,2,12,16.666666,,,2,50,6.415929,78.37838,5,0.416667,2.5,20.833334,2,0,2,0,,,2,100,3.318584,100,1,0.5,0,0,2,1,2,50,,,1,50,4.424779,90.909088,0.5,0.25,0,0,4,0.884956,0.002062,2,2,0.442478,0.442478,0.166667,6,0.009628,1.361584,2.495764,0.127452,163942,203852,0.275707,0.221729,3,23.600014,0.006623,0.052097,1.95,0.000957,0.09651,3,0.75,0.325118,0.007264,0.137433,camel,1,org.apache.camel.processor.ChoiceProcessor,7,2,0,7,25,0,1,6,5,0.166666667,153,1,1,0.538461538,0.357142857,1,1,20.57142857,4,1.2857,0,0
components\camel-jbi\src\main\java\org\apache\camel\component\jbi\JbiException.java-->JbiException,1,0,0,,0,0,1,100,8.40708,100,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,1,100,8.40708,100,0,,0,,1,0.221239,0.000515,1,0,0.221239,0,,0,0.01352,1.91197,0.999739,0.051054,204756,204304,0.220751,0.221239,2,1,0.004415,0.002208,0,0,0,1,1,1,1,0,camel,1,org.apache.camel.component.jbi.JbiException,3,5,0,2,6,3,1,1,3,2,16,0,0,1,0.777777778,0,0,4.333333333,0,0,0,0
camel-core\src\main\java\org\apache\camel\util\UuidGenerator.java-->UuidGenerator,2,1,2,50,,,1,50,12.168141,96.491226,0.5,0.25,0,0,2,1,2,50,,,1,50,12.168141,96.491226,0.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.442478,0.001031,0,2,0,0.442478,0.5,1,0.01909,2.699755,0.000279,0.000014,105774,204756,0.427326,0.220751,1,78.600014,0.002208,0.17351,0,0,0,1,0.5,0.540339,0.000462,0.039474,camel,1,org.apache.camel.util.UuidGenerator,6,1,0,2,25,5,2,0,5,0.7,166,1,0,0,0.5,0,0,25.66666667,1,0.5,0,0
components\camel-jms\src\main\java\org\apache\camel\component\jms\JmsEndpoint.java-->JmsEndpoint,12,11,132,8.333333,,,3,25,15.044248,69.387756,60.5,0.458333,49.5,37.5,8,5,56,8.928572,,,3,37.5,6.19469,68.292686,25.5,0.455357,23,41.07143,8,4,56,7.142857,,,5,62.5,13.716814,77.5,26,0.464286,25.5,45.535713,12,2.654867,0.006186,8,8,1.769912,1.769912,0.083333,66,0.051709,7.312688,2892.3396,147.703751,198436,189430,0.227781,0.238611,19.616667,11.666666,0.043304,0.025754,281.333344,0.138009,1.526721,10.625,0.885417,0.149021,0.06482,0.280582,camel,1,org.apache.camel.component.jms.JmsEndpoint,19,2,0,20,31,133,6,18,18,0.644444444,170,1,2,0.4375,0.163157895,1,1,7.684210526,2,1,0,0
components\camel-bam\src\main\java\org\apache\camel\bam\model\ProcessDefinition.java-->ProcessDefinition,7,7,42,16.666666,,,1,14.285714,13.274336,68.181816,17.5,0.416667,6,14.285714,5,4,20,20,,,1,20,4.646018,51.219513,8,0.4,0,0,2,0,2,0,,,2,100,10.176991,97.872337,1,0.5,0,0,7,1.548673,0.003608,2,5,0.442478,1.106195,0.166667,21,0.040755,5.763574,2.989219,0.152651,198888,202950,0.227264,0.222715,4,10,0.00883,0.022075,10.976191,0.005384,0.657856,5.571428,0.795918,0.227515,0.007199,0.257435,camel,1,org.apache.camel.bam.model.ProcessDefinition,7,2,0,11,21,17,6,5,6,0.666666667,90,1,0,0.375,0.375,0,0,11.57142857,2,1,0,0
camel-core\src\main\java\org\apache\camel\impl\LoggingExceptionHandler.java-->LoggingExceptionHandler,4,0,12,0,,,4,100,7.743363,97.222221,6,0.5,3,25,3,0,6,0,,,3,100,6.637168,96.774193,3,0.5,0,0,1,0,0,,0,0,1,100,1.106195,100,0,,0,,4,0.884956,0.002062,1,3,0.221239,0.663717,0,6,0.006982,0.987425,1.494503,0.07632,112753,203853,0.400876,0.221728,2.5,56.921467,0.005519,0.125654,232,0.113808,0.204736,4,1,0.25,0,0,camel,1,org.apache.camel.impl.LoggingExceptionHandler,3,1,0,9,8,1,4,5,3,0,26,1,1,0,0.5,0,0,7.333333333,1,0.3333,0,0
camel-core\src\main\java\org\apache\camel\builder\RecipientListBuilder.java-->RecipientListBuilder,3,1,6,16.666666,,,2,66.666664,8.40708,86.36364,2.5,0.416667,1,16.666666,1,0,0,,0,0,1,100,5.530973,100,0,,0,,3,1,6,16.666666,,,2,66.666664,8.40708,86.36364,2.5,0.416667,1,16.666666,3,0.663717,0.001546,3,1,0.663717,0.221239,0.166667,3,0.012519,1.770415,1.934763,0.098803,164308,179976,0.275093,0.251145,25.750004,28.68334,0.056843,0.063319,187.166672,0.091815,0.087164,2.375,0.791667,0.403207,0.218506,0.034347,camel,1,org.apache.camel.builder.RecipientListBuilder,2,2,0,6,4,0,1,6,2,0,16,1,1,0.961538462,0.666666667,0,0,6.5,1,0.5,0,0
components\camel-jms\src\main\java\org\apache\camel\component\jms\JmsPollingConsumer.java-->JmsPollingConsumer,3,1,6,16.666666,,,2,66.666664,3.982301,81.818184,2.5,0.416667,1,16.666666,1,0,0,,0,0,1,100,2.654867,100,0,,0,,3,1,6,16.666666,,,2,66.666664,3.982301,81.818184,2.5,0.416667,1,16.666666,3,0.663717,0.001546,3,1,0.663717,0.221239,0.166667,3,0.007658,1.082997,1448.032593,73.946999,198449,189447,0.227766,0.238589,15.333331,7.333333,0.033848,0.016188,22.5,0.011037,0.062527,2.625,0.875,0.420151,0.207792,0.059028,camel,1,org.apache.camel.component.jms.JmsPollingConsumer,12,3,0,8,19,60,1,8,9,0.363636364,101,1,0,0.52173913,0.354166667,1,1,7.333333333,3,1.1667,0,0
camel-core\src\main\java\org\apache\camel\builder\xml\InvalidXPathExpression.java-->InvalidXPathExpression,2,1,2,50,,,1,50,2.212389,83.333336,0.5,0.25,0,0,1,0,0,,0,0,1,100,1.769912,100,0,,0,,1,0,0,,0,0,1,100,0.884956,100,0,,0,,2,0.442478,0.001031,1,1,0.221239,0.221239,0.5,1,0.002908,0.411234,1.494819,0.076336,202951,203853,0.222714,0.221728,2.5,3.5,0.005519,0.007726,0,0,0,1,0.5,0.707031,0.007963,0.1875,camel,1,org.apache.camel.builder.xml.InvalidXPathExpression,2,6,0,2,7,0,1,1,2,0,25,1,0,0.944444444,0.666666667,0,0,11,1,0.5,0,0
components\camel-xmpp\src\main\java\org\apache\camel\component\xmpp\XmppMessage.java-->XmppMessage,4,4,12,33.333332,,,1,25,5.973451,77.14286,4,0.333333,2.5,20.833334,2,1,2,50,,,1,50,1.99115,81.818184,0.5,0.25,0,0,3,2,6,33.333332,,,2,66.666664,5.309734,82.758621,2,0.333333,2,33.333332,4,0.884956,0.002062,3,2,0.663717,0.442478,0.333333,6,0.009596,1.357125,16.758413,0.855806,200700,202498,0.225212,0.223212,5,5.666667,0.011038,0.012509,4.5,0.002207,0.100551,2.5,0.625,0.474867,0.135792,0.315288,camel,1,org.apache.camel.component.xmpp.XmppMessage,14,3,0,6,29,35,1,6,13,0.153846154,132,1,0,0.636363636,0.339285714,2,8,8.357142857,2,1.1429,0,0
camel-core\src\main\java\org\apache\camel\impl\DefaultMessage.java-->DefaultMessage,8,8,56,14.285714,,,1,12.5,9.070796,70.689651,24,0.428571,0,0,7,1,42,2.380952,,,6,85.714287,6.637168,76.92308,20.5,0.488095,0,0,1,0,0,,0,0,1,100,4.20354,100,0,,0,,8,1.769912,0.004124,1,7,0.221239,1.548673,0.142857,28,0.017995,2.544916,1.494933,0.076342,174176,203853,0.259508,0.221728,2.5,26.466671,0.005519,0.058425,0,0,0.341704,6.4375,0.804688,0.202603,0.088565,0.221499,camel,1,org.apache.camel.impl.DefaultMessage,11,2,9,15,23,49,10,5,9,0.6,87,1,0,0.523809524,0.327272727,1,1,6.818181818,2,1.0909,0,0
components\camel-bam\src\main\java\org\apache\camel\bam\model\ProcessInstance.java-->ProcessInstance,10,23,90,25.555555,,,1,10,4.867257,28.947369,33.5,0.372222,10.916667,12.12963,7,19,42,45.238094,,,1,14.285714,4.867257,34.920635,11.5,0.27381,0.583333,1.388889,5,5,20,25,,,1,20,3.761062,45.945946,7.5,0.375,3,15,10,2.212389,0.005155,5,7,1.106195,1.548673,0.255556,45,0.029892,4.227345,-4.23119,-0.216075,199788,168837,0.22624,0.267714,25.661907,10,0.056649,0.022075,11.352381,0.005569,0.198481,6.791667,0.679167,0.281554,0.157708,0.537001,camel,1,org.apache.camel.bam.model.ProcessInstance,13,3,0,14,33,68,9,7,11,0.854166667,121,1,1,0.45,0.283333333,0,0,8,2,1,0,0
camel-core\src\main\java\org\apache\camel\component\file\FileComponent.java-->FileComponent,3,1,6,16.666666,,,2,66.666664,5.752213,70.270271,2.5,0.416667,2,33.333332,1,0,0,,0,0,1,100,1.327434,100,0,,0,,3,1,6,16.666666,,,2,66.666664,5.752213,70.270271,2.5,0.416667,2,33.333332,3,0.663717,0.001546,3,1,0.663717,0.221239,0.166667,3,0.015108,2.136619,65.958008,3.368292,203402,193054,0.22222,0.234131,12.033334,3,0.026564,0.006623,3,0.001472,0.014665,2.5,0.833333,0.392123,0.175354,0.03312,camel,1,org.apache.camel.component.file.FileComponent,3,3,0,5,8,3,1,5,2,2,28,0,0,0.941176471,0.5,1,1,8.333333333,1,0.3333,0,0
components\camel-mail\src\main\java\org\apache\camel\component\mail\MailMessage.java-->MailMessage,9,7,72,9.722222,,,4,44.444443,7.300885,58.92857,32.5,0.451389,19,26.388889,3,2,6,33.333332,,,1,33.333332,2.654867,66.666664,2,0.333333,0,0,7,3,42,7.142857,,,5,71.428574,6.415929,65.909088,19.5,0.464286,10,23.809525,9,1.99115,0.004639,7,3,1.548673,0.663717,0.097222,36,0.025341,3.583805,-12.386783,-0.632559,200248,189460,0.22572,0.238573,16.392857,6.666667,0.036187,0.014717,51.183334,0.025108,1.297285,7.6,0.844444,0.186102,0.110957,0.223383,camel,1,org.apache.camel.component.mail.MailMessage,13,3,0,8,29,36,1,8,11,0.5,158,1,0,0.65625,0.326923077,2,7,11.07692308,4,1.3077,0,0
