"","Sum","Mean","SD","Var","Min","25%","Median","75%","Max","Skewness","Kurtosis","shapiro.p","ks.p"
"Size",4008,5.47540983606557,12.1723013917843,148.164921172434,0,2,3,6,241,12.0933168880195,206.652073738778,5.29710435989117e-46,0
"Ties",3175,4.33743169398907,13.0807057279578,171.104862341429,0,0,1,4,238,10.3624696829943,156.324181461036,7.06194067384085e-46,0
"Pairs",126246,172.467213114754,2226.41358352126,4956917.44488798,0,2,6,30,57840,24.1231834920691,618.295360351792,7.27772785775952e-51,0
"Density",9079.831017,14.6685476849758,17.3487539839535,300.979264795743,0,0,8.928572,20,100,1.55821657533707,5.751905163177,8.53534185230646e-27,NA
"nWeakComp",1802,2.46174863387978,3.53252020377523,12.4786989900802,0,1,2,3,41,5.79446650672419,46.3033148635331,3.09030193043473e-42,0
"pWeakComp",44101.5415,60.2480075136612,34.9694279186594,1222.86088895832,0,33.333332,60,100,100,-0.217106269783741,1.66969711613398,1.38001502975714e-23,0
"X2StepReach",3609.616779,4.93117046311475,6.07312050379088,36.8827926535653,0,0.70498925,3.0730295,7.1041215,54.302242,2.95211652788672,17.1644125346776,9.03767651165929e-33,0
"ReachEffic",56355.354013,78.0545069432133,26.2420044633388,688.642798253895,0,70.09225675,84.98724,97.826088,100,-1.89820288151056,6.19898469621284,6.2479587045994e-32,NA
"Broker",61535.5,84.0648907103825,1107.98628123664,1227633.59940861,0,0.5,2.5,11,28801,24.1642486504515,619.851409697359,7.04352413487587e-51,0
"nBroker",236.600842,0.382230762520194,0.145840657994556,0.0212694975242849,0,0.333333,0.428571,0.4890015,0.5,-1.62636915276706,4.69400394992301,1.09143675788735e-29,NA
"EgoBetween",10937.964325,14.9425742144809,133.295362775873,17767.6537375515,0,0,1,4,3255.714355,20.7584998966223,486.075822106761,2.28610815936087e-50,0
"nEgoBetween",10951.985592,17.6930300355412,17.4089584639041,303.071834797939,0,0,15.151515,29.9305555,66.666664,0.673863846006207,2.28344905390532,1.67414300006292e-22,NA
"Size2",2507,3.42486338797814,11.4642647948472,131.429367286373,0,1,1,3,237,13.6847471813464,251.342374909364,1.22635704550418e-47,0
"Ties2",1455,1.98770491803279,10.4173438291405,108.521052454531,0,0,0,1,223,14.8764159707112,289.317682296342,1.09503875294899e-48,0
"Pairs2",102154,139.554644808743,2136.35065380777,4563994.11602491,0,0,0,6,55932,24.6907533609633,638.974942285136,5.38077952712836e-51,0
"Density2",5537.979011,12.1713824417582,19.931745126641,397.274463793376,0,0,0,16.666666,100,1.83546633807964,6.27551846931761,5.82465227806904e-29,NA
"nWeakComp2",1415,1.93306010928962,3.9693972887993,15.7561148363272,0,1,1,2,42,5.67104988135032,40.854169246466,4.39624133344122e-44,0
"pWeakComp2",47285.425624,64.597575989071,41.3858226841944,1712.78631924758,0,25,100,100,100,-0.571270010142559,1.62595836318419,7.08953037583492e-32,0
"X2StepReach2",1369.992778,1.87157483333333,4.36933800324373,19.0911145865899,0,0.144613,0.578453,1.446132,52.566883,5.81477551619469,47.5578414688783,2.5717392331409e-43,0
"ReachEffic2",50185.002715,69.7013926597222,38.5551549914552,1486.49997641513,0,57.6867285,86.666664,100,100,-1.02713438158462,2.42517070884622,9.60546010727524e-33,NA
"Broker2",50349.5,68.7834699453552,1063.57198979157,1131185.3774692,0,0,0,2,27854.5,24.7133278106975,639.846205684896,5.29907988255926e-51,0
"nBroker2",124.310104,0.27320901978022,0.212710889024539,0.0452459223096097,0,0,0.333333,0.491668,0.5,-0.307288586768693,1.36436229989635,3.6707022198963e-24,NA
"EgoBetween2",1851.716647,2.52966755054645,27.7494109741632,770.029809413011,0,0,0,0,665.799988,19.9311819582407,455.106689797594,1.49330604848656e-50,0
"nEgoBetween2",3389.058542,7.44848031208791,20.5403688882156,421.906754063975,0,0,0,0,100,3.14588737184426,12.495652384287,9.21118583116366e-36,NA
"Size3",1777,2.4275956284153,3.02907989178937,9.1753249908427,0,1,2,3,48,5.6057665624308,73.3748511384922,8.05734808188875e-36,0
"Ties3",957,1.30737704918033,3.21841490157911,10.3581944787065,0,0,0,1,44,5.49851421701282,52.7768220744383,1.76880137471278e-42,0
"Pairs3",9244,12.6284153005464,86.1480840116636,7421.49237888064,0,0,2,6,2256,24.2658032244985,630.142097196924,3.84765329013035e-50,0
"Density3",5781.359339,10.8672168026316,16.2547138681298,264.21572293477,0,0,0,16.666666,100,1.94399292672824,7.06571508925504,1.92262801263822e-29,NA
"nWeakComp3",1060,1.44808743169399,1.35948173637032,1.84819059152445,0,1,1,2,18,3.17744085962036,32.7084221377266,1.16474446218489e-30,0
"pWeakComp3",43847.770179,59.9013253811475,40.6577516014324,1653.05276528378,0,20,66.666664,100,100,-0.382141015605087,1.53091659481147,5.13525540658565e-29,0
"X2StepReach3",2635.864073,3.60090720355191,4.32341212403203,18.6918923942272,0,0.144613,2.386117,5.80260275,30.296457,1.65750437516057,6.51976729332181,1.19883798606989e-28,0
"ReachEffic3",50246.697643,69.98147304039,39.2001706014096,1536.65337517962,0,65.07374375,88.5856095,100,100,-1.09644085648105,2.43979398698466,4.2421529490741e-34,NA
"Broker3",4143.5,5.66051912568306,42.0102487170424,1764.86099726776,0,0,0.5,3,1106,24.6723372112021,644.86327545633,2.68909687614074e-50,0
"nBroker3",156.093208,0.293408285714286,0.207542852286586,0.0430740355352515,0,0,0.416667,0.466667,0.5,-0.547009490845964,1.53096939543094,7.26964114865063e-27,NA
"EgoBetween3",2215.666669,3.02686703415301,43.7382201327673,1913.03190038241,0,0,0,0,1177,26.4792993785173,711.000389560651,4.99902110157109e-51,0
"nEgoBetween3",4718.735512,8.86980359398496,15.9737053801451,255.159263571678,0,0,0,11.9588745,66.666664,1.66087887378621,4.44598577657285,9.99263643723582e-33,NA
"Degree",4008,5.47540983606557,12.1723013917843,148.164921172434,0,2,3,6,241,12.0933168880195,206.652073738778,5.29710435989117e-46,0
"OutDegree",1777,2.4275956284153,3.02907989178937,9.1753249908427,0,1,2,3,48,5.6057665624308,73.3748511384922,8.05734808188875e-36,0
"InDegree",2507,3.42486338797814,11.4642647948472,131.429367286373,0,1,1,3,237,13.6847471813464,251.342374909364,1.22635704550418e-47,0
"Clus.Coef",90.798319,0.160989927304965,0.175303333767076,0.0307312588298508,0,0.0072595,0.107143,0.24659125,1,1.46969604268787,5.4890477003072,3.26955609832664e-24,NA
"Eigenvec",2.365905,0.0032321106557377,0.0185398971071642,0.000343727784744236,0,0.0001465,0.0007265,0.00284475,0.471919,22.3849735708626,560.244787881243,8.31964142161807e-50,0
"Power",12874.318859,17.5878672937158,146.796582659485,21549.2366805031,-311.045807,0,1.2550135,5.911355,1737.166626,7.82747048472331,75.060174845598,2.16509335509142e-47,0
"inCloseness",64.826177,0.0885603510928962,0.0254385233164904,0.000647118468523624,0.072254,0.072307,0.072648,0.121005,0.216877,1.28630363706601,3.75563411263778,3.49998221771024e-36,0
