"Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-4.21524585494271,0.241150635912463,-17.4797210838492,2.0449686157329e-68
"LOC",-0.000528501737544839,0.000330581589199323,-1.59870287642117,0.109886638189207
"n1",0.00215691720836314,0.00046756402872646,4.61309484016146,3.96717171185933e-06
"DIT",0.0833976173337926,0.0255346056505447,3.26606247518115,0.00109054186596223
"CBO",0.0361568963387004,0.00460707520695237,7.84812374760831,4.22307412845306e-15
"RFC",-0.000418883897464791,0.000150527206679062,-2.78277865315,0.00538955616513263
"Ties",-0.00108043305050407,0.000510019857389224,-2.11841369478195,0.0341400470655879
"pWeakComp",0.0057126159475575,0.00182813555905274,3.12483170040056,0.00177906815540716
"ReachEffic",0.00684701068162428,0.00231996497610288,2.95134226255692,0.00316396104685291
"EgoBetween",0.000362542622146024,0.000183648636686776,1.97411006521308,0.0483692291070852
"Density2",0.00315836379473178,0.00187682715454294,1.68282081122219,0.0924097850088749
"nWeakComp2",0.0106769738283645,0.007275765288242,1.46747089898832,0.142248000030487
"X2StepReach2",-0.0307858206210515,0.0168527348325408,-1.82675517813331,0.0677365878295442
"ReachEffic2",-0.00707264011036402,0.000878460547304655,-8.0511755844525,8.20025263892493e-16
"nEgoBetween2",0.00864313563819779,0.0030784324150521,2.80764183612961,0.00499056975241819
"Ties3",-0.00698262809154378,0.00280877231675377,-2.48600716045718,0.0129185366253408
"Pairs3",-0.000721873655477602,0.000139792688809728,-5.163887050346,2.41873680412855e-07
"Density3",0.00568080030693187,0.002085424871028,2.72404937039594,0.00644868658324726
"X2StepReach3",0.0263414085322242,0.00702849972793629,3.74779960900114,0.000178392685404427
"nEgoBetween3",0.009909953357964,0.00468585185473064,2.11486697940724,0.0344412862316024
"Eigenvec",20.0167177390004,7.15264113176638,2.79850720457677,0.00513394241019253
"Power",1.93356983929801e-10,2.1900923983822e-11,8.8287135315675,1.05886535469394e-18
"inCloseness",107.254115039165,9.01362654278149,11.8991079262163,1.19618978845614e-32
"OutdwReach",-0.000522479097547623,0.000295126885559027,-1.77035411923908,0.0766681677714332
"Hierarchy",-0.817722584608804,0.148789609793102,-5.49583123274454,3.88874278699668e-08
"Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-4.21524585494271,0.241150635912463,-17.4797210838492,2.0449686157329e-68
"LOC",-0.000528501737544839,0.000330581589199323,-1.59870287642117,0.109886638189207
"n1",0.00215691720836314,0.00046756402872646,4.61309484016146,3.96717171185933e-06
"DIT",0.0833976173337926,0.0255346056505447,3.26606247518115,0.00109054186596223
"CBO",0.0361568963387004,0.00460707520695237,7.84812374760831,4.22307412845306e-15
"RFC",-0.000418883897464791,0.000150527206679062,-2.78277865315,0.00538955616513263
"Ties",-0.00108043305050407,0.000510019857389224,-2.11841369478195,0.0341400470655879
"pWeakComp",0.0057126159475575,0.00182813555905274,3.12483170040056,0.00177906815540716
"ReachEffic",0.00684701068162428,0.00231996497610288,2.95134226255692,0.00316396104685291
"EgoBetween",0.000362542622146024,0.000183648636686776,1.97411006521308,0.0483692291070852
"Density2",0.00315836379473178,0.00187682715454294,1.68282081122219,0.0924097850088749
"nWeakComp2",0.0106769738283645,0.007275765288242,1.46747089898832,0.142248000030487
"X2StepReach2",-0.0307858206210515,0.0168527348325408,-1.82675517813331,0.0677365878295442
"ReachEffic2",-0.00707264011036402,0.000878460547304655,-8.0511755844525,8.20025263892493e-16
"nEgoBetween2",0.00864313563819779,0.0030784324150521,2.80764183612961,0.00499056975241819
"Ties3",-0.00698262809154378,0.00280877231675377,-2.48600716045718,0.0129185366253408
"Pairs3",-0.000721873655477602,0.000139792688809728,-5.163887050346,2.41873680412855e-07
"Density3",0.00568080030693187,0.002085424871028,2.72404937039594,0.00644868658324726
"X2StepReach3",0.0263414085322242,0.00702849972793629,3.74779960900114,0.000178392685404427
"nEgoBetween3",0.009909953357964,0.00468585185473064,2.11486697940724,0.0344412862316024
"Eigenvec",20.0167177390004,7.15264113176638,2.79850720457677,0.00513394241019253
"Power",1.93356983929801e-10,2.1900923983822e-11,8.8287135315675,1.05886535469394e-18
"inCloseness",107.254115039165,9.01362654278149,11.8991079262163,1.19618978845614e-32
"OutdwReach",-0.000522479097547623,0.000295126885559027,-1.77035411923908,0.0766681677714332
"Hierarchy",-0.817722584608804,0.148789609793102,-5.49583123274454,3.88874278699668e-08
