"","BPP","BCE","MFM","AVG","X0.5","BPP","BCE","MFM","AVG","X0.5","BPP","BCE","MFM","AVG","X0.5","BPP","BCE","MFM","AVG","X0.5","BPP","BCE","MFM","AVG","X0.5","AUC","BPP","BCE","MFM","AVG","X0.5","AR0.05","AR0.1","AR0.15","AR0.2","AR0.25","AR0.3","AR0.35","AR0.4","AR0.45","AR0.5","AR0.55","AR0.6","AR0.65","AR0.7","AR0.75","AR0.8","AR0.85","AR0.9","AR0.95","AR1","CE0.05","CE0.1","CE0.15","CE0.2","CE0.25","CE0.3","CE0.35","CE0.4","CE0.45","CE0.5","CE0.55","CE0.6","CE0.65","CE0.7","CE0.75","CE0.8","CE0.85","CE0.9","CE0.95","CE1"
"2.0all_bug_me_all.csv-->2.0all_bug_me_all.csv","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n"
"2.0all_bug_me_all.csv-->2.1all_bug_me_all.csv","380","399","1696","715.798662895346","0","0.148263753413968","0.150793650793651","0.219660665716876","0.162139376449507","0","0.222352252779403","0.233469865418373","0.992393212404915","0.418840645345433","0","0.177902621722846","0.183237657864524","0.359703075291622","0.217600207655141","0","0.548470043713037","0.542684494728722","0.22370789406017","0.464263866787805","0.780277706351247","0.395900865423098","0.582904330261754","0.579450968987004","0.0624310816595416","0.455288370681517","0","0.18972075260172","0.244127950939789","0.282920813374574","0.314331957797265","0.340036852106538","0.367498954676394","0.393885036751595","0.417355891670938","0.440076247897456","0.464820038106958","0.490280121120484","0.515709916851234","0.540890042784279","0.564836296106429","0.588208085300124","0.610844472461985","0.632655502508338","0.652988145371389","0.672034828146039","0.689503246056881","0.128951952090851","0.159186047867906","0.177832681495697","0.190983263595414","0.199019426665689","0.210068394581756","0.220474103998661","0.227359879133159","0.233229742808406","0.242072654859083","0.252390175909897","0.263277543442293","0.27450010324028","0.284512912882403","0.294316553920515","0.303613127518565","0.312177514160814","0.318631471031397","0.323056714442611","0.324495492259952"
"2.0all_bug_me_all.csv-->3.0all_bug_me_all.csv","475","500","2970","1227.88070103515","0","0.196280991735537","0.199441563621859","0.306754802726709","0.225529857755115","0","0.157754898704749","0.166057788110262","0.986383261374958","0.407798306554352","0","0.174921745534892","0.181225081551287","0.467974474119593","0.267168829931308","0","0.540739981551706","0.53694783232551","0.307881520959311","0.443037072775801","0.6914010454033","0.366569268744124","0.605221329746726","0.601265494499072","0.0483654124379152","0.42557859453705","0","0.241483679099116","0.281519582611435","0.311070688598292","0.335158970471401","0.358422433959219","0.380502251965908","0.401973156331966","0.423451564870481","0.445247227182871","0.467654187880755","0.490051481598779","0.512597860526676","0.535534757679954","0.558133822065217","0.579809671816149","0.601464125086855","0.622851198128443","0.64326760919416","0.662922677092077","0.681350280168066","0.163218724422574","0.175588325768552","0.182542539342456","0.186097276554539","0.190420087059397","0.194384322352441","0.198315347970182","0.202769333813152","0.208026765506717","0.214413570496639","0.220849845389024","0.227532913367263","0.235031121313121","0.242296703977862","0.248324992405199","0.254687666321736","0.260990973940319","0.265810291282362","0.269388119792195","0.270468004543872"
"2.0all_bug_me_all.csv-->3.1all_bug_me_all.csv","333","349","3081","1276.37969525159","0","0.159177820267686","0.160312356453836","0.279481132075472","0.202399870895487","0","0.103965032781767","0.108960349672182","0.961910708710584","0.398495065642084","0","0.125779036827195","0.129739776951673","0.433120123708442","0.246273894477819","0","0.58991849751949","0.585223245924876","0.285524450744153","0.442345621699706","0.716247342310418","0.35821513574067","0.657535623649974","0.650201894836561","0.0789198456897847","0.440298196436414","0","0.247343469511435","0.27988222821789","0.309040901443994","0.331020996273067","0.350428378411054","0.371076633172688","0.391639956016264","0.411695795169546","0.432235113586845","0.453961546815714","0.476906861944492","0.500361084967197","0.524138442178808","0.547785021185001","0.571049606993447","0.59386907140884","0.615552601094388","0.636078869047425","0.655396319302805","0.673887664279722","0.170408480350656","0.174056599299031","0.180757365609199","0.182438289051443","0.182355637504116","0.184595069803497","0.187212737092139","0.189445324595556","0.192492651604596","0.197258879759577","0.203748047088268","0.211079088938816","0.219182665093171","0.227473559606785","0.235597062425991","0.243463976137221","0.249728491858671","0.254136105439555","0.256304238100937","0.256747323854664"
"2.0all_bug_me_all.csv-->3.2all_bug_me_all.csv","426","441","3615","1552.35405071119","0","0.178766261015527","0.177750906892382","0.284131101155388","0.218687654074568","0","0.114917723226329","0.118964121931481","0.975182087941732","0.418762894715725","0","0.139901477832512","0.142533936651584","0.440048691418138","0.262429567358897","0","0.595083487940631","0.58982683982684","0.288806431663575","0.453396913313591","0.71343537414966","0.386072049251396","0.709555367342162","0.697959960747662","0.0667839460541959","0.484558791285695","0","0.267284990984845","0.311910843579336","0.340633726193737","0.363199240029683","0.380892964641204","0.39734512627906","0.414567917645279","0.432749963977592","0.451797200512888","0.47192748244249","0.492628544464019","0.514050066661748","0.536186714741834","0.558339066562785","0.580555642184981","0.601993092087903","0.622853493117453","0.642683268259577","0.661460798950263","0.679409646368335","0.20020732046011","0.218623846517914","0.226045434477486","0.229486546325689","0.228712157585953","0.227105850186511","0.226689790467501","0.227485116592677","0.229364434110075","0.23257511536405","0.236429062796796","0.241369557254072","0.24761135710336","0.254200742677836","0.261317420027702","0.267517659345081","0.273089699805792","0.277044377835021","0.279098860147503","0.279453577491814"
"2.1all_bug_me_all.csv-->2.0all_bug_me_all.csv","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n"
"2.1all_bug_me_all.csv-->2.1all_bug_me_all.csv","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n"
"2.1all_bug_me_all.csv-->3.0all_bug_me_all.csv","2048","2087","2990","1372.31362099006","0","0.290496453900709","0.289700166574126","0.308565531475748","0.257171016693802","0","0.680172700099635","0.693125207572235","0.993025572899369","0.455766728990388","0","0.40711658880827","0.408614782183064","0.470829068577277","0.302371986444916","0","0.388644050425336","0.380854770933689","0.311161217587373","0.472605771513537","0.6914010454033","0.435902112257034","0.292615671824618","0.269786196533784","0.0413251319254417","0.372201965294701","0","0.182987099740384","0.248707972073712","0.298862328772289","0.336293250287735","0.366243404693541","0.391115758923392","0.414008201614159","0.435085542209547","0.455796965227266","0.477551995072513","0.499598516095584","0.521836208013691","0.543189194805687","0.564644243262064","0.585871436148692","0.606879362342849","0.627860594721602","0.647822956644151","0.667150997350415","0.685577174849965","0.0986863723242312","0.137939039687864","0.168056561380722","0.187485869301767","0.200289043116069","0.208186483259248","0.214448923229177","0.218856383815018","0.223087727022327","0.229019833633625","0.235436755902232","0.242174456336908","0.247637890671799","0.2534606442061","0.259168832553533","0.264814842746107","0.270806699932518","0.275185636228923","0.278552963595434","0.280145260539877"
"2.1all_bug_me_all.csv-->3.1all_bug_me_all.csv","1458","1539","3122","1279.85737065911","0","0.216224232537446","0.221247843588269","0.280427557711309","0.199695950903668","0","0.455198251639088","0.480487043396815","0.974711208242273","0.399580821310992","0","0.293183189221798","0.302982577025298","0.435546875","0.245562899487951","0","0.377214741318214","0.372696669029057","0.283132530120482","0.442962194067469","0.716247342310418","0.359731802918993","0.355822727180219","0.346455053543395","0.0694438965833351","0.418889795247466","0","0.222132406026809","0.263356367750001","0.291050187235114","0.315507019519487","0.338294224393665","0.361587057438789","0.385678511958123","0.408142810923074","0.429716691668817","0.451206527547825","0.473700072082591","0.495354065653897","0.516627299230894","0.537814536823397","0.55887469157286","0.580205303552509","0.601476152718516","0.622879339701473","0.643269212602164","0.662887432284832","0.142620394256976","0.155102164442383","0.159426493588183","0.163478600768834","0.167081844289896","0.17229174757534","0.179248069052362","0.184550088476266","0.188910809448038","0.193208675528553","0.198866674146524","0.203173094990987","0.206858007800938","0.210440813780785","0.213900984595216","0.218011266487967","0.222257482346569","0.227083396687616","0.230132498324049","0.231676356053451"
"2.1all_bug_me_all.csv-->3.2all_bug_me_all.csv","2581","2633","3650","1624.18823438466","0","0.259867096254531","0.261029047288589","0.284400810347514","0.228915588481934","0","0.696250337199892","0.710277852711087","0.984623684920421","0.438140877902526","0","0.378473495124276","0.381760185587937","0.441327610180763","0.276684064066749","0","0.34469696969697","0.340754483611626","0.285636982065553","0.464448873030406","0.71343537414966","0.413197126158109","0.239006736801677","0.229639646715871","0.0484977265547375","0.41944534930496","0","0.238676423205408","0.278523527398933","0.31024180195854","0.335258284768832","0.355870309821156","0.376071480678103","0.394246147524353","0.412508086242993","0.431498418397187","0.451595523038072","0.472375207291055","0.492968659863099","0.513145163732642","0.533162911818434","0.553852152542904","0.574896742411039","0.595558931458679","0.615913776308399","0.636199574176254","0.655560539237116","0.168979731560479","0.180710078441928","0.19037183476323","0.195678669058077","0.197538760506979","0.199822778320409","0.199846314026859","0.199918521925293","0.200829440386502","0.203027560659769","0.205948712595945","0.20845876567622","0.210233813498954","0.211687683249107","0.214289960352651","0.217650189107863","0.220482297517886","0.222881913585619","0.225306431745754","0.225851250944091"
