"","BPP","BCE","MFM","AVG","X0.5","BPP","BCE","MFM","AVG","X0.5","BPP","BCE","MFM","AVG","X0.5","BPP","BCE","MFM","AVG","X0.5","BPP","BCE","MFM","AVG","X0.5","AUC","BPP","BCE","MFM","AVG","X0.5","AR0.05","AR0.1","AR0.15","AR0.2","AR0.25","AR0.3","AR0.35","AR0.4","AR0.45","AR0.5","AR0.55","AR0.6","AR0.65","AR0.7","AR0.75","AR0.8","AR0.85","AR0.9","AR0.95","AR1","CE0.05","CE0.1","CE0.15","CE0.2","CE0.25","CE0.3","CE0.35","CE0.4","CE0.45","CE0.5","CE0.55","CE0.6","CE0.65","CE0.7","CE0.75","CE0.8","CE0.85","CE0.9","CE0.95","CE1"
"2.0all_bug_me_all.csv-->2.0all_bug_me_all.csv","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n"
"2.0all_bug_me_all.csv-->2.1all_bug_me_all.csv","640","595","1706","662.357546927231","0","0.154963680387409","0.151015228426396","0.219873695063797","0.146738403735223","0","0.3744880046811","0.34815681685196","0.998244587478057","0.38757024395976","0","0.219215619112862","0.210656753407683","0.360371778622729","0.1988886080792","0","0.413859604011314","0.426716379532013","0.221393674466444","0.450501133240957","0.780277706351247","0.355823429430286","0.455286370949994","0.463975581263884","0.0338301201962768","0.454729329943861","0","0.193809069417761","0.225957797554221","0.257121642663975","0.288175929376413","0.314260023684775","0.339166113953963","0.364053707282994","0.387393335932706","0.409391611511631","0.432974795705203","0.455722579420718","0.478275343722535","0.501603697078232","0.525457854785326","0.548783387420918","0.57209343673936","0.595075283544283","0.617234973387933","0.638225133302235","0.657670676710094","0.133346881855226","0.138974004708007","0.14825263594649","0.160121879590461","0.167734742249739","0.174683462772705","0.182107960209216","0.187626751558149","0.191209616951911","0.196973096303947","0.201704380158825","0.206330495308969","0.212418592469625","0.219767700853052","0.226754866410653","0.234268840562088","0.241811631990974","0.248429010004809","0.253271115618571","0.255241808240308"
"2.0all_bug_me_all.csv-->3.0all_bug_me_all.csv","1053","982","3000","1130.91349800143","0","0.203281853281853","0.198865937626569","0.308134757600657","0.198072407766763","0","0.349717701760213","0.326137495848555","0.996346728661574","0.375593988044316","0","0.257111463801734","0.24707510378664","0.470698987997176","0.240757746110924","0","0.376345188070104","0.386594240032797","0.308496464077073","0.423145193393686","0.6914010454033","0.319988705313446","0.374827157491981","0.395643199632613","0.022319670708903","0.396464391537099","0","0.206237840417259","0.241319112612559","0.270659810383417","0.295414172021795","0.319667020862718","0.343080204365786","0.366488128048183","0.390196683303468","0.412709253335616","0.434950231335612","0.456993176579714","0.479147103928861","0.501508590097088","0.523918089673059","0.546225300318306","0.568793975382325","0.591410370531431","0.613168816503882","0.634431169955618","0.65463877520942","0.124336162454796","0.129460782171576","0.134592519882171","0.137441435136535","0.141516251231309","0.145719434817334","0.150745907144639","0.156785666578536","0.161575074493426","0.166152113623984","0.170340073250582","0.174517946049523","0.178990417100552","0.183624249501893","0.18824618761733","0.193590367306413","0.199383843636108","0.203864069387262","0.207633050007781","0.209313400283133"
"2.0all_bug_me_all.csv-->3.1all_bug_me_all.csv","1085","1017","3187","1191.85125797307","0","0.184838160136286","0.181932021466905","0.283012165882248","0.183380470506481","0","0.338744926631283","0.317514829847018","0.995004683109585","0.37210466998847","0","0.239171167199383","0.231320368474923","0.440680309734513","0.227338550192086","0","0.388465627214741","0.401222537207654","0.283309709425939","0.4273553389361","0.716247342310418","0.321365869311991","0.415725484075782","0.447077165792078","0.0242367135417954","0.43646426290887","0","0.230184409004344","0.267410208452943","0.290075749131105","0.30865360312448","0.32787136686204","0.347301602695425","0.366673188528685","0.386044930274041","0.40689302157693","0.429087656208902","0.451195958306742","0.472998823054142","0.494602893030674","0.516166686248989","0.538132112786545","0.559914900181039","0.582222024858538","0.604411472973967","0.626069560742538","0.646585448674021","0.151495456274996","0.159751741368948","0.158271141207634","0.155103015283295","0.153962135209958","0.153770524096873","0.153856386998857","0.154104036366602","0.156449694367491","0.160691318090598","0.164610930304849","0.167874566737568","0.170719265619492","0.173459427206119","0.176937064254718","0.180214536397813","0.184681929517824","0.189233121366845","0.193013602297565","0.194522002727776"
"2.0all_bug_me_all.csv-->3.2all_bug_me_all.csv","1411","1343","3686","1505.17486085343","0","0.20962709849948","0.208281637717122","0.285669999224986","0.207943552672585","0","0.380631238198004","0.36228756406798","0.994335041812787","0.406035840532353","0","0.270358306188925","0.264500246184146","0.443829018663456","0.25291107709592","0","0.411255411255411","0.422619047619048","0.28586889301175","0.446089423780419","0.71343537414966","0.368230934128394","0.529121440805951","0.550546218161378","0.0271062479879952","0.519317343850662","0","0.279452822354537","0.321374816190105","0.347016497856238","0.367934082575348","0.384473571887006","0.399689481467272","0.415561143214855","0.431580157664174","0.448392132696184","0.466938105571954","0.486621126759471","0.506097064134505","0.525839338896234","0.546389463137406","0.567245514569697","0.587971206339368","0.608558149952527","0.628990859059565","0.648760659579089","0.667633649032888","0.213489077126234","0.229370887720729","0.233537439248012","0.235215590811494","0.233172902948903","0.230112443991795","0.228001764130154","0.225892004683587","0.224577763253461","0.22532427037218","0.227388172701812","0.228953895856703","0.230826050779762","0.234022355401008","0.237876982164058","0.24171211806098","0.245536926541922","0.249340653567994","0.252054591948798","0.252986303428817"
"2.1all_bug_me_all.csv-->2.0all_bug_me_all.csv","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n"
"2.1all_bug_me_all.csv-->2.1all_bug_me_all.csv","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n"
"2.1all_bug_me_all.csv-->3.0all_bug_me_all.csv","1419","1153","3003","1153.73024495234","0","0.226785999680358","0.211753902662994","0.308347879659103","0.202579167849697","0","0.471272002656925","0.382929259382265","0.997343075390236","0.383171785105394","0","0.306214933103151","0.272705771050142","0.471058823529412","0.246200712002901","0","0.340985958798811","0.369683304294353","0.308803935635954","0.427822141374542","0.6914010454033","0.330948765486132","0.332810460978844","0.388132550717213","0.0223767063382338","0.415423659848716","0","0.216656339842452","0.250210763159878","0.281087441772461","0.308850270160007","0.33387545223641","0.358125024366676","0.38163484169383","0.406087644849949","0.431068761344074","0.454620930417989","0.477767809448072","0.499700531757788","0.521691509282519","0.543417716593394","0.565046395295114","0.586794529025153","0.607376579490794","0.627698563595036","0.648130252164685","0.667632961201395","0.135829659691956","0.13966339916292","0.146965552840541","0.153889994087425","0.159445276875894","0.16528422403338","0.171050828214614","0.178759122906112","0.187785378711151","0.19518030151644","0.202081627206097","0.207092375313382","0.212231451415169","0.217061820256448","0.221915088971586","0.227253672136777","0.230669035248469","0.233767691989341","0.237325679946645","0.239062914706223"
"2.1all_bug_me_all.csv-->3.1all_bug_me_all.csv","1468","1200","3191","1213.43568391212","0","0.206064008983717","0.193986420950533","0.283317055846577","0.185980933222027","0","0.458320324695598","0.374648766781143","0.996253512332189","0.378843485454923","0","0.284303282657112","0.255618276706785","0.441172404258261","0.231269258845861","0","0.345233876683203","0.380846917080085","0.28384124734231","0.431179621140166","0.716247342310418","0.330774218125362","0.342099520885827","0.403124318673452","0.0273481549456541","0.435811186743586","0","0.230703592161737","0.266205304337607","0.292103265545915","0.312666504175268","0.331627091904462","0.350366795181505","0.370543116104505","0.391422950460194","0.412035952201493","0.43265851502344","0.453094734645912","0.473453986819541","0.493319432499378","0.513197885024283","0.533682502256061","0.554355933172146","0.575229632782888","0.596999309010894","0.618959777580371","0.639991963776008","0.152067709257693","0.15836976936168","0.160675086524238","0.160007196476833","0.15868963146435","0.157744574350021","0.15902672629564","0.161513773319887","0.163764261314134","0.165940902965595","0.167501246117109","0.168593262182773","0.168613299682481","0.168387774231759","0.169007719938882","0.169859356573707","0.171035868800422","0.174041737821332","0.177669843940057","0.179494588064825"
"2.1all_bug_me_all.csv-->3.2all_bug_me_all.csv","1880","1551","3690","1516.12778293135","0","0.230844793713163","0.219906422798809","0.285891376772294","0.2082234304902","0","0.507148637712436","0.41839762611276","0.995414081467494","0.408990499846602","0","0.317272803982786","0.288289962825279","0.444203683640303","0.254106104022","0","0.374536178107607","0.408008658008658","0.286178107606679","0.447782795582955","0.71343537414966","0.372372270551568","0.449435427067486","0.52658287637344","0.0236377830639644","0.514163494090226","0","0.275217058894111","0.315108821216241","0.347242796622654","0.369738204746663","0.386979324143712","0.403733316186395","0.420174138978694","0.43677948502021","0.452493956399951","0.469054814757555","0.486504142767062","0.504691777220965","0.522678083807443","0.540618689020799","0.558633261621251","0.577010348068585","0.595892403558551","0.615664631102016","0.635850776023725","0.655448246357963","0.208865543329014","0.222255386764595","0.233803065456688","0.237398534822325","0.236294586504928","0.235298590049034","0.234095172448945","0.232972758339257","0.230343898038053","0.228400392019414","0.227212117120153","0.226760061965049","0.225697925946552","0.22427768766043","0.222709961535931","0.221540018124607","0.221125029983389","0.222377820405284","0.224563684716882","0.225598865831969"
