"","BPP","BCE","MFM","AVG","X0.5","BPP","BCE","MFM","AVG","X0.5","BPP","BCE","MFM","AVG","X0.5","BPP","BCE","MFM","AVG","X0.5","BPP","BCE","MFM","AVG","X0.5","AUC","BPP","BCE","MFM","AVG","X0.5","AR0.05","AR0.1","AR0.15","AR0.2","AR0.25","AR0.3","AR0.35","AR0.4","AR0.45","AR0.5","AR0.55","AR0.6","AR0.65","AR0.7","AR0.75","AR0.8","AR0.85","AR0.9","AR0.95","AR1","CE0.05","CE0.1","CE0.15","CE0.2","CE0.25","CE0.3","CE0.35","CE0.4","CE0.45","CE0.5","CE0.55","CE0.6","CE0.65","CE0.7","CE0.75","CE0.8","CE0.85","CE0.9","CE0.95","CE1"
"2.0all_bug_me_all.csv-->2.0all_bug_me_all.csv","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n"
"2.0all_bug_me_all.csv-->2.1all_bug_me_all.csv","334","446","1705","714.510799691437","0","0.147396293027361","0.158605974395448","0.219914871662582","0.164303240171943","0","0.195435927442949","0.260971328262142","0.997659449970743","0.418087068280537","0","0.168050314465409","0.197301481973015","0.360388924117523","0.218673612052935","0","0.574826433530471","0.533427616353818","0.221907945487272","0.463920297645098","0.780277706351247","0.394931903164322","0.618375073634042","0.599178028545192","0.0378281766110226","0.469634476045613","0","0.203276492176938","0.260359950620012","0.297435159413882","0.325803910479028","0.348755594495765","0.373096155390005","0.396952821316518","0.42104056900213","0.444531536647635","0.467251485761087","0.48959733144217","0.51190266413918","0.534409826603091","0.556850926709721","0.579385504383045","0.60154879737922","0.622876351242107","0.643649282878175","0.663033695358221","0.680968852869064","0.143524336281698","0.177242135295804","0.194474108531307","0.204518970595804","0.209601143690296","0.217058747844","0.224419589024957","0.232246102983757","0.239330900132077","0.245516095937902","0.251388723362241","0.257485790382797","0.264259863192027","0.271383535045768","0.279197390375458","0.286978682828947","0.293866854332599","0.300294325154776","0.304477740435465","0.305928402601256"
"2.0all_bug_me_all.csv-->3.0all_bug_me_all.csv","417","563","2995","1217.99210822999","0","0.195316159250585","0.200071073205402","0.308032500257122","0.223368583185207","0","0.138492195283959","0.186981069412155","0.994686150780472","0.404514150856854","0","0.16206762534007","0.193304721030043","0.470394220197895","0.265018580321026","0","0.558060879368658","0.518397048273035","0.308803935635954","0.440998134340607","0.6914010454033","0.361811390648559","0.630438640418549","0.580133093347861","0.0257482451486362","0.422892794681859","0","0.244127444763086","0.282924625753694","0.309240513709108","0.329815090450042","0.350231563273189","0.372664514705867","0.394368751450109","0.416124817343162","0.438850018127406","0.461129145374696","0.482624019912898","0.504801822823481","0.526917203959358","0.548755704560442","0.570274333981488","0.590968073943396","0.610961307355956","0.631268987053526","0.651162178776449","0.670238859484151","0.166135278152093","0.177200525546366","0.180370923049302","0.179555263787616","0.180084369715311","0.184191865585635","0.188121265971767","0.192638167971248","0.198894015576225","0.204784519740541","0.209501429397807","0.21517723815752","0.22083811006918","0.22621529540058","0.231267305308336","0.235058727336399","0.23769317594619","0.241115968250618","0.243897351939773","0.24502898357701"
"2.0all_bug_me_all.csv-->3.1all_bug_me_all.csv","289","383","3150","1242.51904677534","0","0.155459924690694","0.155312246553122","0.281501340482574","0.195172019655909","0","0.0902279113331252","0.119575398064315","0.9834530128005","0.387923523813717","0","0.114184116949822","0.135120832598342","0.437712777044397","0.238811726920532","0","0.602763997165131","0.565644932671864","0.283043940467753","0.436325951657549","0.716247342310418","0.343434504332769","0.667520174539169","0.604182298995609","0.0635761850653534","0.437459485326791","0","0.239773286075445","0.274893332730017","0.302657252730847","0.32403825021844","0.343119220710004","0.364651276718793","0.386423735764533","0.407799992549084","0.429179402883938","0.451456569641409","0.474463752110569","0.497310211330777","0.519766397816643","0.541769076808925","0.563720274324846","0.585835330944949","0.607331298793067","0.628628835349074","0.648800370344271","0.667741239223315","0.162064488468183","0.168334555674419","0.173188528032976","0.173904649311278","0.17315527931384","0.176264536057857","0.180243710406288","0.184077759647795","0.188146646935733","0.193576266985052","0.20002914726926","0.206261814030158","0.212008797040894","0.21719642082949","0.222535963721623","0.228498816777453","0.233684141203533","0.23886710708732","0.242069395117715","0.242738817056505"
"2.0all_bug_me_all.csv-->3.2all_bug_me_all.csv","368","481","3672","1522.32436611008","0","0.178208232445521","0.176384305097176","0.285270354257303","0.214886401555487","0","0.0992716482330726","0.129754518478554","0.990558403021311","0.410662089589987","0","0.127512127512128","0.149518184644078","0.442970022317389","0.257075899077859","0","0.610698824984539","0.576994434137291","0.286100803957947","0.448733350792389","0.71343537414966","0.374692501028078","0.751853709127431","0.696067919109338","0.0398216281336987","0.487279835896075","0","0.2647924421873","0.308396147451442","0.340046773619691","0.362598614965383","0.380070292336139","0.396156437182778","0.414026284141882","0.431893609159313","0.450548767650956","0.470281863910776","0.490536941975838","0.510418958882308","0.530634093079699","0.550714735459894","0.571414431594442","0.591851109180787","0.612161322910796","0.63174368046464","0.651299512277871","0.67007351156697","0.197486586945517","0.214632648988573","0.2253564780621","0.228759804585181","0.227687266717414","0.225581377576191","0.225974334771397","0.226318881598253","0.227609450797457","0.230183609330568","0.233281296294106","0.235700930275463","0.238604005201901","0.241326114102787","0.245218853204048","0.248852597932812","0.252481664167618","0.254910411530129","0.257460943115203","0.258470043661265"
"2.1all_bug_me_all.csv-->2.0all_bug_me_all.csv","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n"
"2.1all_bug_me_all.csv-->2.1all_bug_me_all.csv","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n"
"2.1all_bug_me_all.csv-->3.0all_bug_me_all.csv","1941","2019","3007","1342.36732602234","0","0.280410286044496","0.283806578577453","0.30901243448772","0.248934143919031","0","0.644636333444038","0.670541348389239","0.998671537695118","0.445821097981515","0","0.39081848384174","0.398814814814815","0.471982420342175","0.294363639626052","0","0.379829865737419","0.37614020703085","0.310443783949985","0.46646242232945","0.6914010454033","0.421518913307594","0.286246548645029","0.273880251470274","0.0184507630575689","0.362430257269036","0","0.17922423355796","0.241260593716632","0.291681230222828","0.328521860300571","0.359393889319433","0.385079494947616","0.407187746668683","0.428365739010698","0.449784987221869","0.470482163790842","0.492196224138474","0.514321502000314","0.536548093827275","0.558594167933092","0.579709568693342","0.600721309564971","0.620983169384911","0.640883660826227","0.660689224390559","0.679525134015825","0.0945352474542789","0.129393635371472","0.159535741482625","0.177972083006125","0.191645925972065","0.200336722854572","0.205305765012213","0.209564478999321","0.214504938616498","0.218586834279973","0.224126796730392","0.230264654161383","0.236700074220075","0.243086095877077","0.248145918755594","0.253298507641282","0.2573306412134","0.260903895331331","0.264547132378583","0.266289427154425"
"2.1all_bug_me_all.csv-->3.1all_bug_me_all.csv","1466","1547","3179","1261.6362508859","0","0.214484272128749","0.217733990147783","0.282929868280527","0.194710103686503","0","0.457695910084296","0.482984701842023","0.992507024664377","0.393892054600655","0","0.292090057780434","0.300155219247187","0.440335203268924","0.241319954304457","0","0.370481927710843","0.360914245216159","0.284107016300496","0.439713430681077","0.716247342310418","0.351767890762583","0.351942148416238","0.339065196096231","0.037265466955669","0.406512848655622","0","0.211669569128955","0.260193784914332","0.286958454503433","0.311664292627505","0.335277642342162","0.35688147557267","0.378312720461915","0.399869040252414","0.4214945047652","0.442649404918798","0.464298771708512","0.486168679764476","0.50806132869479","0.529824889960406","0.5513478219143","0.572583251572203","0.593901593094508","0.615334894619791","0.636254885342968","0.656156517489018","0.131088067876575","0.151474821076274","0.154575089345398","0.158782390043213","0.163284739819132","0.166190917401971","0.169407150720269","0.173150639950719","0.17721674998181","0.180628692992155","0.184556022298561","0.188669534947321","0.192802536887264","0.196791965909271","0.200487868832778","0.2038129957016","0.207475287724396","0.211620900250019","0.214994745167487","0.216335720674402"
"2.1all_bug_me_all.csv-->3.2all_bug_me_all.csv","2524","2607","3685","1611.71134817563","0","0.258104100623786","0.259842519685039","0.285681060547329","0.226245843666084","0","0.680874022120313","0.70326409495549","0.99406528189911","0.434775114155822","0","0.374314103514756","0.379475982532751","0.443815488377695","0.273955625730252","0","0.347711811997526","0.340909090909091","0.286023500309215","0.462506104932556","0.71343537414966","0.408459666800762","0.254966487908145","0.242719563353166","0.0236397312574181","0.429902109597908","0","0.242014870875557","0.284148918551042","0.313443193030917","0.339401472193181","0.360291433914874","0.379889760861486","0.397842948899289","0.416049127152214","0.434561650168075","0.454777939319715","0.475286622605775","0.495512989940459","0.51529113075872","0.535101772602753","0.555250759982154","0.575697391826396","0.596214439683172","0.616565289248097","0.636940547469614","0.656310500358128","0.172623803231948","0.187098126355853","0.194129581155363","0.200691825216535","0.203046627593826","0.204719654699861","0.204597408660606","0.204740922333249","0.205135575545642","0.207652428204665","0.210330260072044","0.212430792670481","0.213714958325484","0.214961690125248","0.216753044984365","0.21912368503506","0.221745720807112","0.224200113660868","0.226884294782374","0.227536834420464"
