"","Sum","Mean","SD","Var","Min","25%","Median","75%","Max","Skewness","Kurtosis","ks.p"
"LOC",1798399,139.022804576376,287.635246657374,82734.0351196482,2,25,62,145,9176,10.3840641862945,197.011592063299,0
"CCMax",81302,6.28494124922696,12.0588292105531,145.415361929289,0,2,4,7,823,30.2661607099506,1747.72591060312,0
"CCSum",388311,30.0178571428571,65.1428633537237,4243.59264592192,0,5,13,31,1996,9.9042718325504,170.555588468351,0
"n1",1344806,103.958410636982,209.20813051318,43768.0418728197,0,20,51,113,10628,15.5989494608105,574.122335722545,0
"n2",1674085,129.412878787879,256.881772227114,65988.244902543,0,20,56,138,6598,8.36295484654213,129.874216461602,0
"n",3018891,233.371289424861,457.186885185745,209019.847985844,0,41,109,251.25,16373,10.1007063918692,213.543045859448,0
"N1",5140075,397.346552257267,971.122537355318,943078.98255943,0,44,145,390,28675,10.6914256159425,191.201580632854,0
"N2",3502054,270.721552257267,635.691612809958,404103.826596925,0,31,98,272,15722,9.68224772290556,156.513356094887,0
"N",8642129,668.068104514533,1603.25432077553,2570424.41708542,0,76,243,662,44397,10.1977808924551,173.211853208581,0
"V",47362758.3634552,3661.31403551757,9596.23512153966,92087728.5078713,0,319.256943025,1176.3692455,3459.81517275,291088.9979,11.2964235644984,212.830488605422,0
"L",30893.280723962,2.38816332127103,13.4326963026663,180.437329959666,0,0.4331858285,0.9561801495,2.07153717775,1013.39991,45.8986496256477,2891.01795628989,0
"D",813890.981216326,62.9167425182689,116.169440950633,13495.3390107826,0,11.6377339875,31.006168035,69.42266843,3762.653518,8.48067332050471,149.335857875732,0
"E",646693397.904862,49991.7592690833,204172.700410373,41686491592.864,0,1749.13492575,9554.0018665,35545.9988,9116863.901,18.5951843504573,549.828982905599,0
"T",1995967.27750602,154.295553301331,630.162655615271,397104.972532091,0,5.398564584,29.48766008,109.709872825,28138.46883,18.5951843506603,549.82898288526,0
"WMC",388311,30.0178571428571,65.1428633537237,4243.59264592192,0,5,13,31,1996,9.9042718325504,170.555588468351,0
"DIT",32080,2.47990105132962,1.58244071424401,2.50411861409708,1,1,2,3,10,1.06377328540121,3.65479093494176,0
"NOC",9093,0.702922077922078,5.91572909769226,34.9958507572829,0,0,0,0,467,47.0730075760565,3230.13199172815,0
"CBO",198166,15.3189548546691,16.8742546795727,284.740470991081,0,4,10,20,224,2.95919381461881,17.9656755822614,0
"RFC",4456522,344.505411255411,597.920407781059,357508.814041068,11,33,113,469,5930,4.2534895921563,26.4330874966606,0
"LCOM",2582903,199.667826221398,4228.08220161873,17876679.1036451,0,2,14,62,452676,96.2283146793918,10165.5518704389,0
"Size",176150,13.6170377241806,43.4396166437306,1887.00029415428,0,3,7,13,1705,20.1602162155702,572.815967385099,0
"Ties",501159,38.7414192949907,243.311237741082,59200.3584110972,0,1,7,26,15458,36.4900010468615,1853.28968691572,0
"Pairs",26630840,2058.66110080396,46086.3221407562,2123949088.46156,0,6,42,156,2905320,44.9508345187019,2336.60996189742,0
"Density",224797.20402,18.7549811463374,15.4180113778866,237.715074848641,0,8.333333,16.071428,25,100,1.34454012413562,5.77344254061365,NA
"nWeakComp",28276,2.18583797155226,4.58004651649581,20.9768260932654,0,1,1,2,238,22.8203781674237,817.819975866876,0
"pWeakComp",458493.382161,35.4432113606215,32.3021326225826,1043.42777196692,0,10,25,50,100,0.973093021407652,2.6424422576295,0
"X2StepReach",108204.514853,8.36460380743661,9.24672761629298,85.5019716099152,0,0.67066125,4.360263,14.7816,52.848858,1.11376351837367,3.38843855776126,0
"ReachEffic",869746.975303,67.3074582342517,25.6338576916859,657.094660157602,0,50.162002,72.2077215,87.919464,100,-0.761952718154046,3.01799062400348,NA
"Broker",13064840.5,1009.95984075448,22937.0667007578,526109028.835012,0,2.5,14.5,70,1444931,44.9776898335493,2338.11372856842,0
"nBroker",4596.513917,0.383490231686968,0.111937763512235,0.0125300629001211,0,0.35,0.416667,0.450758,0.5,-2.02163690755235,7.27243181067964,NA
"EgoBetween",850965.942531,65.7827723044991,975.947218277851,952472.972864275,0,0,2,11.166667,74349.82031,53.5717988564714,3613.05213025666,0
"nEgoBetween",105038.467547,8.76342963015184,10.8021818639647,116.687133022167,0,0,5.231374,13.636364,92.131371,1.82292279366787,7.24748261429493,NA
"Size2",90461,6.99296536796537,42.3454951944857,1793.14096326621,0,1,1,3,1689,21.6535837342092,632.334267748441,0
"Ties2",183315,14.1709183673469,196.744318330865,38708.3267954766,0,0,0,1,12833,43.0077552934315,2310.00559476695,0
"Pairs2",23736408,1834.91094619666,45528.1222718896,2072809917.60413,0,0,0,6,2851032,45.1371700417044,2344.66111929295,0
"Density2",106179.497604,12.0071805500396,20.6457800618439,426.24823436203,0,0,0,16.666666,100,2.18174694679516,7.95278537625277,NA
"nWeakComp2",27716,2.14254792826221,6.60708608380197,43.6535865187696,0,1,1,2,271,15.6122400558237,393.258938652219,0
"pWeakComp2",738439.883898,57.0840973947124,42.9684841424751,1846.29062950213,0,5.263158,62.9170895,100,100,-0.226705475214081,1.30853960379442,0
"X2StepReach2",8401.847905,0.64949349914966,2.127446901563,4.52603031897002,0,0.023193,0.177812,0.510244,52.848858,10.9546537134523,166.758434999376,0
"ReachEffic2",793624.071013,61.6024273083133,39.4646624408342,1557.45958156899,0,25.7780525,73.972603,100,100,-0.583895846124866,1.76187492200992,NA
"Broker2",11776546.5,910.370013914657,22675.0568510338,514158203.197617,0,0,0,3,1419099.5,45.1440346805112,2344.89373449297,0
"nBroker2",2364.602466,0.267398220739568,0.215508494145218,0.0464439110487393,0,0,0.333333,0.482143,0.5,-0.268476936027349,1.29434108469027,NA
"EgoBetween2",298188.572937,23.0510646982839,590.72791633666,348959.471139452,0,0,0,0,56727.33984,72.8568956048234,6649.5662777798,0
"nEgoBetween2",34864.10552,3.94256536469524,12.6774476666599,160.717679340902,0,0,0,0,100,4.04659611233044,21.1850965974873,NA
"Size3",90461,6.99296536796537,9.01070256500551,81.1927607149969,0,2,4,9,187,3.90481410041637,33.9159058821995,0
"Ties3",183315,14.1709183673469,32.6720347605036,1067.46185539156,0,0,3,14,909,6.94043089008428,95.8728617682861,0
"Pairs3",1592358,123.095083487941,552.139854095552,304858.418480658,0,2,12,72,34782,26.155858624714,1304.64658740983,0
"Density3",211635.436594,18.3472420107499,17.7282036066016,314.289203117123,0,4.444445,15,26.3228435,100,1.34691646046492,5.49666825187785,NA
"nWeakComp3",22011,1.7015306122449,1.82633337545195,3.33549359828972,0,1,1,2,108,20.5504660583794,1007.4311539813,0
"pWeakComp3",518281.848508,40.0650779613482,35.1761675278032,1237.36276194407,0,11.111111,28.571428,66.666664,100,0.654510967653508,2.0327200969982,0
"X2StepReach3",103442.234329,7.99646214664502,9.1791264664008,84.2563626861797,0,0.301508,3.803633,14.44337075,45.991497,1.11370722803852,3.33224797165938,0
"ReachEffic3",829260.01734,64.2737573507983,32.1587998109683,1034.18840528194,0,43.04229075,73.2347565,91.42479925,100,-0.803974165397098,2.51832730804264,NA
"Broker3",704521.5,54.4620825602968,263.492167611959,69428.1223928485,0,0.5,5,29,16936.5,27.5707518429112,1414.8373276367,0
"nBroker3",3870.822827,0.335571983268314,0.159948835939579,0.0255836301184262,0,0.25,0.4,0.4456755,0.5,-1.21730390323959,3.17974972224679,NA
"EgoBetween3",105244.054079,8.1357493876778,163.865496500415,26851.9009433276,0,0,0,0,8609.363281,42.7551855059999,1982.22080420181,0
"nEgoBetween3",27918.697662,2.4203465680104,7.73498210691407,59.8299481942808,0,0,0,0,100,5.04057196097382,37.9068377137547,NA
"Degree",176150,13.6170377241806,43.4396166437306,1887.00029415428,0,3,7,13,1705,20.1602162155702,572.815967385099,0
"OutDegree",90461,6.99296536796537,9.01070256500551,81.1927607149969,0,2,4,9,187,3.90481410041637,33.9159058821995,0
"InDegree",90461,6.99296536796537,42.3454951944857,1793.14096326621,0,1,1,3,1689,21.6535837342092,632.334267748441,0
