"Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-7.55994567340947,1.31699318492836,-5.74030736067984,9.45048690306225e-09
"LOCE",-0.000446946717155219,6.76192432978041e-05,-6.60975626696688,3.84953288848961e-11
"NMax",-0.145973165471148,0.0386427212459677,-3.77750740021653,0.000158405799676743
"n",0.000717868086319855,9.44161796582857e-05,7.60323165921337,2.88825789218486e-14
"L",-0.0057337455150342,0.00342058117104595,-1.67624892622587,0.0936894443943504
"Pairs",-1.92865228461184e-06,6.23763295590583e-07,-3.09196180385346,0.00198838432473299
"nWeakComp",-0.0453361169514466,0.0268834290489531,-1.68639636219369,0.0917194816563356
"Density2",0.0125253558703499,0.00220022032398252,5.69277346174053,1.24992179728219e-08
"nBroker2",-0.363687281323464,0.11080701268789,-3.28216845217065,0.00103012046342407
"EgoBetween2",-5.5595698355958e-05,2.14272821966659e-05,-2.59462202652134,0.00946949923220566
"nEgoBetween2",0.00675824531090786,0.00409580448743893,1.65004099478726,0.0989345516932136
"Ties3",0.00318649791442169,0.000832617615349379,3.82708443309188,0.000129670045618983
"Pairs3",-0.000310719373731357,0.000104220072078267,-2.98137745959353,0.00286954862758272
"Density3",0.0100223773799194,0.00441680133873013,2.26914832959204,0.0232593072012802
"nWeakComp3",0.173918829007776,0.0477458542230567,3.64259540095921,0.00026990289736498
"ReachEffic3",-0.0204631393715749,0.00325895380375667,-6.27905168461933,3.4064434780373e-10
"nBroker3",-0.776373149092962,0.25254972861674,-3.07413970842612,0.00211110544974194
"Eigenvec",-31.174670171133,8.12281873352486,-3.83791282236393,0.000124084516010478
"Power",0.000453242635763159,0.000200793450039618,2.25725807128535,0.0239919536714602
"inCloseness",25.0022155229298,7.95348325504565,3.14355543617553,0.00166908797686744
"outCloseness",271.588749127497,138.19275554574,1.96528933846756,0.0493807588574958
"Betweenness",1.55908454657189e-06,5.7265338992039e-07,2.72256232830234,0.00647778128588866
"Betweenness2",1.86913647342855e-06,8.07933233838581e-07,2.31347888061006,0.020696324601143
"Efficiency",1.82380626978825,0.298894369013611,6.10184218527447,1.04852877223102e-09
"Indirectsfile",2.06317591097984,0.425770805999738,4.84574301926449,1.26138703061941e-06
