"","BPP","BCE","MFM","AVG","X0.5","BPP","BCE","MFM","AVG","X0.5","BPP","BCE","MFM","AVG","X0.5","BPP","BCE","MFM","AVG","X0.5","BPP","BCE","MFM","AVG","X0.5","AUC","BPP","BCE","MFM","AVG","X0.5","AR0.05","AR0.1","AR0.15","AR0.2","AR0.25","AR0.3","AR0.35","AR0.4","AR0.45","AR0.5","AR0.55","AR0.6","AR0.65","AR0.7","AR0.75","AR0.8","AR0.85","AR0.9","AR0.95","AR1","CE0.05","CE0.1","CE0.15","CE0.2","CE0.25","CE0.3","CE0.35","CE0.4","CE0.45","CE0.5","CE0.55","CE0.6","CE0.65","CE0.7","CE0.75","CE0.8","CE0.85","CE0.9","CE0.95","CE1"
"1.4.0all_bug.csv-->1.4.0all_bug.csv","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n"
"1.4.0all_bug.csv-->2.6.0all_bug.csv","283","165","515","155.901665188689","0","0.0350768468021815","0.0253222836095764","0.0510204081632653","0.0250662206901895","0","0.545279383429672","0.317919075144509","0.992292870905588","0.300388564910768","0","0.0659135903109351","0.046908315565032","0.0970507867709413","0.0422812130981403","0","0.209675830131047","0.33934377771209","0.0557690412848557","0.429478327361179","0.948763424967977","0.28315556115783","0.422568782447903","0.69898426039776","0.115462294115637","0.752324675380955","0","0.269291378888659","0.274778851414717","0.289512054218842","0.30745860342001","0.328788014686643","0.354786116084375","0.380867619087584","0.409649591325949","0.437366728480169","0.4657397315562","0.49169496555959","0.514917862393113","0.537570325914274","0.562396464643707","0.58596428430067","0.607887402489419","0.628670404763269","0.649567647498724","0.668510367515521","0.685562397656948","0.238082084683816","0.22252615382499","0.21756450134262","0.216331789942156","0.218822270378661","0.226877250772762","0.235430839750837","0.247906775443037","0.259759328403173","0.27327988072941","0.284325440822496","0.292173009674878","0.299738196255182","0.31130930766626","0.321757896467031","0.330282261707288","0.337526874664512","0.34565600591572","0.35074848758989","0.352467923255892"
"1.4.0all_bug.csv-->3.8.0all_bug.csv","316","167","522","161.666999600479","0","0.0396835363556449","0.0260611735330836","0.0524623115577889","0.0251266591614147","0","0.601904761904762","0.318095238095238","0.994285714285714","0.307937142096151","0","0.0744580584354383","0.0481753930477427","0.0996658711217184","0.0434287581265214","0","0.21534159009189","0.34089093088294","0.0580303635637235","0.430300539073447","0.947463044346784","0.290300611864858","0.443956548485683","0.669574011387823","0.118628474947997","0.740793701192961","0","0.239282108742559","0.254621723921734","0.274925667799819","0.295503854509843","0.319646085514108","0.347320616668674","0.373031119504521","0.401675984428972","0.433223282678217","0.463732341836245","0.492518136205819","0.519325973452568","0.546363493403793","0.573488906655447","0.598657041039176","0.622132455335096","0.643728536932786","0.663959209083853","0.682279874688923","0.698744688386924","0.201637295592218","0.195732727629122","0.196574377328707","0.198228529707993","0.203842453941202","0.213724373807293","0.221601779371197","0.233634461438754","0.250229302835287","0.266485654621537","0.281413847023961","0.294505211854604","0.308921198032897","0.324599388027969","0.338327701011443","0.350313286551697","0.359988988660824","0.367997993962349","0.373020800241521","0.374706787310268"
"1.4.0all_bug.csv-->4.10.0all_bug.csv","445","245","1108","347.436199342826","0","0.0594204833756176","0.0415183867141162","0.102044575428256","0.0501568333657624","0","0.396260017809439","0.218165627782725","0.986642920747996","0.309382189975802","0","0.103344170924292","0.0697608200455581","0.184959519238795","0.0800536098834565","0","0.295180722891566","0.403614457831325","0.108707557502738","0.417058964058298","0.897499087258123","0.283744182341995","0.641400071606878","0.795387153231052","0.126627839282356","0.757219440347882","0","0.292372927793627","0.310464468410639","0.342012430509945","0.368646054136794","0.399933510384603","0.430003855315691","0.459331093015493","0.488574349442756","0.516682607195495","0.54395840401078","0.568833597120611","0.593064184155787","0.618403293452612","0.642146636498164","0.664406653576874","0.684990678105109","0.70383892213817","0.721103319424899","0.73671289377528","0.750718237719972","0.246205676225111","0.24152908145158","0.255181071047429","0.265092507872259","0.281724294033667","0.297954783019315","0.314058511257619","0.33073147686288","0.346741241874146","0.362533057708791","0.37586873096723","0.389147360394354","0.405119233378147","0.419740720358112","0.433045212600496","0.444529833218666","0.453841676461325","0.460966949598303","0.46543471230903","0.46693235300651"
"1.4.0all_bug.csv-->5.12.0all_bug.csv","331","194","743","247.02270492536","0","0.0424958274489665","0.0315447154471545","0.0669429678349401","0.034682077851086","0","0.437830687830688","0.256613756613757","0.982804232804233","0.326749609689629","0","0.0774722059684026","0.0561830292499276","0.125347954449599","0.0595383196473039","0","0.295342808617145","0.41735943505855","0.0731205863949227","0.432604235037685","0.932421560740145","0.303424963440782","0.635616065754151","0.820714035877878","0.122332586232244","0.769590860554494","0","0.31214736976649","0.317613872966914","0.3385975512524","0.364883116164829","0.392797469103542","0.423485945480822","0.454173879476624","0.483407943532053","0.5118964412628","0.540578965832292","0.567113661418333","0.592723395838081","0.617159978009312","0.639905026699987","0.661168838859285","0.680846016648754","0.69880346408916","0.715704164476496","0.731282278295022","0.745314245864106","0.274263052362461","0.258383026613015","0.261231560412506","0.27118312522068","0.283772502764564","0.300119597511664","0.317182484582093","0.333286799969934","0.349352276660348","0.366710447521959","0.382181381438058","0.397383475389033","0.411916219324511","0.424880212698388","0.436436518198752","0.44622433929668","0.45376606174999","0.460004645603071","0.464217799604249","0.465620165751246"
"1.4.0all_bug.csv-->6.14.0.1all_bug.csv","502","272","1231","396.755842610691","0","0.0636894189292058","0.0435408996318233","0.105719683957403","0.0507163938980686","0","0.402566158781075","0.218123496391339","0.987169206094627","0.318168277955646","0","0.109979187205608","0.0725914064585001","0.190985959196339","0.0830774054944828","0","0.309509645619104","0.409365173791111","0.11370782697374","0.419689638382332","0.894025664995326","0.289961763746299","0.750751932151059","0.890421310677739","0.134381683537798","0.796483385415797","0","0.418779811793446","0.435338254112081","0.455335103794799","0.477920443946488","0.497558115728128","0.519965268909926","0.542166587798094","0.564615736881958","0.587908715073001","0.611142772243714","0.632559224906605","0.652468930552438","0.671195840071009","0.689510003966538","0.707347181394493","0.724523387180248","0.740319804989661","0.755219901458077","0.768690829721401","0.780820563616185","0.388987579353241","0.386327964903577","0.390192658915995","0.398539053046654","0.404433823918703","0.414296692936969","0.42442941045806","0.435338673425489","0.447977626732583","0.461318182248288","0.472940969568243","0.483137561080754","0.49225719765953","0.501416639889637","0.510520023266247","0.519244024816783","0.526229484348659","0.532155318932759","0.535795688602789","0.536977403446488"
"2.6.0all_bug.csv-->1.4.0all_bug.csv","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n"
"2.6.0all_bug.csv-->2.6.0all_bug.csv","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n"
"2.6.0all_bug.csv-->3.8.0all_bug.csv","280","163","520","166.486915701159","0","0.0369734583388353","0.0257585335018963","0.0522245656322185","0.0263836736082171","0","0.533333333333333","0.31047619047619","0.990476190476191","0.317117934668874","0","0.0691528772536429","0.0475704071209689","0.0992177065445526","0.0448239573764548","0","0.247103475829005","0.348082301238514","0.0569316819816221","0.43126326713976","0.947562924490611","0.29998935887204","0.611932779541684","0.728931448338635","0.0666891090464246","0.782803661247718","0","0.3194149019116","0.331873665570584","0.374788404616724","0.414346799615184","0.449102769168421","0.483760473073111","0.517794251881939","0.552855437348192","0.584498821364959","0.613388544596879","0.639195161966828","0.662046500801699","0.683656687642866","0.703885898083689","0.722809845409307","0.739860691743581","0.755190981024795","0.768862739449906","0.781183194399577","0.792518041751618","0.285735532535793","0.27908799889108","0.307228248174367","0.333481055134724","0.355334072324865","0.378091958063563","0.401328984597368","0.427273225454034","0.450346849372985","0.471187485747575","0.48910615524469","0.503978956315891","0.518076358196033","0.531089228935342","0.543011674304917","0.552729376719276","0.560221673466691","0.565293213542762","0.568193593230096","0.569345152609562"
"2.6.0all_bug.csv-->4.10.0all_bug.csv","338","230","1063","335.980741146404","0","0.0493863237872589","0.0395324853901684","0.0989021213248977","0.0500923209878736","0","0.300979519145147","0.204808548530721","0.946571682991986","0.299181425775961","0","0.084850006275888","0.0662728713441867","0.179091904641563","0.0783258198510495","0","0.33451989777291","0.408451989777291","0.110533041255933","0.414967738790137","0.897499087258123","0.272378416800099","0.717449964593542","0.794441376635641","0.097450155450246","0.743698312307568","0","0.324198893104866","0.365824971868366","0.39412028226525","0.41866696662206","0.443127638108214","0.463810117711245","0.483894273331975","0.505298422515003","0.526507580682318","0.546878043933578","0.566620662159255","0.586200632038566","0.6064245618791","0.626229219176713","0.64573448344749","0.66414297718891","0.680922829913333","0.697406209880803","0.713236078246631","0.728414061337039","0.280108042234748","0.302424176751601","0.314165337823905","0.323317761059245","0.333427385476354","0.339592827487033","0.345221583993772","0.352617152080196","0.360020817726732","0.36661420721477","0.372665415735583","0.378844460613519","0.386445285465751","0.393930625915177","0.401500259880711","0.407768140468532","0.411581516544519","0.415166744242982","0.417768532118542","0.419236786697001"
