"","BPP","BCE","MFM","AVG","X0.5","BPP","BCE","MFM","AVG","X0.5","BPP","BCE","MFM","AVG","X0.5","BPP","BCE","MFM","AVG","X0.5","BPP","BCE","MFM","AVG","X0.5","AUC","BPP","BCE","MFM","AVG","X0.5","AR0.05","AR0.1","AR0.15","AR0.2","AR0.25","AR0.3","AR0.35","AR0.4","AR0.45","AR0.5","AR0.55","AR0.6","AR0.65","AR0.7","AR0.75","AR0.8","AR0.85","AR0.9","AR0.95","AR1","CE0.05","CE0.1","CE0.15","CE0.2","CE0.25","CE0.3","CE0.35","CE0.4","CE0.45","CE0.5","CE0.55","CE0.6","CE0.65","CE0.7","CE0.75","CE0.8","CE0.85","CE0.9","CE0.95","CE1"
"1.4.0all_bug.csv-->1.4.0all_bug.csv","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n"
"1.4.0all_bug.csv-->2.6.0all_bug.csv","342","139","519","134.849344763031","0","0.0378821444395215","0.0211053750379593","0.0511481225978122","0.0192953330946683","0","0.658959537572254","0.267822736030829","1","0.259825327096399","0","0.0716455431025453","0.0391273750879662","0.0973185824114007","0.0356060525315466","0","0.126711991329195","0.327322888954577","0.0513351069070844","0.413911397873915","0.948861956843039","0.234998209272965","0.247794516738464","0.705253451606728","0.040656235411103","0.754121027118778","0","0.246467987592335","0.240693364745914","0.261271628852698","0.277448247183523","0.299548257581447","0.321175721655996","0.342707110706622","0.36359194902367","0.385580227938889","0.409128617394135","0.433628255888979","0.458170147885037","0.481343725540119","0.503549702210484","0.527442879234685","0.549559193227792","0.56990031073732","0.592124083614464","0.613596692089863","0.633461755952703","0.214283883575291","0.185984783691428","0.186464309657649","0.182372574982318","0.184792116612183","0.186603845021811","0.188306268743073","0.189230368675717","0.191625295311288","0.196275397959745","0.202569676014554","0.209367313785428","0.214593702285823","0.218697584297209","0.225892541453835","0.230659253843311","0.232677683097087","0.238394645033452","0.243195239076831","0.245175295176242"
"1.4.0all_bug.csv-->3.8.0all_bug.csv","360","107","525","130.164602477028","0","0.0404176490400808","0.0164919852034525","0.0524475524475524","0.0187452742224535","0","0.685714285714286","0.203809523809524","1","0.247932576146719","0","0.0763358778625954","0.0305147583060031","0.0996677740863787","0.0345188689977748","0","0.129844186975629","0.320914902117459","0.0526368357970435","0.412742174432631","0.947562924490611","0.221629999949806","0.287485704139681","0.598059049292231","0.040852994033624","0.725396233689078","0","0.210549724969773","0.197371878169199","0.212221185206665","0.231299426009366","0.25511379392238","0.279470362616311","0.306043527743466","0.335999500220878","0.364846530722842","0.39521904462344","0.424314005220458","0.450443630282491","0.47558216331066","0.500354115631336","0.525772006302161","0.549422260145237","0.571336182280006","0.593507021414706","0.615665568813822","0.635582452583813","0.171483063811228","0.133959828197035","0.127094069263165","0.125158890693474","0.128326064865901","0.131985924034208","0.13843493672056","0.14951249260401","0.159775896023352","0.172772215838278","0.184837895057092","0.19340523262172","0.201091523632504","0.208786966299873","0.21816610998423","0.225298983486912","0.22994235591716","0.235496449089624","0.241566161826202","0.243605638804312"
"1.4.0all_bug.csv-->4.10.0all_bug.csv","788","274","1122","291.97270901789","0","0.0802607455693624","0.0384993677111142","0.102437688304574","0.0383811881269204","0","0.701691896705254","0.243989314336598","0.999109528049866","0.259993507584942","0","0.144045334064528","0.066504854368932","0.18582312023849","0.0658342589002086","0","0.14521723256663","0.297918948521358","0.102592186929536","0.39636986493553","0.897499087258123","0.222457651869027","0.295881064812407","0.55985864378786","0.0388508260332914","0.716959268772061","0","0.240620875840557","0.235513752269966","0.249442628405032","0.265780795197824","0.290321341683073","0.314192026250369","0.339628957402224","0.368313255632087","0.397416797816008","0.42703717185601","0.455609797389778","0.482449076137584","0.507513456554447","0.53237546186222","0.556704377468688","0.581936087159372","0.60588414725448","0.628426278978605","0.649186354599029","0.667854860983973","0.191077198898356","0.159085268315445","0.150395290807588","0.145355472934509","0.150519237228955","0.155313220574846","0.162193552782096","0.173353831533938","0.185539853962099","0.199097482958317","0.2119725801104","0.223102672061858","0.232250259268276","0.241746745126496","0.25109190004474","0.262809017860348","0.273200735999717","0.281846898004447","0.287725099915735","0.28973613594441"
"1.4.0all_bug.csv-->5.12.0all_bug.csv","527","216","756","215.521051220166","0","0.0527052705270527","0.0297561647609864","0.0675965665236052","0.029072713710402","0","0.697089947089947","0.285714285714286","1","0.285080755582231","0","0.098000929800093","0.0538989394884591","0.126633165829146","0.0520638829379707","0","0.132832752301779","0.322159649593278","0.0678466076696165","0.416560539144354","0.932421560740145","0.255122602093171","0.256297491070332","0.653270537772901","0.0393887155858791","0.734780737587091","0","0.282625391582241","0.263654529833511","0.265553104401444","0.27447809439305","0.293357656286711","0.314582641396993","0.336070050282639","0.358652467826536","0.384571150088947","0.412347801615112","0.440438657948475","0.466954340467137","0.491663263145012","0.516257600021536","0.540522533086045","0.563887962148722","0.586863006346815","0.609737382392629","0.631191890122015","0.650495284153622","0.243115115444076","0.199740033804043","0.179642911742102","0.167440480191007","0.166477984650139","0.16791243326817","0.169436966038109","0.172277505716375","0.179626181976353","0.189950023942416","0.20138986949869","0.211292474146275","0.219139659141505","0.227398750849557","0.235770641072449","0.243286173759047","0.250756830926","0.258729906772263","0.26465281344128","0.266671696040406"
"1.4.0all_bug.csv-->6.14.0.1all_bug.csv","916","389","1245","350.346647403756","0","0.0870970809166112","0.0505129203999481","0.105840346850293","0.0425584197847417","0","0.734562951082598","0.311948676824378","0.998396150761828","0.280951601767246","0","0.155729343760626","0.0869468037550291","0.191391237509608","0.0728453360922882","0","0.155944590804793","0.305685391348687","0.105974335004674","0.398456268478994","0.894025664995326","0.245288197377127","0.331321844111879","0.786852183547663","0.0395354480587806","0.792043877487445","0","0.418161690275742","0.415847913201155","0.420554465490868","0.426715899078784","0.437275311193324","0.449131639464521","0.463124972433306","0.479071920825258","0.497328902753837","0.516913631836902","0.538243581544395","0.55957298232382","0.580025251754251","0.600029285570284","0.61983072704388","0.638810777193486","0.657649464442429","0.676773858192642","0.6946392562148","0.710709921192644","0.3883377741117","0.365145943527713","0.35125222285504","0.339548936143306","0.33297799886885","0.327870673462836","0.325061326038317","0.32439464364156","0.326640231850767","0.33078306288737","0.337654101820921","0.344978902508201","0.351470627279835","0.357728927521973","0.364143329395741","0.369660185455992","0.375402541737288","0.38222252492247","0.387184807131428","0.388866740162659"
"2.6.0all_bug.csv-->1.4.0all_bug.csv","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n"
"2.6.0all_bug.csv-->2.6.0all_bug.csv","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n"
"2.6.0all_bug.csv-->3.8.0all_bug.csv","416","118","525","125.494306831802","0","0.0444159726670937","0.0173096670089482","0.0524475524475524","0.0181825362000942","0","0.792380952380952","0.224761904761905","1","0.239036774917718","0","0.0841168739257911","0.0321438300190684","0.0996677740863787","0.0334612296655088","0","0.095185777067519","0.290251697962445","0.0526368357970435","0.411848061590973","0.947562924490611","0.212259482901414","0.172933788422969","0.475254214720224","0.0355813449042758","0.692259858446008","0","0.204172981104808","0.18989073255535","0.196520666935443","0.209418482175963","0.224322929372917","0.239929752508738","0.260142994949392","0.28308752880733","0.310703589993282","0.338607925547343","0.367926402185753","0.398629405837746","0.430281391239775","0.460920865858285","0.491110368416157","0.519669891893383","0.546028101180315","0.570511361402488","0.593861408723048","0.614908222280724","0.164790761006395","0.125887630803899","0.109696958224851","0.100256672816215","0.0922942604788358","0.0843517888579315","0.0814482278673454","0.0817399974117841","0.0881519404572616","0.0953387414937088","0.10499395652241","0.117356469263053","0.132079433918132","0.146342538840986","0.16102135357409","0.174144237280824","0.184478567040497","0.192247820795841","0.198538497677655","0.20069367878978"
"2.6.0all_bug.csv-->4.10.0all_bug.csv","896","317","1123","288.184830230011","0","0.0871086914252382","0.0424932975871314","0.102528987492011","0.0380293997124265","0","0.797862867319679","0.282279608192342","1","0.25662050777383","0","0.157068980629328","0.0738669462891763","0.185988737992713","0.0651902582171345","0","0.122216137276378","0.274461482292808","0.102774735304856","0.395721140061591","0.897499087258123","0.218724470699869","0.193508666510364","0.481612838421313","0.0371196341837843","0.693898983878836","0","0.237650092918964","0.228584244232826","0.23921918894562","0.253638506362227","0.270562946665289","0.290741003503762","0.311562643332085","0.33244594903145","0.354742629111826","0.381554318252303","0.409429177073837","0.437472928888312","0.465468304548144","0.492472677058259","0.520834425190766","0.54861652699931","0.574789032144709","0.599362683633974","0.621819734917807","0.641952680841804","0.187912595124108","0.151462992036362","0.138822714696049","0.131221627576722","0.126868566218719","0.126429378980305","0.126586087643853","0.126416687705977","0.12786083212929","0.135520353441124","0.145124214908412","0.155588835243357","0.166705007359411","0.177044373910882","0.19049284054456","0.204055132331317","0.215857427887779","0.225674703979218","0.232161251260968","0.234346547495991"
