"Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-8.37341356660516,1.8877076596167,-4.43575758351554,9.17490502754026e-06
"nWeakComp",-0.0615157302088722,0.0335098800441274,-1.8357490426067,0.0663947810438433
"nEgoBetween",0.012420378281749,0.0083751119498293,1.48301041898337,0.138071642602119
"Density2",0.0120763792514911,0.00217774028039473,5.54537166815051,2.93330412537474e-08
"Broker2",-4.81059526889728e-06,1.31447535894961e-06,-3.65970745373378,0.000252503352456386
"nBroker2",-0.323038698543462,0.109730993974659,-2.94391481241903,0.00324089191612196
"EgoBetween2",-5.6193391113041e-05,2.20647481935304e-05,-2.54674971226353,0.0108731387216693
"nEgoBetween2",0.00692431885329086,0.00410561415970566,1.68654885333581,0.0916901337787216
"Ties3",0.00383493443314741,0.000791753589478177,4.84359589158909,1.27510139035208e-06
"Pairs3",-0.000201000282042933,9.02834062393625e-05,-2.22632586003716,0.0259923625318586
"Density3",0.0104766293203876,0.00442118496079668,2.36964284762694,0.0178052755454822
"nWeakComp3",0.187679210296975,0.0511792939669769,3.66709260229485,0.000245323970494295
"ReachEffic3",-0.0204845019490033,0.00324770984684295,-6.30736824255282,2.83820007979594e-10
"nBroker3",-0.735288982076167,0.252454678593049,-2.91255834977586,0.00358481218629448
"Eigenvec",-41.2040027155237,8.86284649688476,-4.64907101008763,3.3343341295604e-06
"Power",0.000356821726538515,0.000207549177407556,1.71921532523272,0.085575171301478
"inCloseness",25.5940239040508,7.92348840749052,3.23014593923748,0.00123727044666365
"outCloseness",361.70515716227,202.381913390958,1.7872405251132,0.0738986220294577
"Betweenness",1.32763771479133e-06,5.60853416877056e-07,2.36717415788225,0.0179244958668058
"Betweenness2",2.15459142302846e-06,8.24159198047654e-07,2.61429033144623,0.00894130208572506
"OutdwReach",-0.00132156730167051,0.000931753606168181,-1.41836564186258,0.156084041233851
"Efficiency",1.85892407484106,0.29931229634505,6.21065053972282,5.27656997331945e-10
"Indirectsfile",1.80431715120427,0.445995678639756,4.04559334903706,5.21907629436559e-05
