"","BPP","BCE","MFM","AVG","X0.5","BPP","BCE","MFM","AVG","X0.5","BPP","BCE","MFM","AVG","X0.5","BPP","BCE","MFM","AVG","X0.5","BPP","BCE","MFM","AVG","X0.5","AUC","BPP","BCE","MFM","AVG","X0.5","AR0.05","AR0.1","AR0.15","AR0.2","AR0.25","AR0.3","AR0.35","AR0.4","AR0.45","AR0.5","AR0.55","AR0.6","AR0.65","AR0.7","AR0.75","AR0.8","AR0.85","AR0.9","AR0.95","AR1","CE0.05","CE0.1","CE0.15","CE0.2","CE0.25","CE0.3","CE0.35","CE0.4","CE0.45","CE0.5","CE0.55","CE0.6","CE0.65","CE0.7","CE0.75","CE0.8","CE0.85","CE0.9","CE0.95","CE1"
"1.4.0all_bug.csv-->1.4.0all_bug.csv","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n"
"1.4.0all_bug.csv-->2.6.0all_bug.csv","249","162","510","153.42398265839","0","0.0320339637205712","0.0250580046403712","0.0505551149881047","0.0245977772584051","0","0.479768786127168","0.312138728323699","0.982658959537572","0.295614610131773","0","0.0600578871201158","0.0463917525773196","0.0961629112850005","0.0416398004099027","0","0.232042565770027","0.343777712089861","0.0553749137846093","0.428987629109013","0.948763424967977","0.278123518148368","0.456864325808937","0.685359017695468","0.118824021552106","0.746345475694757","0","0.260327750034915","0.265030224285857","0.278724339507043","0.29613896567297","0.318322191606696","0.339591325180747","0.366016260672693","0.392483648578128","0.4217140365948","0.44880629474447","0.474870045348336","0.500150961967052","0.526030407628363","0.551036781945999","0.57444518051774","0.596049190248019","0.617936251706577","0.639338714438443","0.658861348062047","0.676409729686092","0.228735610299094","0.212075131204391","0.205684368836473","0.203522678031252","0.206641814589579","0.208670205310482","0.217090835283459","0.226037748092372","0.23916552469472","0.250246408194897","0.260636579726241","0.270625296669869","0.28226318449272","0.293431692177147","0.302888168846183","0.310062914565487","0.318376534873355","0.326556054481128","0.331850036900831","0.333619521999951"
"1.4.0all_bug.csv-->3.8.0all_bug.csv","266","163","521","158.038453855374","0","0.0347894323829453","0.0255726388453091","0.0523828674844158","0.0246335968650555","0","0.506666666666667","0.31047619047619","0.992380952380952","0.301025626391188","0","0.0651083098763921","0.0472532251050877","0.0995129405023398","0.042593969792084","0","0.237015581302437","0.343487814622453","0.0582301238513783","0.429573325433371","0.947363164202956","0.283006219036576","0.45660464197315","0.66059810755209","0.128334486401741","0.735108277840994","0","0.235620263122772","0.247777951084773","0.265118816266286","0.288324515809039","0.311311114612899","0.336153402839213","0.362354851562233","0.39062528595908","0.421177457024962","0.450965139120576","0.477853783767794","0.504323262574958","0.531429021682095","0.559202943288638","0.585444210311058","0.609604114087627","0.632415088311554","0.653315453863307","0.672222526524809","0.689208529630174","0.19779424022868","0.18834825897883","0.185707800689779","0.190057883235735","0.194088780392939","0.200271354957869","0.208346914213191","0.219480133242059","0.234294267358454","0.249022497558579","0.260649359943495","0.272485435982312","0.286169729234929","0.301976885234688","0.316544425912616","0.328772678037024","0.33966535220824","0.347979963910643","0.353173936283959","0.354913292836097"
"1.4.0all_bug.csv-->4.10.0all_bug.csv","335","211","1094","328.513782402337","0","0.0482848083021044","0.0371217452498241","0.101071692535107","0.0477198389232528","0","0.298308103294746","0.187889581478183","0.974176313446126","0.292532308461564","0","0.0831162386800645","0.0619950051417658","0.183142211433833","0.0759694046678306","0","0.325392479006937","0.417214311792625","0.109255202628697","0.413602724816089","0.897407813070464","0.264969786168099","0.660813702658913","0.820025088564735","0.147603240015013","0.757023440716598","0","0.281344616875516","0.291461022604176","0.322835578234695","0.352835187729417","0.383380017650205","0.413388066514439","0.441614947635988","0.470668107000554","0.497524095178885","0.524671559256463","0.550549694919084","0.575791561574722","0.599416692651112","0.622288068496498","0.644799334861065","0.665581138293898","0.684883420786107","0.702842319842443","0.719503203844345","0.734425578618642","0.234457852410263","0.220625791720896","0.233473544591568","0.24668837140341","0.261909870322673","0.277489670819756","0.291582206481427","0.307298775704521","0.320846320743981","0.335573398633591","0.349402023432269","0.363219372034159","0.375520540709827","0.387540049528573","0.399920410418096","0.410304114909036","0.41888534487643","0.425673297884637","0.430492997992226","0.432091900295586"
"1.4.0all_bug.csv-->5.12.0all_bug.csv","263","164","733","230.642531509788","0","0.0365074958356469","0.0277495769881557","0.0662868511484898","0.0324810513169997","0","0.347883597883598","0.216931216931217","0.96957671957672","0.305082713637286","0","0.0660804020100502","0.0492049204920492","0.124090062637549","0.0559795560771543","0","0.335478680611424","0.43344953964423","0.074997765263252","0.429673567666386","0.932332171270224","0.280186717045599","0.710132934491489","0.844798646583383","0.143099334555964","0.763478046598497","0","0.309665628340836","0.308071389823224","0.320648388316611","0.341839042002844","0.366510706437683","0.393097498328905","0.416602560503473","0.440861510674415","0.464545903260386","0.488804242780947","0.51305205712511","0.536292102073197","0.558749163512754","0.582047843746434","0.605442850853306","0.628538433002994","0.649769224335089","0.669698661641371","0.68784197433014","0.704130485946487","0.271644626019499","0.248012259700755","0.241182836493984","0.244739315363974","0.252765876018799","0.263228426417116","0.270181519059187","0.278376415566568","0.286233458535185","0.295341509766942","0.305024255641213","0.313886339092996","0.322190875451487","0.33247456079723","0.343749848762165","0.355463552327759","0.364840185464711","0.372621171406496","0.377604451230756","0.379208694198051"
"1.4.0all_bug.csv-->6.14.0.1all_bug.csv","392","239","1216","372.42381235659","0","0.053779667992866","0.0394910773298083","0.10473729543497","0.0479949308956988","0","0.314354450681636","0.191659983961508","0.97514033680834","0.298655823862542","0","0.091846298031865","0.0654884230716536","0.189157657307303","0.07838261041072","0","0.341208464349452","0.420328036032974","0.114047760686666","0.415552006366152","0.894025664995326","0.268136035992084","0.81456103808889","0.908987921077845","0.156555899766171","0.802906689582485","0","0.424288808697286","0.440204275873577","0.454731541715636","0.470987321154147","0.488778966487167","0.505950194853402","0.523773228511768","0.542739631306608","0.563081655624681","0.583535060998895","0.604518755981676","0.624624214908428","0.643869387348079","0.662231471254407","0.679972678042682","0.697870872704498","0.715104272771878","0.731476461649735","0.746297037225031","0.759604205667446","0.394778956875652","0.391616337099759","0.389516910232285","0.390551759631935","0.39402751722661","0.397196523528395","0.401305985286508","0.406966975500541","0.414720208342042","0.423073368944614","0.432719569641498","0.441725759650586","0.450059405251548","0.457612901694384","0.464734469832693","0.472730618626988","0.480225299467458","0.486774823987535","0.490854560618849","0.492157262885348"
"2.6.0all_bug.csv-->1.4.0all_bug.csv","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n"
"2.6.0all_bug.csv-->2.6.0all_bug.csv","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n"
"2.6.0all_bug.csv-->3.8.0all_bug.csv","224","168","523","162.545745105873","0","0.0317865758478785","0.0264608599779493","0.0524153136901183","0.0259999000183362","0","0.426666666666667","0.32","0.996190476190476","0.309610943058806","0","0.0591653460116218","0.0488798370672098","0.0995905931638579","0.0441152021814057","0","0.288453855373552","0.346983619656412","0.055433479824211","0.430473663325943","0.947562924490611","0.292066537166147","0.652704522109964","0.712107177274463","0.0986600000754979","0.780097919126105","0","0.313423751705647","0.321261939144575","0.3517455341832","0.387062917044043","0.421758801785397","0.456898832214509","0.490905830446344","0.527980736270079","0.5606390958754","0.589121459011277","0.614030332076239","0.636838975859763","0.65931320776437","0.680178934983259","0.69944391585518","0.717648585029536","0.734320044854094","0.749354351701627","0.763030045746397","0.775310244065561","0.279447904841076","0.26763788752924","0.281695372848314","0.302429872265415","0.323335864469134","0.345732036751419","0.367946307957272","0.395412372150186","0.418783585626022","0.437994629295041","0.453473161060076","0.466981372742845","0.480991020782666","0.493548124762716","0.504489537611364","0.514538982191987","0.522728833453048","0.528603202910842","0.532370723638427","0.533628208596806"
"2.6.0all_bug.csv-->4.10.0all_bug.csv","287","231","1086","334.061518802483","0","0.044338019465472","0.0392523364485981","0.100425374514518","0.0503685086619389","0","0.255565449688335","0.205699020480855","0.967052537845058","0.297472412112629","0","0.0755660874144286","0.0659246575342466","0.181955265141995","0.0780739397288114","0","0.359072654253377","0.402519167579409","0.108707557502738","0.414615446751659","0.897499087258123","0.270474085527508","0.728403301719903","0.764331229248586","0.139952281819902","0.751842867591376","0","0.30516495872246","0.33868498802891","0.373165204552856","0.399394687433029","0.430170970822471","0.457739158413231","0.482176009695226","0.506222031006174","0.528199036309142","0.549002705212237","0.569499514738095","0.589334710289705","0.608146092884949","0.62621387349844","0.644278687742126","0.662455549627264","0.680877968240935","0.698580803754176","0.715266125809435","0.730407555250297","0.259832289285069","0.272570909546278","0.290444922330403","0.300884477068231","0.317918338557898","0.332115429653025","0.343041639295978","0.353825816702647","0.362307013544748","0.369584114654406","0.376832674365639","0.383549035384032","0.389129023734324","0.393905742895683","0.399040823919214","0.404792623225231","0.411498785971126","0.417436921561843","0.42189024158999","0.423499702282629"
