"","Sum","Mean","SD","Var","Min","25%","Median","75%","Max","Skewness","Kurtosis","ks.p"
"CL",4166574,410.540348802838,2016.36541061624,4065729.4691296,0,0,121,372,129612,47.6943936576662,2815.96034889323,0
"LOC",2306977,227.310769533944,1049.23641782396,1100897.06048807,0,0,33,178,58528,36.0548593353872,1740.69716058807,0
"LOCE",1501935,147.988471770618,1532.95330695807,2349945.84131368,0,0,0,31,107108,58.7794116230038,3912.11439303866,0
"CCMax",66162,6.51906591782442,25.3573116849432,642.993255887357,0,0,1,6,835,17.9390205927104,449.427909600115,0
"CCSum",358843,35.3574736427234,156.06412446989,24356.0109465534,0,0,1,24,8676,32.1939182018074,1613.39018287482,0
"NMax",11615,1.14444772884028,1.70400996000141,2.90364994378401,0,0,0,2,14,1.58687766966367,5.57520456328555,0
"n1",1011727,99.6873583604296,409.660433014008,167821.670377225,0,0,0,80,24124,36.273445777438,1964.54379677877,0
"n2",1687074,166.230564587644,787.383330727277,619972.50950718,0,0,0,122,48298,40.5879809418373,2307.93123278249,0
"n",2698801,265.917922948074,1193.58283685472,1424639.98843416,0,0,0,205,72422,39.3646682706297,2210.61790321333,0
"N1",5346975,526.847472657405,3304.78249841554,10921587.3618336,0,0,0,338,221746,51.5738184322956,3260.51790123385,0
"N2",4105508,404.523401320327,2563.78636108606,6573000.50529091,0,0,0,257,172332,51.8234273805662,3282.82132992515,0
"N",9452483,931.370873977732,5867.42609763742,34426689.0112367,0,0,0,595,394078,51.7090036015325,3272.7527682967,0
"V",58165754.2406068,5731.18082969818,42939.2686535131,1843780792.49857,0,0,0,3261.096752,2946076.981,54.8353353865454,3546.811724219,0
"L",23434.890067919,2.30908366025411,13.8154584785566,190.866892972721,0,0,0,0.892502745,600.1974695,23.2241117381256,737.226542717903,0
"D",3232921.22051456,318.545789783679,1408.14311875633,1982867.0429008,0,0,0,159.3843454,54498.55172,16.9377081080638,458.822326547704,0
"E",40691926051.7532,4009451.77374649,80435449.1604909,6469861481649922,0,0,0,110422.2089,4167530662,34.9195598271419,1428.46921855999,0
"T",125592364.359018,12374.8511537115,248257.559154605,61631815677.4021,0,0,0,340.8092867,12862748.96,34.9195598330277,1428.46921913664,0
"Size",160268,15.7915065523697,74.2864392202011,5518.47505201664,0,0,5,16,3287,26.4211947034734,891.05001161603,0
"Ties",1108429,109.215587742635,879.508866305471,773535.845909935,0,0,6,60,42735,31.2409696150058,1216.44740332792,0
"Pairs",58372090,5751.51147896344,166643.824010914,27770164080.9805,0,0,20,240,10801082,47.8019713748018,2642.71429024782,0
"Density",168215.367092,17.1438409184672,16.6126071740158,275.978717118162,0,0,16.666666,29.241652,100,0.683198522654489,3.14860859833592,NA
"nWeakComp",10746,1.05882352941176,2.47864116748358,6.14366203714438,0,0,1,1,106,21.9762800307506,703.79819147114,0
"pWeakComp",156422.385882,15.4125909825599,25.4106529983635,645.701285803238,0,0,5.263158,16.666666,100,2.32286413046827,7.65711008206805,0
"X2StepReach",133728.756691,13.1765451464184,15.8785800776344,252.129305281849,0,0,2.68432,31.812822,51.600616,0.593736644859625,1.47452750031926,0
"ReachEffic",339093.324449,33.4378586381028,32.3713097137187,1047.9016925815,0,0,24.166258,58.503582,100,0.617155442865943,2.12613921469441,NA
"Broker",28631830.5,2821.1479456104,82916.9023640684,6875212697.65245,0,0,7.5,93,5379173.5,47.8695786762618,2649.5376682159,0
"nBroker",2417.423157,0.246374149714635,0.184057737102843,0.0338772505874193,0,0,0.333333,0.396519,0.5,-0.430430793832685,1.47850315259106,NA
"EgoBetween",1162646.380642,114.557727918219,2901.4366566572,8418334.67259409,0,0,0,5.433333,222681.0313,57.4866130531579,3877.16183581162,0
"nEgoBetween",30492.230962,3.10764685711374,6.47765198085173,41.9599751850323,0,0,0,3.70344375,76.190475,3.83035596562833,23.3439227708664,NA
"Size2",84493,8.32525371957828,73.1140432246815,5345.66331666059,0,0,0,3,3285,27.8161099343982,956.400648650247,0
"Ties2",413406,40.7336683417085,731.528158244941,535133.446305235,0,0,0,1,42604,41.519935350406,2033.36033863209,0
"Pairs2",54866724,5406.12119420633,166254.440081741,27640538846.8931,0,0,0,6,10787940,47.9424553795283,2655.52524644071,0
"Density2",76921.035234,8.96515562167832,19.106337063934,365.052116000659,0,0,0,7.35378625,100,2.68068986885678,10.5238816064954,NA
"nWeakComp2",14340,1.41294708838309,5.40810224030601,29.2475698416029,0,0,0,1,196,16.3867078388407,406.732839777416,0
"pWeakComp2",309224.8141,30.4685007488422,40.6356878341101,1651.25912575124,0,0,0,63.636364,100,0.890998433956205,2.05762440117448,0
"X2StepReach2",7411.453777,0.730264437580057,2.39355317995043,5.72909682525081,0,0,0,0.507844,51.582478,8.92101159054656,115.180945677264,0
"ReachEffic2",339276.913737,33.475768498964,39.6207819095685,1569.80635912559,0,0,0,69.680855,100,0.637480225000105,1.76291224486909,NA
"Broker2",27226659,2682.69376293231,82768.8734583066,6850686413.55718,0,0,0,1.5,5372668,47.9643122806747,2657.87497292581,0
"nBroker2",1301.894806,0.151735991375291,0.203889012468165,0.0415707294052434,0,0,0,0.380952,0.5,0.726236160710405,1.7092858012079,NA
"EgoBetween2",602694.633352,59.3846323137255,2513.85223639469,6319453.06642657,0,0,0,0,221847.5156,74.5361714799551,6198.64929740067,0
"nEgoBetween2",19153.673063,2.23236282785548,9.2004843606788,84.6489124710952,0,0,0,0,100,5.52783905379229,39.0714646379516,NA
"Size3",79438,7.82717509114198,12.1060257634845,146.555859786151,0,0,3,11,195,3.31415898908218,24.0080713146386,0
"Ties3",388159,38.2460340920288,100.547483695125,10109.7964774214,0,0,2,30,1796,6.35194513937167,67.2130889067824,0
"Pairs3",2029586,199.978914178737,835.423712621642,697932.779610528,0,0,6,110,37830,18.9933138089364,608.220368045775,0
"Density3",167289.536079,17.5392677793038,18.2374570816686,332.604840805705,0,0,16.666666,30,100,0.826840127018198,3.40742953239801,NA
"nWeakComp3",8970,0.883830919302394,1.04877298719101,1.09992477866156,0,0,1,1,47,12.4519590636682,471.098651135651,0
"pWeakComp3",197734.320619,19.4831333746182,29.6457257954364,878.869057938204,0,0,6.25,25,100,1.82718519330025,5.18097713518703,0
"X2StepReach3",131790.758766,12.9855905770027,15.838473973016,250.857257793906,0,0,2.375986,31.377527,45.769474,0.601480199494516,1.47797133301287,0
"ReachEffic3",344447.537662,33.9591380914917,34.576955147008,1195.5658272382,0,0,22.461454,61.687244,100,0.633075836155657,2.02261891239279,NA
"Broker3",820713.5,80.866440043354,377.717155067532,142670.24923231,0,0,1.5,40.5,18804,22.143683541687,809.956336832861,0
"nBroker3",2107.552326,0.220963758230237,0.183894453453302,0.0338171700108888,0,0,0.291667,0.381944,0.5,-0.207767719551393,1.32488398468559,NA
"EgoBetween3",71995.354496,7.09383727421421,85.2341295038482,7264.85683227876,0,0,0,0,4327.25,28.1060886230981,1018.04410180257,0
"nEgoBetween3",9889.347572,1.03683660851332,4.67187226219044,21.8263904342245,0,0,0,0,100,8.56108721111081,107.270935324313,NA
"Degree",160268,15.7915065523697,74.2864392202011,5518.47505201664,0,0,5,16,3287,26.4211947034734,891.05001161603,0
"OutDegree",79438,7.82717509114198,12.1060257634845,146.555859786151,0,0,3,11,195,3.31415898908218,24.0080713146386,0
"InDegree",84493,8.32525371957828,73.1140432246815,5345.66331666059,0,0,0,3,3285,27.8161099343982,956.400648650247,0
"Clus.Coef",1682.153682,0.258117796839036,0.138479559968463,0.0191765885290591,0,0.166667,0.25,0.333333,1,0.612332326960603,4.5933567169267,NA
"Eigenvec",-37.8482,-0.00372925411370578,0.00896427491443611,8.03582247415886e-05,-0.252533,-0.004142,-6.6e-05,0,0,-12.2274466416494,265.236041040092,0
"Power",-16302.183894,-1.60628474667455,195.880870678267,38369.3154976761,-6254.287109,-5.783257,-1e-06,3.554772,4061.805664,-6.19473477838878,272.689081254797,0
"inCloseness",120.301759,0.0118535578874766,0.00545329423695521,2.97384180348089e-05,0.009069,0.009069,0.009069,0.009105,0.023798,1.45367444401448,3.11338242455006,0
"outCloseness",105.683357,0.0104131793280126,0.00112679443170909,1.26966569133061e-06,0.009069,0.009069,0.011344,0.011346,0.011608,-0.353120943047348,1.12659099053239,0
"Betweenness",88405144.086683,8710.72461195024,101594.609742074,10321464728.6442,0,0,0,52.078571,5913638.5,32.2785512233779,1481.87533537982,0
"Betweenness2",62115516.078342,6120.35826961691,110988.122355987,12318363304.1075,0,0,13.769892,622.11377,9052357,61.8026068822977,4625.1265651587,0
"OutdwReach",2267297.579582,223.401081838802,197.610840684326,39050.0443559662,1,1,297.812012,379.028595,745.570496,0.00715113362888702,1.49291362083234,0
"IndwReach",2372298.448436,233.747014330082,486.370420372898,236556.185813709,1,1,1,18.75,4742.100586,2.18126094244065,8.14847486592063,0
"EffSize",127437.439626,12.556649879397,72.9359138046623,5319.64752252114,0,0,3.25,10.7,3267.601807,27.3354015363227,935.65069962205,0
