Class,Size,Ties,Pairs,Density,AvgDist,Diameter,nWeakComp,pWeakComp,2StepReach,ReachEffic,Broker,nBroker,EgoBetween,nEgoBetween,Size2,Ties2,Pairs2,Density2,AvgDist2,Diameter2,nWeakComp2,pWeakComp2,2StepReach2,ReachEffic2,Broker2,nBroker2,EgoBetween2,nEgoBetween2,Size3,Ties3,Pairs3,Density3,AvgDist3,Diameter3,nWeakComp3,pWeakComp3,2StepReach3,ReachEffic3,Broker3,nBroker3,EgoBetween3,nEgoBetween3,Degree,NrmDegree,Share,OutDegree,InDegree,NrmOutDeg,NrmInDeg,Clus Coef,nPairs,Eigenvec,nEigenvec,Power,Normalized Power,inFarness,outFarness,inCloseness,outCloseness,OutdwReach,IndwReach,nOutdwReach,nIndwReach,Betweenness,nBetweenness,Betweenness2,EffSize,Efficiency,Constraint,Hierarchy,Indirects,name, version,name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug,bug_2
java\org\apache\ivy\core\IvyPatternHelper.java-->IvyPatternHelper,29,48,812,5.91133,,,3,10.344828,56.825397,40.315315,382,0.470443,95.666664,11.78161,25,17,600,2.833333,,,11,44,45.079365,48.464165,291.5,0.485833,20.5,3.416667,5,2,20,10,,,3,60,36.507938,74.19355,9,0.45,4,20,29,9.206349,0.012309,5,25,1.587302,7.936508,0.059113,406,0.099326,14.046836,5,13.364898,35053,43360,0.898639,0.726476,53.311901,87.233322,0.168709,0.276055,373.1474,0.37726,1.492522,26.4,0.910345,0.060984,0.089852,0.244722,ivy,2,org.apache.ivy.core.IvyPatternHelper,28,1,0,32,82,374,26,7,24,1.012345679,926,0.166666667,0,0,0.226337449,0,0,31.64285714,23,2.6786,2,1
java\org\apache\ivy\plugins\lock\AbstractLockStrategy.java-->AbstractLockStrategy,3,1,6,16.666666,,,2,66.666664,1.587302,62.5,2.5,0.416667,0,0,3,1,6,16.666666,,,2,66.666664,1.587302,62.5,2.5,0.416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.952381,0.001273,0,3,0,0.952381,0.166667,3,0.001627,0.230084,0,0,34693,99540,0.907964,0.316456,1,54.021454,0.003165,0.170954,0,0,0.003033,2.333333,0.777778,0.506173,0.028517,0.222222,ivy,2,org.apache.ivy.plugins.lock.AbstractLockStrategy,6,1,2,3,7,3,2,1,4,0.6,36,1,0,0,0.444444444,0,0,4.666666667,1,0.6667,0,0
java\org\apache\ivy\plugins\circular\ErrorCircularDependencyStrategy.java-->ErrorCircularDependencyStrategy,4,3,12,25,,,2,50,42.857143,79.88166,4.5,0.375,5,41.666668,1,0,0,,0,0,1,100,20.317461,100,0,,0,,3,1,6,16.666666,,,2,66.666664,32.063492,96.190475,2.5,0.416667,0,0,4,1.269841,0.001698,3,1,0.952381,0.31746,0.25,6,0.026739,3.781415,3,8.018939,35123,43367,0.896848,0.726359,51.678566,68.733322,0.16354,0.217511,406.007141,0.410481,0.281507,3.125,0.78125,0.306995,0.028465,0.097631,ivy,2,org.apache.ivy.plugins.circular.ErrorCircularDependencyStrategy,4,2,0,5,6,4,1,4,2,0.666666667,21,1,1,0.5,0.5,0,0,4,1,0.5,0,0
java\org\apache\ivy\core\module\id\ModuleRevisionId.java-->ModuleRevisionId,100,384,9900,3.878788,,,5,5,75.238098,18.301159,4758,0.480606,3142.896484,31.746429,97,316,9312,3.393471,,,6,6.185567,74.285713,19.338842,4498,0.483033,3192.726563,34.286152,5,6,20,30,,,2,40,41.904762,63.157894,7,0.35,5,25,100,31.746031,0.042445,5,97,1.587302,30.793652,0.038788,4950,0.334947,47.36871,5,13.364898,34814,43197,0.904808,0.729217,69.46666,144.449997,0.219831,0.45712,11465.52441,11.591876,18.371222,93.32843,0.933284,0.031062,0.122756,0.566566,ivy,2,org.apache.ivy.core.module.id.ModuleRevisionId,23,2,0,150,67,235,147,5,20,0.852272727,653,0.75,1,0.28,0.28030303,1,1,26.86956522,9,1.8696,1,1
java\org\apache\ivy\core\sort\CollectionOfModulesToSort.java-->CollectionOfModulesToSort,3,2,6,33.333332,,,1,33.333332,32.698414,93.63636,2,0.333333,0.5,8.333333,1,0,0,,0,0,1,100,1.269841,100,0,,0,,2,1,2,50,,,1,50,32.380951,96.226418,0.5,0.25,0,0,3,0.952381,0.001273,2,1,0.634921,0.31746,0.333333,3,0.01941,2.74493,2,5.345959,35463,43366,0.88825,0.726376,51.278564,44.522675,0.162274,0.140895,12.859857,0.013002,0.030616,1.833333,0.611111,0.478814,0.002463,0.197712,ivy,2,org.apache.ivy.core.sort.CollectionOfModulesToSort,5,1,0,8,26,0,1,7,4,0.625,127,1,2,0,0.314285714,0,0,23.6,4,1.6,0,0
java\org\apache\ivy\ant\IvyBuildNumber.java-->IvyBuildNumber,6,14,30,46.666668,,,1,16.666666,51.111111,50,8,0.266667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,30,46.666668,,,1,16.666666,51.111111,50,8,0.266667,0,0,6,1.904762,0.002547,6,0,1.904762,0,0.466667,15,0.059332,8.390822,6,16.037878,99540,41314,0.316456,0.762453,72.716667,1,0.230116,0.003165,0,0,0.004313,2.833333,0.472222,0.197918,0.001612,0.08894,ivy,2,org.apache.ivy.ant.IvyBuildNumber,25,4,0,18,73,200,1,0,18,0.854166667,666,1,0,0.736263736,0.38,0,0,25.32,13,1.92,1,1
java\org\apache\ivy\util\cli\OptionBuilder.java-->OptionBuilder,2,0,2,0,,,2,100,7.619048,92.307693,1,0.5,1,50,1,0,0,,0,0,1,100,7.301587,100,0,,0,,1,0,0,,0,0,1,100,0.952381,100,0,,0,,2,0.634921,0.000849,1,1,0.31746,0.31746,0,1,0.004639,0.655996,1,2.67298,99225,98911,0.31746,0.318468,2.5,2,0.007911,0.006329,0.5,0.000506,0.156379,2,1,0.5,0,0,ivy,2,org.apache.ivy.util.cli.OptionBuilder,7,1,0,2,13,0,1,1,7,0.694444444,86,1,0,0,0.571428571,0,0,10.42857143,1,0.8571,0,0
java\org\apache\ivy\plugins\parser\xml\UpdateOptions.java-->UpdateOptions,5,5,20,25,,,2,40,11.746032,63.793102,7.5,0.375,4,20,4,5,12,41.666668,,,1,25,8.571428,58.695652,3.5,0.291667,0,0,1,0,0,,0,0,1,100,3.809524,100,0,,0,,5,1.587302,0.002122,1,4,0.31746,1.269841,0.25,10,0.012655,1.7897,1,2.67298,35244,43891,0.893769,0.717687,29.081316,58.669044,0.092029,0.185662,16.333334,0.016513,0.019575,3.3,0.66,0.28484,0.007912,0.189439,ivy,2,org.apache.ivy.plugins.parser.xml.UpdateOptions,21,1,0,7,22,154,5,2,21,0.905,141,1,2,0,0.18452381,0,0,5.238095238,1,0.9524,0,0
java\org\apache\ivy\core\NormalRelativeUrlResolver.java-->NormalRelativeUrlResolver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,99540,99540,0.316456,0.316456,1,1,0.003165,0.003165,0,0,0,0,0,0,,0,ivy,2,org.apache.ivy.core.NormalRelativeUrlResolver,2,2,0,2,4,1,1,1,2,2,11,0,0,0.666666667,0.666666667,1,1,4.5,1,0.5,0,0
java\org\apache\ivy\plugins\matcher\MatcherHelper.java-->MatcherHelper,8,19,56,33.92857,,,1,12.5,41.904762,49.253731,18.5,0.330357,2.333333,4.166667,5,5,20,25,,,1,20,23.492064,62.184875,7.5,0.375,0,0,3,2,6,33.333332,,,1,33.333332,33.015873,69.79866,2,0.333333,0,0,8,2.539683,0.003396,3,5,0.952381,1.587302,0.339286,28,0.05549,7.84741,3,8.018939,35175,43369,0.895522,0.726325,51.311901,67.328583,0.162379,0.213065,35.383034,0.035773,0.047245,4.4375,0.554688,0.180246,0.004739,0.197854,ivy,2,org.apache.ivy.plugins.matcher.MatcherHelper,8,1,0,10,21,28,5,5,7,2,130,0,0,0,0.3125,0,0,15.25,5,2.625,0,0
