"","Sum","Mean","SD","Var","Min","25%","Median","75%","Max","Skewness","Kurtosis","shapiro.p","ks.p"
"Size",2338,7.95238095238095,11.2266949864394,126.038680318544,0,3,4.5,9,100,4.49787537851866,30.34636571031,1.3315115723908e-26,1.3988810110277e-14
"Ties",4621,15.7176870748299,37.6885733322427,1420.42855981983,0,1,3,13.75,384,5.38265380095918,41.453169154532,1.71881881745305e-29,0
"Pairs",53184,180.897959183673,825.834340623359,682002.358152817,0,6,16,72,9900,9.13848417562474,96.0601592438818,1.51219888693193e-33,0
"Density",5643.938495,21.0594719962687,17.6188377083019,310.423442191481,0,9.93598875,16.666666,30,100,1.26059318452002,5.46494200512746,1.45560123334099e-12,NA
"nWeakComp",545,1.85374149659864,1.32282519612412,1.74986649950082,0,1,1,2,8,2.05130901945688,8.24673578188433,4.25515409370515e-21,2.45677922450227e-11
"pWeakComp",12936.600387,44.0020421326531,33.608904563048,1129.55846592807,0,16.666666,33.333332,66.666664,100,0.627922359485313,1.99568697753321,1.97079814603324e-15,2.81120181577776e-08
"X2StepReach",9186.03174,31.2450059183673,20.3131064387766,412.622293193066,0,12.460318,31.746031,45.95238125,78.412697,0.0929264531050172,1.96994008254984,3.09793973654247e-07,0.0718920862578379
"ReachEffic",19953.647505,68.1011860238908,23.9882339922036,575.435370064712,0,51.041668,71.875,88.888885,100,-0.636696539235379,2.98265464344258,4.60547345699465e-09,NA
"Broker",24281.5,82.5901360544218,396.151425272425,156935.951745374,0,1,6,30.875,4758,9.27542960973913,98.1386298200866,1.06035973629007e-33,0
"nBroker",101.780313,0.379777287313433,0.108961673185834,0.0118726462234565,0,0.333333,0.4110015,0.446923,0.5,-1.70584218647818,6.43727833967071,2.47058079329572e-16,NA
"EgoBetween",11923.754877,40.556989377551,256.92886166816,66012.4399580967,0,0,1,5,3142.896484,9.31191682526162,96.8137793638084,2.00991174935376e-34,0
"nEgoBetween",3073.819836,11.469477,13.5194715235744,182.776110276738,0,0,8.181818,16.666666,50,1.17890905315701,3.64169884867743,4.88825338360018e-17,NA
"Size2",1203,4.09183673469388,9.43714981415955,89.0597966148917,0,1,1,4,97,6.47127256359474,56.7149770543358,4.18344799231701e-30,0
"Ties2",1661,5.64965986394558,25.9574944602757,673.791518655244,0,0,0,1,316,8.78895234170525,92.3085154010539,2.51644082398561e-33,0
"Pairs2",29814,101.408163265306,723.197179529351,523014.160479209,0,0,0,12,9312,11.2904546535588,134.898109417741,8.86923608112294e-35,0
"Density2",2235.654609,10.9056322390244,18.6836651149779,349.07934212864,0,0,0,15,100,2.38842957707261,9.59717203870362,1.80211276398979e-20,NA
"nWeakComp2",449,1.52721088435374,1.86331781680797,3.47195328643403,0,1,1,2,15,3.17548495897488,17.0843154026614,6.43171847793096e-24,0
"pWeakComp2",16865.558311,57.3658445952381,43.2247090893702,1868.37547586069,0,7.35714275,66.666664,100,100,-0.236828833340443,1.28794816828047,4.4273216963305e-20,0
"X2StepReach2",3566.666679,12.1315193163265,14.7665204760567,218.050126969801,0,0.952381,5.396825,20.317461,78.412697,1.70018716558445,6.36229540961347,6.95869492052547e-19,4.20008472445943e-11
"ReachEffic2",18123.605283,62.067141380137,38.6594107782482,1494.55004172133,0,34.1355315,73.861336,100,100,-0.619804810244439,1.86551875808097,4.4484601894548e-18,NA
"Broker2",14076.5,47.8792517006803,349.333299502664,122033.754141418,0,0,0,3.875,4498,11.3504788800386,135.856864526736,7.96381550247274e-35,0
"nBroker2",58.321726,0.284496224390244,0.214307482966713,0.0459276972555278,0,0,0.392857,0.485253,0.5,-0.430193016876401,1.39580883389723,6.42334252352976e-17,NA
"EgoBetween2",6234.949171,21.2073101054422,221.429942220382,49031.2193117216,0,0,0,0,3192.726563,12.6059924013,167.295381924081,2.16320056375885e-35,0
"nEgoBetween2",702.235935,3.42554114634146,10.355911288771,107.244898620894,0,0,0,0,50,3.2808788834434,13.0853164690343,4.69792608422832e-26,NA
"Size3",1203,4.09183673469388,5.55534376942252,30.8618443964617,0,1,2,5,37,2.79180068280018,12.5361904069845,3.45669333081027e-23,4.9515946898282e-14
"Ties3",1661,5.64965986394558,12.262058210442,150.358071556268,0,0,1,4,82,3.35961904144781,16.0606464125753,1.70396835464391e-27,0
"Pairs3",12762,43.4081632653061,139.313149606454,19408.1536532702,0,0,2,20,1332,5.69321782870126,40.9560415480638,2.45255483268336e-31,0
"Density3",4410.304893,18.4531585481172,19.4621345350186,378.774680659164,0,0,16.666666,29.545455,100,1.11705006269861,4.27762008546809,8.16506876113975e-15,NA
"nWeakComp3",404,1.37414965986395,1.18125798827494,1.39537043486337,0,1,1,2,9,1.98224538330964,10.5787899878461,5.65901169905134e-19,2.46881404208921e-11
"pWeakComp3",13971.515863,47.5221627993197,38.4693104998687,1479.88785033531,0,13.01075275,40,100,100,0.250745232557542,1.54625332442723,5.23961543741232e-16,3.2369840141655e-10
"X2StepReach3",7145.714278,24.3051506054422,21.0027548471103,441.115711167817,0,1.269841,28.571428,39.682541,66.984123,0.272656827243215,1.74975919782217,1.68983214411439e-13,2.52992380767036e-06
"ReachEffic3",18482.966794,63.2978314863014,35.9004015340789,1288.83883030809,0,44.03624525,72.9756585,95.049507,100,-0.733427428630719,2.1680334306701,7.63214213897947e-17,NA
"Broker3",5550.5,18.8792517006803,64.5147670328929,4162.15516530844,0,0,1,7.875,641.5,6.00284613702099,45.316573916486,9.97404462558682e-32,0
"nBroker3",69.948479,0.292671460251046,0.18062526719156,0.0326254871480226,0,0.25,0.361111,0.425,0.5,-0.694057708180482,1.98683555998628,1.01524754505111e-15,NA
"EgoBetween3",1813.235703,6.16746837755102,44.6659731617905,1995.04915848979,0,0,0,0,551,9.33985404315658,97.8188502727449,1.12167915179729e-34,0
"nEgoBetween3",768.149755,3.21401571129707,9.67610931462989,93.6270914686674,0,0,0,0,58.333332,3.37131254102661,14.3259986496852,9.00488932351952e-28,NA
"Degree",2338,7.95238095238095,11.2266949864394,126.038680318544,0,3,4.5,9,100,4.49787537851866,30.34636571031,1.3315115723908e-26,5.77315972805081e-15
"OutDegree",1203,4.09183673469388,5.55534376942252,30.8618443964617,0,1,2,5,37,2.79180068280018,12.5361904069845,3.45669333081027e-23,4.91828799908944e-14
"InDegree",1203,4.09183673469388,9.43714981415955,89.0597966148917,0,1,1,4,97,6.47127256359474,56.7149770543358,4.18344799231701e-30,0
"Clus.Coef",56.439395,0.217074596153846,0.174897507403408,0.0305891380959251,0,0.1024745,0.166667,0.30089275,1,1.27120844366102,5.54038300106726,3.8151699802873e-12,NA
"Eigenvec",11.051398,0.0375897891156463,0.0446671459194584,0.00199515392459019,0,0.00938575,0.023597,0.0499745,0.334947,2.66876796959141,13.2749920865811,3.17233651158432e-21,1.23819954289672e-10
"Power",1203,4.09183673469388,5.55534376942252,30.8618443964617,0,1,2,5,37,2.79180068280018,12.5361904069845,3.45669333081027e-23,5.01820807130571e-14
