Class,Size,Ties,Pairs,Density,AvgDist,Diameter,nWeakComp,pWeakComp,2StepReach,ReachEffic,Broker,nBroker,EgoBetween,nEgoBetween,Size2,Ties2,Pairs2,Density2,AvgDist2,Diameter2,nWeakComp2,pWeakComp2,2StepReach2,ReachEffic2,Broker2,nBroker2,EgoBetween2,nEgoBetween2,Size3,Ties3,Pairs3,Density3,AvgDist3,Diameter3,nWeakComp3,pWeakComp3,2StepReach3,ReachEffic3,Broker3,nBroker3,EgoBetween3,nEgoBetween3,Degree,NrmDegree,Share,OutDegree,InDegree,NrmOutDeg,NrmInDeg,Clus Coef,nPairs,Eigenvec,nEigenvec,Power,Normalized Power,inFarness,outFarness,inCloseness,outCloseness,OutdwReach,IndwReach,nOutdwReach,nIndwReach,Betweenness,nBetweenness,Betweenness2,EffSize,Efficiency,Constraint,Hierarchy,Indirects,name, version,name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug,bug_2
java\org\apache\lucene\analysis\WhitespaceAnalyzer.java,1,0,0,,0,0,1,100,1.672241,100,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,1,100,1.672241,100,0,,0,,1,0.334448,0.000388,1,0,0.334448,0,,0,0.000004,0.000591,3.945595,0.758073,89700,88509,0.333333,0.337819,3.166667,1,0.010556,0.003333,0,0,0,1,1,1,1,0,lucene,2,org.apache.lucene.analysis.WhitespaceAnalyzer,2,2,0,3,4,1,0,3,2,2,10,0,0,0.666666667,0.666666667,0,0,4,1,0.5,0,0
java\org\apache\lucene\search\QueryTermVector.java,4,2,12,16.666666,,,2,50,10.033444,62.5,5,0.416667,3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,6,33.333332,,,1,33.333332,9.698997,61.702129,2,0.333333,0,0,4,1.337793,0.001553,3,1,1.003345,0.334448,0.166667,6,0.002123,0.300203,5.933223,1.139958,89401,88803,0.334448,0.3367,4,2,0.013333,0.006667,3,0.003367,0.637124,3,0.75,0.283258,0.002969,0.063348,lucene,2,org.apache.lucene.search.QueryTermVector,10,1,0,4,37,0,0,4,9,0.388888889,278,1,0,0,0.34,0,0,26.6,5,1.6,0,0
java\org\apache\lucene\analysis\PorterStemmer.java,1,0,0,,0,0,1,100,1.003345,100,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.334448,0.000388,0,1,0,0.334448,,0,0.000021,0.002978,0.00003,0.000006,89401,89700,0.334448,0.333333,1,2,0.003333,0.006667,0,0,0,1,1,1,1,0,lucene,2,org.apache.lucene.analysis.PorterStemmer,27,1,0,1,43,13,1,0,13,0.600961538,1174,1,0,0,0.25308642,0,0,42.18518519,26,5.7407,0,0
java\org\apache\lucene\analysis\TokenStream.java,17,23,272,8.455882,,,1,5.882353,23.411371,54.6875,124.5,0.457721,5,1.838235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,1,100,5.685619,100,0,,0,,17,5.685619,0.006599,1,16,0.334448,5.351171,0.084559,136,0.010148,1.435106,0.990877,0.190379,60836,89401,0.491485,0.334448,2,47.999977,0.006667,0.16,47.666668,0.053497,3.777484,14.294118,0.84083,0.148227,0.151011,0.441919,lucene,2,org.apache.lucene.analysis.TokenStream,3,1,2,19,4,3,18,1,3,2,7,0,0,0,1,0,0,1.333333333,1,0.6667,1,1
java\org\apache\lucene\search\ExactPhraseScorer.java,4,3,12,25,,,1,25,14.715719,80,4.5,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,12,25,,,1,25,14.715719,80,4.5,0.375,0,0,4,1.337793,0.001553,4,0,1.337793,0,0.25,6,0.003881,0.548827,9.585071,1.841593,89700,79322,0.333333,0.376945,14.266665,1,0.047556,0.003333,0,0,0.196241,2.625,0.65625,0.364384,0.017423,0.200231,lucene,2,org.apache.lucene.search.ExactPhraseScorer,2,3,0,8,8,1,2,6,0,2,61,0,0,0.952380952,0.583333333,1,1,29.5,1,0.5,1,1
java\org\apache\lucene\search\RangeFilter.java,6,6,30,20,,,2,33.333332,38.46154,61.497326,12,0.4,5.5,18.333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,50,,,1,33.333332,36.120399,65.853661,1.5,0.25,0,0,6,2.006689,0.002329,3,3,1.003345,1.003345,0.2,15,0.026702,3.776179,-2.92811,-0.562582,88505,80795,0.337834,0.370072,12.966666,4.5,0.043222,0.015,9.75,0.010943,0.069478,4,0.666667,0.200439,0.011249,0.091241,lucene,2,org.apache.lucene.search.RangeFilter,7,2,0,6,30,1,1,5,7,0,373,1,0,0.142857143,0.314285714,1,1,51.57142857,12,3.5714,0,0
java\org\apache\lucene\index\SegmentInfo.java,10,20,90,22.222221,,,1,10,34.782608,49.760765,35,0.388889,1,1.111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,1,100,14.046823,100,0,,0,,10,3.344482,0.003882,1,9,0.334448,3.010033,0.222222,45,0.032767,4.633976,-1.40501,-0.269947,44861,88507,0.666503,0.337826,3.5,62.397614,0.011667,0.207992,0.366667,0.000412,0.020044,6.65,0.665,0.165442,0.026859,0.267141,lucene,2,org.apache.lucene.index.SegmentInfo,1,1,0,5,2,0,4,1,1,2,16,0,1,0,1,0,0,12,0,0,6,1
java\org\apache\lucene\store\BufferedIndexInput.java,1,0,0,,0,0,1,100,7.35786,100,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,1,100,7.35786,100,0,,0,,1,0.334448,0.000388,1,0,0.334448,0,,0,0.002065,0.292074,-0.685881,-0.131779,89700,89401,0.333333,0.334448,2,1,0.006667,0.003333,0,0,0,1,1,1,1,0,lucene,2,org.apache.lucene.store.BufferedIndexInput,9,2,3,4,14,0,3,1,6,0.575,204,0.8,0,0.619047619,0.416666667,1,4,21.11111111,2,1,3,1
java\org\apache\lucene\index\TermInfosWriter.java,7,8,42,19.047619,,,2,28.571428,38.46154,63.888889,17,0.404762,1,2.380952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,30,10,,,4,66.666664,38.12709,69.938652,13.5,0.45,0,0,7,2.341137,0.002717,6,1,2.006689,0.334448,0.190476,21,0.02105,2.976964,0.123174,0.023666,69799,86416,0.428373,0.346001,9.5,24.25001,0.031667,0.080833,33,0.037036,0.959783,5.071428,0.72449,0.183792,0.009214,0.129293,lucene,2,org.apache.lucene.index.TermInfosWriter,6,1,0,8,29,0,2,6,0,0.436363636,383,0.727272727,5,0,0.479166667,0,0,61,1,0.6667,2,1
java\org\apache\lucene\search\MultiSearcher.java,11,7,110,6.363636,,,5,45.454544,30.76923,53.179192,51.5,0.468182,27,24.545454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,30,10,,,3,50,26.086956,78.78788,13.5,0.45,0,0,11,3.67893,0.00427,6,5,2.006689,1.672241,0.063636,55,0.030515,4.315532,4.239063,0.814457,87609,79884,0.341289,0.374293,16.833332,7,0.056111,0.023333,26.069048,0.029258,0.871504,9.863636,0.896694,0.114089,0.012938,0.112118,lucene,2,org.apache.lucene.search.MultiSearcher,15,2,1,19,50,0,2,18,13,0.476190476,557,1,1,0.611111111,0.251851852,1,5,35.93333333,6,1.2667,3,1
