Class,Size,Ties,Pairs,Density,AvgDist,Diameter,nWeakComp,pWeakComp,2StepReach,ReachEffic,Broker,nBroker,EgoBetween,nEgoBetween,Size2,Ties2,Pairs2,Density2,AvgDist2,Diameter2,nWeakComp2,pWeakComp2,2StepReach2,ReachEffic2,Broker2,nBroker2,EgoBetween2,nEgoBetween2,Size3,Ties3,Pairs3,Density3,AvgDist3,Diameter3,nWeakComp3,pWeakComp3,2StepReach3,ReachEffic3,Broker3,nBroker3,EgoBetween3,nEgoBetween3,Degree,NrmDegree,Share,OutDegree,InDegree,NrmOutDeg,NrmInDeg,Clus Coef,nPairs,Eigenvec,nEigenvec,Power,Normalized Power,inFarness,outFarness,inCloseness,outCloseness,OutdwReach,IndwReach,nOutdwReach,nIndwReach,Betweenness,nBetweenness,Betweenness2,EffSize,Efficiency,Constraint,Hierarchy,Indirects,name, version,name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug,bug_2
java\org\apache\lucene\search\FuzzyQuery.java,13,30,156,19.23077,,,2,15.384615,43.734016,43.073048,63,0.403846,21,13.461538,4,2,12,16.666666,,,2,50,13.554987,60.91954,5,0.416667,0,0,9,15,72,20.833334,,,2,22.222221,39.130436,49.354839,28.5,0.395833,0,0,13,3.324808,0.003599,9,4,2.30179,1.023018,0.192308,78,0.03692,5.221341,-169.391113,-7.423766,143131,134209,0.273176,0.291337,22.676195,15.499999,0.057847,0.039541,83.961113,0.05506,0.46411,8.923077,0.686391,0.122724,0.021066,0.246817,lucene,2.2,org.apache.lucene.search.FuzzyQuery,10,3,0,13,42,7,1,12,9,0.638888889,280,0.5,0,0.72,0.285714286,3,4,26.6,6,1.4,1,1
java\org\apache\lucene\index\MultiLevelSkipListReader.java,4,4,12,33.333332,,,1,25,8.439898,71.739128,4,0.333333,2,16.666666,2,1,2,50,,,1,50,3.580563,82.352943,0.5,0.25,0,0,2,1,2,50,,,1,50,6.905371,93.103447,0.5,0.25,0,0,4,1.023018,0.001107,2,2,0.511509,0.511509,0.333333,6,0.001999,0.282648,1.954876,0.085675,110580,152490,0.35359,0.25641,3,31.200006,0.007653,0.079592,109,0.07148,0.003083,2.25,0.5625,0.449124,0.061302,0.31218,lucene,2.2,org.apache.lucene.index.MultiLevelSkipListReader,10,1,1,4,21,0,1,3,1,0.619047619,477,1,1,0,0.5,0,0,45.3,2,1,1,1
java\org\apache\lucene\store\RAMDirectory.java,92,135,8372,1.612518,,,6,6.521739,57.544758,19.379845,4118.5,0.491937,382.5,4.568801,87,90,7482,1.202887,,,9,10.344828,54.219948,20.094788,3696,0.493986,80.5,1.075916,6,3,30,10,,,3,50,20.460358,71.428574,13.5,0.45,13,43.333332,92,23.529411,0.025471,6,87,1.534527,22.250639,0.016125,4186,0.218321,30.875248,68.157227,2.987071,107560,147417,0.363518,0.265234,11.333333,102.25,0.028912,0.260842,668.136597,0.438151,5.738585,89.586021,0.973761,0.022813,0.253876,0.187156,lucene,2.2,org.apache.lucene.store.RAMDirectory,17,2,0,11,42,0,2,10,15,0.5625,393,0.333333333,0,0.586206897,0.352941176,1,5,21.94117647,2,0.8824,2,1
java\org\apache\lucene\search\spans\SpanQuery.java,11,15,110,13.636364,,,1,9.090909,32.48082,65.463921,47.5,0.431818,15.333333,13.939394,10,12,90,13.333333,,,2,20,8.951406,38.46154,39,0.433333,9,10,2,1,2,50,,,1,50,27.621483,95.575218,0.5,0.25,0,0,11,2.813299,0.003045,2,10,0.511509,2.557545,0.136364,55,0.019134,2.705967,-13.61188,-0.596557,147802,134584,0.264543,0.290525,21.200003,13,0.054082,0.033163,96.060387,0.062995,0.138917,9.041667,0.82197,0.156699,0.055332,0.270814,lucene,2.2,org.apache.lucene.search.spans.SpanQuery,5,2,5,17,7,10,12,6,4,2,14,0,0,0.75,0.466666667,1,1,1.8,1,0.8,0,0
java\org\apache\lucene\search\function\DocValues.java,5,2,20,10,,,3,60,9.462915,69.811317,9,0.45,4,20,4,2,12,16.666666,,,2,50,4.859335,55.882355,5,0.416667,0,0,1,0,0,,0,0,1,100,4.859335,100,0,,0,,5,1.278772,0.001384,1,4,0.255754,1.023018,0.1,10,0.004781,0.676092,1.004398,0.044019,148590,152881,0.26314,0.255754,2,8.666667,0.005102,0.022109,8.5,0.005574,0.047094,4.2,0.84,0.2449,0.007174,0.103333,lucene,2.2,org.apache.lucene.search.function.DocValues,14,1,6,16,19,79,15,1,11,0.723076923,133,1,0,0,0.785714286,0,0,8.142857143,3,1,1,1
java\org\apache\lucene\analysis\standard\FastCharStream.java,1,0,0,,0,0,1,100,1.534527,100,0,,0,,1,0,0,,0,0,1,100,1.534527,100,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.255754,0.000277,0,1,0,0.255754,,0,0.000086,0.012132,0.000122,0.000005,140438,153272,0.278415,0.255102,1,12.333331,0.002551,0.031463,0,0,0,1,1,1,1,0,lucene,2.2,org.apache.lucene.analysis.standard.FastCharStream,14,1,0,2,25,3,1,1,13,0.602564103,237,0,0,0,0.404761905,0,0,15.5,1,0.9286,0,0
java\org\apache\lucene\search\FieldCacheImpl.java,3,2,6,33.333332,,,1,33.333332,27.365728,95.535713,2,0.333333,1,16.666666,1,0,0,,0,0,1,100,1.534527,100,0,,0,,2,1,2,50,,,1,50,26.598465,98.113205,0.5,0.25,0,0,3,0.767263,0.000831,2,1,0.511509,0.255754,0.333333,3,0.008,1.131395,27.949654,1.224927,123014,135773,0.31785,0.287981,18.083332,21.033333,0.046131,0.053656,77,0.050495,0.003243,1.666667,0.555556,0.476558,0.070225,0.173139,lucene,2.2,org.apache.lucene.search.FieldCacheImpl,14,1,0,22,29,67,9,22,12,0.897435897,199,0.333333333,12,0,0.403846154,0,0,12.35714286,1,0.8571,4,1
java\org\apache\lucene\document\LoadFirstFieldSelector.java,1,0,0,,0,0,1,100,1.023018,100,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,1,100,1.023018,100,0,,0,,1,0.255754,0.000277,1,0,0.255754,0,,0,0.00006,0.008531,1.005448,0.044065,153272,152881,0.255102,0.255754,2,1,0.005102,0.002551,0,0,0,1,1,1,1,0,lucene,2.2,org.apache.lucene.document.LoadFirstFieldSelector,2,1,0,2,3,1,0,2,2,2,7,0,0,0,0.75,0,0,2.5,1,0.5,0,0
java\org\apache\lucene\index\SegmentInfo.java,15,41,210,19.523809,,,1,6.666667,48.081841,44.028103,84.5,0.402381,15.483334,7.373016,11,25,110,22.727272,,,1,9.090909,42.455242,52.365932,42.5,0.386364,0,0,4,2,12,16.666666,,,2,50,19.948849,70.909088,5,0.416667,0,0,15,3.836317,0.004153,4,11,1.023018,2.813299,0.195238,105,0.037849,5.352681,1.608341,0.070487,72647,150539,0.538219,0.259733,6.333333,95.566658,0.016156,0.243792,155.006027,0.10165,0.141635,10.099999,0.673333,0.117671,0.034157,0.298872,lucene,2.2,org.apache.lucene.index.SegmentInfo,18,1,0,12,44,0,8,4,4,0.678733032,981,0.461538462,1,0,0.243055556,0,0,52.77777778,4,1.3333,3,1
java\org\apache\lucene\store\BufferedIndexInput.java,3,1,6,16.666666,,,2,66.666664,9.207161,87.804878,2.5,0.416667,1,16.666666,2,0,2,0,,,2,100,3.836317,100,1,0.5,0,0,1,0,0,,0,0,1,100,6.649616,100,0,,0,,3,0.767263,0.000831,1,2,0.255754,0.511509,0.166667,3,0.003722,0.526394,0.573591,0.025138,110295,152881,0.354504,0.255754,2,26.016685,0.005102,0.066369,0.5,0.000328,0.019452,2.333333,0.777778,0.404545,0.018444,0.096154,lucene,2.2,org.apache.lucene.store.BufferedIndexInput,15,2,2,4,30,21,3,1,9,0.705357143,438,0.625,0,0.538461538,0.328571429,1,4,27.66666667,7,1.2667,3,1
