"","Sum","Mean","SD","Var","Min","25%","Median","75%","Max","Skewness","Kurtosis","shapiro.p","ks.p"
"Size",3258,10.4423076923077,19.5638094859557,382.74264160277,0,3,5,9,146,4.49705671909656,25.041352555989,4.81746598624344e-30,0
"Ties",6336,20.3076923076923,61.3872967141645,3768.40019787287,0,1,4,13,492,5.73151377016498,38.498159061204,2.29189307409373e-32,0
"Pairs",149796,480.115384615385,2235.82966455282,4998934.28889439,0,6,20,72,21170,6.48694578143756,48.3724258941855,3.93134683909096e-34,0
"Density",6155.0857,20.7241942760943,17.8660835505686,319.196941435898,0,6.944445,16.666666,30.952381,100,1.32774946915137,5.95298961466961,9.4028420203981e-14,NA
"nWeakComp",619,1.98397435897436,3.57326616683097,12.7682310990189,0,1,1,2,53,11.0090037739312,146.358277782988,2.48222267226991e-33,0
"pWeakComp",11566.222626,37.0712263653846,31.3544708488714,983.102842212728,0,14.285714,25,50,100,0.96920138061,2.75833886481186,9.84361886471602e-17,2.25799146047478e-09
"X2StepReach",5974.181111,19.1480163814103,16.7349402907358,280.058226534491,0,5.780347,13.391137,30.58766775,73.795761,0.98966106231249,3.29669508163713,8.76774748574865e-14,3.2950328243686e-06
"ReachEffic",19662.974241,63.2249975594855,23.5782179081856,555.932359725885,0,51.1915935,64.814812,80,100,-0.735316854932605,3.55193885805923,4.33525458879286e-09,NA
"Broker",71730,229.903846153846,1089.74078987482,1187534.98911699,0,2,8,27.75,10339,6.50620829860287,48.5845842335143,3.49732632006568e-34,0
"nBroker",110.724565,0.372809983164983,0.119774289854762,0.0143458805102126,0,0.333333,0.4,0.45,0.5,-1.6996805830637,5.93295829722519,3.97116703504617e-18,NA
"EgoBetween",10222.432212,32.7642058076923,186.315108745409,34713.3197468137,0,0,1,6.0625,2602.866699,10.3660214706801,128.324889044011,5.54501934227084e-35,0
"nEgoBetween",2941.721918,9.9047876026936,12.6050640997716,158.887640959351,0,0,6.25,16.071428,70,1.84592838507557,6.80486233615359,5.61224992212231e-20,NA
"Size2",2360,7.56410256410256,18.475387116257,341.339929095556,0,1,2,5,132,4.69657234706347,26.4550934543187,3.95840944671826e-31,0
"Ties2",3049,9.7724358974359,40.8698366336214,1670.3435464589,0,0,0,4,373,7.05412702791299,56.1290208711629,8.05837583267353e-34,0
"Pairs2",121648,389.897435897436,1964.6992395751,3860043.10198697,0,0,2,20,17292,6.42675085933446,46.2959298736165,2.2054963395921e-34,0
"Density2",4652.967331,19.1480137078189,27.8654569641565,776.483691821256,0,0,5.402299,25.5952375,100,1.73209640128673,5.17367098403309,3.02775813178271e-20,NA
"nWeakComp2",869,2.78525641025641,7.64792222786658,58.4907144034958,0,1,1,2,85,8.17525882303116,77.4811381365668,1.6129815299957e-33,0
"pWeakComp2",18267.612211,58.5500391378205,38.3098818231589,1467.6470453044,0,25,50,100,100,-0.196608508581925,1.52207363681751,2.00981475340699e-17,0
"X2StepReach2",3185.549135,10.2100933814103,13.8839580705188,192.764291703925,0,1.734104,4.431599,11.368015,66.859344,2.05730348000746,6.93704939900674,8.64038522391492e-23,8.43769498715119e-15
"ReachEffic2",20706.075512,66.5790209389068,32.2849005211213,1042.3148016587,0,51.0962355,73.64341,96.860771,100,-0.864458259967763,2.68554324597064,4.97740853375987e-16,NA
"Broker2",59299.5,190.0625,966.405427479199,933939.450261254,0,0,1,8.625,8459.5,6.44772004027557,46.5628007917372,2.05484352021636e-34,0
