Class,Size,Ties,Pairs,Density,AvgDist,Diameter,nWeakComp,pWeakComp,2StepReach,ReachEffic,Broker,nBroker,EgoBetween,nEgoBetween,Size2,Ties2,Pairs2,Density2,AvgDist2,Diameter2,nWeakComp2,pWeakComp2,2StepReach2,ReachEffic2,Broker2,nBroker2,EgoBetween2,nEgoBetween2,Size3,Ties3,Pairs3,Density3,AvgDist3,Diameter3,nWeakComp3,pWeakComp3,2StepReach3,ReachEffic3,Broker3,nBroker3,EgoBetween3,nEgoBetween3,Degree,NrmDegree,Share,OutDegree,InDegree,NrmOutDeg,NrmInDeg,Clus Coef,nPairs,Eigenvec,nEigenvec,Power,Normalized Power,inFarness,outFarness,inCloseness,outCloseness,OutdwReach,IndwReach,nOutdwReach,nIndwReach,Betweenness,nBetweenness,Betweenness2,EffSize,Efficiency,Constraint,Hierarchy,Indirects,name, version,name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug,bug_2
java\org\apache\poi\hssf\record\ValueRangeRecord.java-->ValueRangeRecord,8,5,56,8.928572,,,3,37.5,49.125595,36.829559,25.5,0.455357,10,17.857143,3,0,6,0,,,3,100,21.144674,76.436783,3,0.5,0,0,5,0,20,0,,,5,100,47.853737,45.263157,10,0.5,0,0,8,1.27186,0.001738,5,3,0.794913,0.476948,0.089286,28,0.061671,8.721631,2.41386,0.143879,394383,393125,0.15949,0.16,6,4,0.009524,0.006349,4.211573,0.001066,0.146794,6.75,0.84375,0.146725,0.024668,0.070711,poi,2.5.1,org.apache.poi.hssf.record.ValueRangeRecord,40,2,0,6,60,90,1,5,38,0.838141026,786,0.9375,9,0.229166667,0.275,1,6,18.25,2,0.95,2,1
java\org\apache\poi\ddf\EscherRecord.java-->EscherRecord,43,86,1806,4.761905,,,2,4.651163,29.0938,39.019188,860,0.47619,0,0,43,86,1806,4.761905,,,2,4.651163,29.0938,39.019188,860,0.47619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,6.836248,0.009344,0,43,0,6.836248,0.047619,903,0.037357,5.28305,-1.371476,-0.081747,307723,396270,0.204405,0.15873,1,86.53334,0.001587,0.137355,0,0,1.74122,39.511627,0.918875,0.050978,0.065495,0.408326,poi,2.5.1,org.apache.poi.ddf.EscherRecord,20,1,14,32,36,164,31,4,18,0.842105263,141,1,0,0,0.2375,0,0,5.95,2,1.05,0,0
java\org\apache\poi\hssf\usermodel\HSSFRow.java-->HSSFRow,38,80,1406,5.6899,,,1,2.631579,31.478537,39.599998,663,0.47155,39.583332,2.815315,34,37,1122,3.297683,,,1,2.941176,18.124006,36.774193,542.5,0.483512,0,0,4,4,12,33.333332,,,1,25,23.847376,78.947365,4,0.333333,0,0,38,6.041336,0.008257,4,34,0.63593,5.405406,0.056899,703,0.034686,4.905337,-342.819275,-20.433859,349806,267666,0.179814,0.234994,85.73336,49.992855,0.136085,0.079354,1260.422485,0.319085,0.580185,34.776318,0.915166,0.078702,0.32399,0.350653,poi,2.5.1,org.apache.poi.hssf.usermodel.HSSFRow,24,1,0,9,52,86,4,5,16,0.673913043,451,0.833333333,3,0,0.183333333,0,0,17.54166667,5,1.7083,4,1
java\org\apache\poi\hssf\record\ObjectLinkRecord.java-->ObjectLinkRecord,6,5,30,16.666666,,,1,16.666666,47.853737,39.920425,12.5,0.416667,3,10,2,0,2,0,,,2,100,20.349762,99.224808,1,0.5,0,0,4,0,12,0,,,4,100,46.899841,47.200001,6,0.5,0,0,6,0.953895,0.001304,4,2,0.63593,0.317965,0.166667,15,0.055155,7.800137,1.485518,0.088545,395012,393754,0.159236,0.159744,5,3,0.007937,0.004762,3,0.000759,0.119429,4.333333,0.722222,0.205288,0.033692,0.094282,poi,2.5.1,org.apache.poi.hssf.record.ObjectLinkRecord,16,2,0,5,28,72,1,4,14,0.933333333,254,0.333333333,0,0.458333333,0.46875,1,6,14.3125,2,0.875,2,1
java\org\apache\poi\hssf\record\formula\NamePtg.java-->NamePtg,6,10,30,33.333332,,,1,16.666666,41.176472,67.979004,10,0.333333,4.5,15,3,3,6,50,,,1,33.333332,7.790143,53.260868,1.5,0.25,0,0,3,3,6,50,,,1,33.333332,37.360889,81.31488,1.5,0.25,0,0,6,0.953895,0.001304,3,3,0.476948,0.476948,0.333333,15,0.0239,3.379905,-3.016348,-0.17979,331724,324112,0.189615,0.194069,50.033306,36.004765,0.079418,0.05715,10.883274,0.002755,0.140472,3.75,0.625,0.208059,0.004289,0.115178,poi,2.5.1,org.apache.poi.hssf.record.formula.NamePtg,8,2,0,5,20,4,2,4,7,0.8,148,0.6,0,0.583333333,0.375,1,2,16.875,1,0.625,1,1
java\org\apache\poi\hssf\record\PasswordRev4Record.java-->PasswordRev4Record,5,4,20,20,,,1,20,47.058823,40.108402,8,0.4,2,10,2,0,2,0,,,2,100,25.437202,81.632652,1,0.5,0,0,3,0,6,0,,,3,100,43.402225,50.369003,3,0.5,0,0,5,0.794913,0.001086,3,2,0.476948,0.317965,0.2,10,0.054607,7.722638,1.527431,0.091043,331068,394383,0.189991,0.15949,4,38.183331,0.006349,0.060608,0.484164,0.000123,0.006999,3.5,0.7,0.204842,0.000051,0.012011,poi,2.5.1,org.apache.poi.hssf.record.PasswordRev4Record,11,2,0,5,21,49,2,3,9,0.85,106,0.5,0,0.578947368,0.522727273,1,6,8.454545455,2,0.8182,2,1
java\org\apache\poi\ddf\EscherBoolProperty.java-->EscherBoolProperty,8,6,56,10.714286,,,3,37.5,16.693163,67.307693,25,0.446429,3,5.357143,7,3,42,7.142857,,,5,71.428574,16.534182,72.222221,19.5,0.464286,0,0,1,0,0,,0,0,1,100,1.90779,100,0,,0,,8,1.27186,0.001738,1,7,0.158983,1.112878,0.107143,28,0.009869,1.395621,1.561224,0.093057,327900,392502,0.191827,0.160254,4.333333,45.199982,0.006878,0.071746,95.480721,0.024172,0.140993,6.875,0.859375,0.171284,0.031179,0.152917,poi,2.5.1,org.apache.poi.ddf.EscherBoolProperty,3,3,0,6,4,1,5,1,3,2,24,0,0,0.875,0.555555556,0,0,7,2,1.3333,0,0
java\org\apache\poi\hssf\model\TextboxShape.java-->TextboxShape,17,28,272,10.294118,,,1,5.882353,13.513514,35.714287,122,0.448529,13,4.779412,2,1,2,50,,,1,50,5.08744,76.190475,0.5,0.25,0,0,16,19,240,7.916667,,,3,18.75,13.036566,38.497654,110.5,0.460417,7,2.916667,17,2.702703,0.003694,16,2,2.54372,0.317965,0.102941,136,0.018496,2.615694,-91.315865,-5.442913,349878,268195,0.179777,0.234531,56.123806,26.733347,0.089085,0.042434,381.428375,0.096561,0.308517,13.694445,0.805556,0.096419,0.0612,0.232333,poi,2.5.1,org.apache.poi.hssf.model.TextboxShape,8,2,0,20,59,20,2,19,4,0.821428571,267,1,4,0.416666667,0.666666667,1,1,31.875,1,0.875,0,0
java\org\apache\poi\hssf\usermodel\HSSFPatriarch.java-->HSSFPatriarch,12,34,132,25.757576,,,1,8.333333,15.739268,47.142857,49,0.371212,15.5,11.742424,6,5,30,16.666666,,,1,16.666666,15.262321,68.571426,12.5,0.416667,1,3.333333,7,9,42,21.428572,,,2,28.571428,13.195548,60.144928,16.5,0.392857,11,26.190475,12,1.90779,0.002608,7,6,1.112878,0.953895,0.257576,66,0.007218,1.020764,-756.496521,-45.091228,349828,267780,0.179803,0.234894,71.416664,36.25,0.11336,0.05754,707.930969,0.179218,0.066839,6.538461,0.544872,0.172468,0.041721,0.40424,poi,2.5.1,org.apache.poi.hssf.usermodel.HSSFPatriarch,12,1,0,10,24,6,2,9,11,0.787878788,156,0,1,0,0.375,0,0,11.5,2,1,1,1
java\org\apache\poi\poifs\property\DirectoryProperty.java-->DirectoryProperty,13,23,156,14.743589,,,1,7.692307,10.492846,44,66.5,0.426282,1,0.641026,12,13,132,9.848485,,,2,16.666666,9.538951,49.180328,59.5,0.450758,0,0,1,0,0,,0,0,1,100,4.45151,100,0,,0,,13,2.066773,0.002825,1,12,0.158983,1.90779,0.147436,78,0.001656,0.234177,3.382943,0.201641,333529,391875,0.188589,0.16051,4.666667,46.349979,0.007407,0.073571,3.214286,0.000814,0.355625,9.884615,0.760355,0.148515,0.057682,0.342627,poi,2.5.1,org.apache.poi.poifs.property.DirectoryProperty,8,2,1,11,37,0,7,5,6,0.357142857,278,1,0,0.823529412,0.375,1,1,33.5,6,1.625,1,1
