Class,Size,Ties,Pairs,Density,AvgDist,Diameter,nWeakComp,pWeakComp,2StepReach,ReachEffic,Broker,nBroker,EgoBetween,nEgoBetween,Size2,Ties2,Pairs2,Density2,AvgDist2,Diameter2,nWeakComp2,pWeakComp2,2StepReach2,ReachEffic2,Broker2,nBroker2,EgoBetween2,nEgoBetween2,Size3,Ties3,Pairs3,Density3,AvgDist3,Diameter3,nWeakComp3,pWeakComp3,2StepReach3,ReachEffic3,Broker3,nBroker3,EgoBetween3,nEgoBetween3,Degree,NrmDegree,Share,OutDegree,InDegree,NrmOutDeg,NrmInDeg,Clus Coef,nPairs,Eigenvec,nEigenvec,Power,Normalized Power,inFarness,outFarness,inCloseness,outCloseness,OutdwReach,IndwReach,nOutdwReach,nIndwReach,Betweenness,nBetweenness,Betweenness2,EffSize,Efficiency,Constraint,Hierarchy,Indirects,name, version,name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug,bug_2
java\org\apache\poi\poifs\storage\HeaderBlockReader.java-->HeaderBlockReader,9,3,72,4.166667,,,6,66.666664,28.115501,92.5,34.5,0.479167,19,26.388889,4,0,12,0,,,4,100,5.547112,85.882355,6,0.5,0,0,5,2,20,10,,,3,60,23.556231,98.412697,9,0.45,0,0,9,0.683891,0.001031,5,4,0.379939,0.303951,0.041667,36,0.013176,1.863362,5,27.504911,1415262,1726592,0.092986,0.07622,6,84.740891,0.004556,0.064344,683.136536,0.039475,0.598186,8.333333,0.925926,0.133306,0.037578,0.075185,poi,3,org.apache.poi.poifs.storage.HeaderBlockReader,7,1,0,8,21,9,2,6,7,0.833333333,207,1,5,0,0.571428571,0,0,27.71428571,2,1,1,1
java\org\apache\poi\hssf\record\formula\RefVPtg.java-->RefVPtg,4,7,12,58.333332,,,1,25,18.541033,74.390244,2.5,0.208333,0,0,2,1,2,50,,,1,50,7.294833,91.428574,0.5,0.25,0,0,3,4,6,66.666664,,,1,33.333332,18.389057,77.070061,1,0.166667,0,0,4,0.303951,0.000458,3,2,0.227964,0.151976,0.583333,6,0.015894,2.247731,3,16.502947,1403383,1546549,0.093773,0.085093,58.033314,89.004875,0.044065,0.067582,0,0,0,1.8,0.45,0.34588,0.161362,0.113862,poi,3,org.apache.poi.hssf.record.formula.RefVPtg,5,3,0,4,13,10,2,2,4,1.25,40,0,0,0.92,0.4,1,1,6.8,1,0.4,0,0
java\org\apache\poi\hssf\usermodel\HSSFChildAnchor.java-->HSSFChildAnchor,6,9,30,30,,,1,16.666666,2.355623,36.046513,10.5,0.35,1,3.333333,5,6,20,30,,,1,20,1.975684,37.142857,7,0.35,0,0,1,0,0,,0,0,1,100,1.215806,100,0,,0,,6,0.455927,0.000688,1,5,0.075988,0.379939,0.3,15,0.001057,0.149412,1,5.500982,1605821,1731856,0.081952,0.075988,2,28.807148,0.001519,0.021873,0.458333,0.000026,0.000373,3,0.5,0.245791,0.005302,0.2115,poi,3,org.apache.poi.hssf.usermodel.HSSFChildAnchor,5,2,0,5,7,6,4,1,5,2,46,0,0,0.769230769,0.7,1,1,8.2,2,1,1,1
java\org\apache\poi\hssf\record\LeftMarginRecord.java-->LeftMarginRecord,6,7,30,23.333334,,,1,16.666666,33.43465,42.024834,11.5,0.383333,3,10,2,0,2,0,,,2,100,11.702127,80.208336,1,0.5,0,0,4,3,12,25,,,1,25,32.294834,49.707603,4.5,0.375,0,0,6,0.455927,0.000688,4,2,0.303951,0.151976,0.233333,15,0.052563,7.433581,4,22.003929,1605726,1723965,0.081957,0.076336,6.166667,34.900013,0.004682,0.0265,0.217125,0.000013,0.003748,4,0.666667,0.171732,0.000083,0.015045,poi,3,org.apache.poi.hssf.record.LeftMarginRecord,11,2,0,7,21,35,2,5,9,0.8,107,0.5,0,0.55,0.257575758,1,4,8.545454545,2,0.9091,1,1
java\org\apache\poi\hssf\record\formula\SubtractPtg.java-->SubtractPtg,4,3,12,25,,,1,25,18.541033,71.345032,4.5,0.375,1,8.333333,3,2,6,33.333332,,,1,33.333332,7.218845,71.428574,2,0.333333,0,0,1,0,0,,0,0,1,100,15.881459,100,0,,0,,4,0.303951,0.000458,1,3,0.075988,0.227964,0.25,6,0.014357,2.030371,1,5.500982,1402072,1725283,0.093861,0.076277,4.166667,89.371552,0.003164,0.06786,1.099799,0.000064,0.013495,3,0.75,0.28582,0.012083,0.064892,poi,3,org.apache.poi.hssf.record.formula.SubtractPtg,9,2,0,5,13,36,2,3,9,1.125,59,0,0,0.3,0.259259259,0,0,5.333333333,1,0.7778,0,0
java\org\apache\poi\poifs\filesystem\POIFSDocument.java-->POIFSDocument,17,34,272,12.5,,,2,11.764706,14.969604,60.244648,119,0.4375,51.833332,19.056372,11,18,110,16.363636,,,1,9.090909,6.458967,51.829269,46,0.418182,5,4.545455,7,2,42,4.761905,,,5,71.428574,11.094225,84.88372,20,0.47619,5,11.904762,17,1.291793,0.001948,7,11,0.531915,0.835866,0.125,136,0.005115,0.723408,7,38.506878,1404712,1714756,0.093685,0.076746,11.333334,94.274284,0.008605,0.071583,949.891541,0.05489,1.127718,13.75,0.808824,0.11704,0.049148,0.364134,poi,3,org.apache.poi.poifs.filesystem.POIFSDocument,16,1,0,20,55,0,9,14,14,0.5,453,1,3,0,0.198863636,0,0,27.0625,6,1.0625,1,1
java\org\apache\poi\hssf\record\formula\ExpPtg.java-->ExpPtg,4,3,12,25,,,1,25,29.787233,52.476574,4.5,0.375,1,8.333333,1,0,0,,0,0,1,100,6.914894,100,0,,0,,3,2,6,33.333332,,,1,33.333332,27.43161,55.030487,2,0.333333,0,0,4,0.303951,0.000458,3,1,0.227964,0.075988,0.25,6,0.033258,4.70346,3,16.502947,1402074,1725281,0.093861,0.076277,5.166667,88.371536,0.003923,0.067101,24.230244,0.0014,0.047286,3,0.75,0.254238,0.000057,0.00842,poi,3,org.apache.poi.hssf.record.formula.ExpPtg,10,2,0,6,18,27,2,5,10,0.833333333,104,0.75,0,0.466666667,0.28,1,2,9,1,0.8,1,1
java\org\apache\poi\ddf\EscherProperties.java-->EscherProperties,6,7,30,23.333334,,,2,33.333332,2.051672,48.214287,11.5,0.383333,5,16.666666,5,7,20,35,,,1,20,1.975684,47.272728,6.5,0.325,0,0,1,0,0,,0,0,1,100,0.075988,,0,,0,,6,0.455927,0.000688,1,5,0.075988,0.379939,0.233333,15,0.002409,0.34073,1,5.500982,1313266,1731856,0.100208,0.075988,2,76.7631,0.001519,0.058286,320,0.018491,0.124083,3.666667,0.611111,0.264257,0.009778,0.253373,poi,3,org.apache.poi.ddf.EscherProperties,7,1,0,6,16,9,5,1,3,1.164242424,1460,0.003636364,0,0,0.19047619,0,0,168.2857143,2,1.2857,2,1
java\org\apache\poi\ddf\EscherComplexProperty.java-->EscherComplexProperty,8,13,56,23.214285,,,1,12.5,25.531916,77.064217,21.5,0.383929,3.333333,5.952381,4,3,12,25,,,1,25,1.291793,53.125,4.5,0.375,0,0,4,1,12,8.333333,,,3,75,25.075989,81.683167,5.5,0.458333,0,0,8,0.607903,0.000917,4,4,0.303951,0.303951,0.232143,28,0.01647,2.329194,4,22.003929,1322539,1726593,0.099506,0.076219,5.5,67.38942,0.004176,0.051169,3.5,0.000202,0.114696,4.75,0.59375,0.233849,0.009485,0.360903,poi,3,org.apache.poi.ddf.EscherComplexProperty,9,2,1,6,32,0,2,4,9,0.125,172,0,0,0.533333333,0.351851852,1,1,18,4,1.1111,1,1
java\org\apache\poi\hssf\record\formula\RefNPtg.java-->RefNPtg,3,4,6,66.666664,,,1,33.333332,18.389057,77.070061,1,0.166667,0,0,1,0,0,,0,0,1,100,6.914894,100,0,,0,,2,1,2,50,,,1,50,16.261398,95.964127,0.5,0.25,0,0,3,0.227964,0.000344,2,1,0.151976,0.075988,0.666667,3,0.014305,2.023072,2,11.001965,1403388,1546684,0.093773,0.085085,42.676174,88.0382,0.032404,0.066848,0,0,0,1.666667,0.555556,0.388887,0.003439,0.079101,poi,3,org.apache.poi.hssf.record.formula.RefNPtg,6,3,0,5,9,15,2,3,5,1.2,31,0,0,0.851851852,0.333333333,0,0,4,1,0.6667,0,0
