"","Sum","Mean","SD","Var","Min","25%","Median","75%","Max","Skewness","Kurtosis","shapiro.p","ks.p"
"Size",1920,9.01408450704225,16.2273002187379,263.325272389051,0,4,5,7,138,5.91626986254801,41.5953340312587,6.85376105318054e-27,0
"Ties",2251,10.5680751173709,28.1575974960409,792.850296749048,0,2,4,8,277,6.74383660851586,56.2677927258617,2.15186102588741e-27,0
"Pairs",71212,334.328638497653,1933.12353190387,3736966.5896005,0,12,20,42,18906,7.97869215369975,69.1710055176347,6.78455553369681e-30,0
"Density",3245.493591,15.678713,10.9974148180313,120.943132679855,0,8.333333,15.277778,20,50,0.850088339044271,4.27463256541217,7.8280741142122e-09,NA
"nWeakComp",472,2.21596244131455,3.04375770713024,9.26446097971477,0,1,1,2,30,6.32105789201907,51.9758712268435,5.58978534317706e-26,0
"pWeakComp",7826.542471,36.7443308497653,29.3298571737947,860.240521835195,0,20,25,44.444443,100,1.20208066714474,3.15267588722907,9.17936587562332e-16,1.88316029436919e-12
"X2StepReach",6720.899475,31.5535186619718,19.2818734488123,371.790643696012,0,8.730159,45.238094,46.825397,62.698414,-0.48306521492445,1.47570154677614,8.13783101048304e-16,9.70334923522387e-14
"ReachEffic",10637.889149,50.1787224009434,22.1855008611536,492.196448460246,0,35.140564,41.121494,61.87908475,100,0.810500076212128,3.04826646645254,4.35312285272905e-13,NA
"Broker",34480.5,161.880281690141,955.275375681243,912551.043382939,0,5,9.5,18.5,9339.5,8.01010561241904,69.6397669934696,6.29029223649259e-30,0
"nBroker",85.272529,0.411944584541063,0.0791324155789556,0.00626193919536054,0,0.4,0.416667,0.4557005,0.5,-2.87889580053522,15.2002547966616,6.783512109132e-18,NA
"EgoBetween",2062.666651,9.68388099061033,32.3235382771968,1044.81112675741,0,0,2,5,279,5.86654761171109,40.6049052686577,5.79167844749654e-28,0
"nEgoBetween",2364.118297,11.4208613381643,10.6836095194284,114.139512363622,0,4.241954,10,14.503968,50,1.73826479851789,7.09021590183779,2.05989640890401e-15,NA
"Size2",1131,5.30985915492958,14.865997243262,220.997874036673,0,2,2,4,138,7.39734546134557,61.1144848355934,1.89531178228943e-28,0
"Ties2",869,4.07981220657277,19.1162830908587,365.43227920985,0,0,0,1,227,8.9720942033685,95.1577429765901,3.39826294924159e-29,0
"Pairs2",51726,242.845070422535,1846.38488174703,3409137.13154398,0,2,2,12,18906,8.90789861382476,83.1605655107312,1.81724347330626e-30,0
"Density2",1398.08307,7.81051994413408,13.7331903629067,188.600517543832,0,0,0,9.981884,50,1.88160408270274,5.53365816105259,1.99104629798184e-19,NA
"nWeakComp2",507,2.38028169014085,3.22592474901603,10.4065904863141,0,1,2,2,30,5.93134912991347,44.3283897690038,5.95030479806754e-26,0
"pWeakComp2",16081.651754,75.5007124600939,35.3314522681636,1248.31151937752,0,50,100,100,100,-1.01338514231008,2.40633527592722,2.63960274097606e-19,0
"X2StepReach2",3364.285721,15.7947686431925,12.3961879849257,153.665476557616,0,4.497355,12.698413,26.455027,62.698414,0.409103908916908,2.50014054941769,1.998114645302e-11,3.5020839506128e-07
"ReachEffic2",15459.608796,72.922683,25.7377368575583,662.431098548913,0,60.714287,76.335876,98.936172,100,-1.20212133802876,4.22317549904794,4.35231440711162e-13,NA
"Broker2",25428.5,119.382629107981,914.296118234935,835937.39181947,0,1,1,4.5,9339.5,8.90591552729233,83.0848775075813,1.77173723984334e-30,0
"nBroker2",77.009584,0.430221139664804,0.129621302680078,0.0168016821084804,0,0.416667,0.5,0.5,0.5,-2.34170227548695,7.80459669342863,2.2373959016828e-20,NA
"EgoBetween2",98.5,0.462441314553991,4.64884827008637,21.6117902382851,0,0,0,0,65.5,13.1364086660361,182.151544442614,6.6494106837444e-31,0
"nEgoBetween2",96.538282,0.539320011173184,4.11165862983999,16.9057366883377,0,0,0,0,49.621212,10.2838461400234,117.763627636546,3.21307642071816e-28,NA
"Size3",812,3.81220657276995,7.36081166787716,54.1815484099566,0,1,3,4,92,9.0725081433498,101.997405699617,1.79210136712514e-27,0
"Ties3",591,2.77464788732394,19.5147722346615,380.826335370715,0,0,0,0,277,13.1898472462959,184.914179771763,2.01419757355309e-30,0
"Pairs3",13770,64.6478873239437,587.625099453136,345303.257507308,0,0,6,12,8372,13.472010100893,189.586113480558,7.09167623529347e-31,0
"Density3",978.635312,5.4068249281768,11.8394750886041,140.173170373676,0,0,0,0,50,2.46149768952031,8.54056320637729,6.32114849809629e-22,NA
