Class,Size,Ties,Pairs,Density,AvgDist,Diameter,nWeakComp,pWeakComp,2StepReach,ReachEffic,Broker,nBroker,EgoBetween,nEgoBetween,Size2,Ties2,Pairs2,Density2,AvgDist2,Diameter2,nWeakComp2,pWeakComp2,2StepReach2,ReachEffic2,Broker2,nBroker2,EgoBetween2,nEgoBetween2,Size3,Ties3,Pairs3,Density3,AvgDist3,Diameter3,nWeakComp3,pWeakComp3,2StepReach3,ReachEffic3,Broker3,nBroker3,EgoBetween3,nEgoBetween3,Degree,NrmDegree,Share,OutDegree,InDegree,NrmOutDeg,NrmInDeg,Clus Coef,nPairs,Eigenvec,nEigenvec,Power,Normalized Power,inFarness,outFarness,inCloseness,outCloseness,OutdwReach,IndwReach,nOutdwReach,nIndwReach,Betweenness,nBetweenness,Betweenness2,EffSize,Efficiency,Constraint,Hierarchy,Indirects,name, version,name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug,bug_2
org\apache\coyote\http11\filters\VoidOutputFilter.java-->VoidOutputFilter,2,1,2,50,,,1,50,6.063947,71.428574,0.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,50,,,1,50,6.063947,71.428574,0.5,0.25,0,0,2,0.220507,0.000417,2,0,0.220507,0,0.5,1,0.016125,2.280486,30.949389,6.261098,823556,803639,0.110132,0.112862,10.499999,1,0.011564,0.001101,0,0,0,1.5,0.75,0.528076,0.000177,0.027661,Tomcat,6.0.389418,org.apache.coyote.http11.filters.VoidOutputFilter,8,1,0,6,14,26,2,0,7,1,39,1,2,0,0.392857143,0,0,3.5,1,0.75,0,0
org\apache\el\parser\AstGreaterThan.java-->AstGreaterThan,3,0,6,0,,,3,100,5.512679,69.444443,3,0.5,2,33.333332,1,0,0,,0,0,1,100,4.410143,100,0,,0,,2,0,2,0,,,2,100,2.75634,78.125,1,0.5,0,0,3,0.330761,0.000626,2,1,0.220507,0.110254,0,3,0.000001,0.000146,5.292361,1.070651,819028,809979,0.110741,0.111978,7.65,3.5,0.008425,0.003855,0.583333,0.000071,0.000998,3,1,0.333333,0,0,Tomcat,6.0.389418,org.apache.el.parser.AstGreaterThan,2,4,0,4,5,1,1,0,2,2,36,0,0,0.975609756,0.666666667,1,1,17,1,0.5,0,0
org\apache\coyote\Request.java-->Request,38,125,1406,8.89047,,,2,5.263158,15.766262,27.447216,640.5,0.455548,183.816666,13.073731,30,46,870,5.287356,,,4,13.333333,13.671444,34.54039,412,0.473563,32.5,3.735632,10,17,90,18.888889,,,2,20,8.710033,38.916256,36.5,0.405556,10.333333,11.481482,38,4.189636,0.00793,10,30,1.102536,3.307607,0.088905,703,0.151458,21.419376,115.392853,23.344112,683215,804521,0.132755,0.112738,16.333332,77.883331,0.017988,0.085775,945.692932,0.115084,1.643241,32.799999,0.863158,0.075569,0.145844,0.503081,Tomcat,6.0.389418,org.apache.coyote.Request,56,1,0,49,89,1310,40,0,56,0.956473829,583,1,24,0,0.1375,0,0,8.821428571,5,1.1964,0,0
javax\el\MethodNotFoundException.java-->MethodNotFoundException,5,4,20,20,,,1,20,3.528115,66.666664,8,0.4,1,5,4,1,12,8.333333,,,3,75,2.75634,80.645164,5.5,0.458333,0,0,1,0,0,,0,0,1,100,1.874311,100,0,,0,,5,0.551268,0.001043,1,4,0.110254,0.441014,0.2,10,0.000005,0.000708,1.000034,0.202308,812682,822649,0.111606,0.110254,2,8.666666,0.002203,0.009545,1,0.000122,0.042365,3.4,0.68,0.304046,0.032031,0.217516,Tomcat,6.0.389418,javax.el.MethodNotFoundException,4,5,1,0,8,6,0,0,4,2,20,0,0,1,0.666666667,0,0,4,0,0,0,0
org\apache\naming\EjbRef.java-->EjbRef,1,0,0,,0,0,1,100,2.75634,100,0,,0,,1,0,0,,0,0,1,100,2.75634,100,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.110254,0.000209,0,1,0,0.110254,,0,0.003868,0.546961,0.000035,0.000007,728676,823556,0.124472,0.110132,1,27.292868,0.001101,0.030058,0,0,0,1,1,1,1,0,Tomcat,6.0.389418,org.apache.naming.EjbRef,3,2,0,3,8,3,3,0,3,1.5,73,0,0,0.9375,0.833333333,0,0,22,3,1,0,0
org\apache\jasper\compiler\Compiler.java-->Compiler,23,58,506,11.462451,,,3,13.043478,6.504961,24.481327,224,0.442688,247.416672,48.896576,14,21,182,11.538462,,,4,28.571428,5.733186,33.766235,80.5,0.442308,133.666672,73.443222,18,34,306,11.111111,,,3,16.666666,5.953693,30.681818,136,0.444444,143.5,46.895424,23,2.535832,0.0048,18,14,1.984565,1.54355,0.114625,253,0.00135,0.190981,-80.729446,-16.331663,793659,721323,0.114281,0.125741,49.560738,22.533333,0.054582,0.024816,1298.448364,0.158012,1.299116,19.375,0.842391,0.094886,0.084268,0.379089,Tomcat,6.0.389418,org.apache.jasper.compiler.Compiler,16,1,2,38,91,58,23,0,13,0.777777778,717,0.888888889,7,0,0.28,0,0,43.25,15,1.9375,1,1
org\apache\el\MethodExpressionLiteral.java-->MethodExpressionLiteral,4,1,12,8.333333,,,3,75,4.189636,70.370369,5.5,0.458333,3,25,1,0,0,,0,0,1,100,1.984565,100,0,,0,,3,1,6,16.666666,,,2,66.666664,3.0871,77.777779,2.5,0.416667,0,0,4,0.441014,0.000835,3,1,0.330761,0.110254,0.083333,6,0.000003,0.000474,7.877919,1.593712,819931,816305,0.110619,0.11111,6.5,3.5,0.007159,0.003855,2.660714,0.000324,0.002936,3.5,0.875,0.269219,0.002299,0.036905,Tomcat,6.0.389418,org.apache.el.MethodExpressionLiteral,10,3,0,3,24,3,1,0,10,0.481481481,114,1,0,0.428571429,0.211111111,1,1,10.1,3,1,0,0
org\apache\naming\ResourceEnvRef.java-->ResourceEnvRef,1,0,0,,0,0,1,100,2.75634,100,0,,0,,1,0,0,,0,0,1,100,2.75634,100,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.110254,0.000209,0,1,0,0.110254,,0,0.003868,0.546961,-0.000073,-0.000015,728676,823556,0.124472,0.110132,1,27.292868,0.001101,0.030058,0,0,0,1,1,1,1,0,Tomcat,6.0.389418,org.apache.naming.ResourceEnvRef,3,2,0,2,7,3,2,0,3,1.5,30,0,0,0.9375,0.833333333,0,0,8.666666667,3,1,0,0
org\apache\catalina\mbeans\StandardServerMBean.java-->StandardServerMBean,3,2,6,33.333332,,,2,66.666664,3.748622,80.952377,2,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,6,33.333332,,,2,66.666664,3.748622,80.952377,2,0.333333,0,0,3,0.330761,0.000626,3,0,0.330761,0,0.333333,3,0.006637,0.938595,324.657074,65.678513,823556,645650,0.110132,0.140479,47.752426,1,0.052591,0.001101,0,0,0.006993,2.333333,0.777778,0.417717,0.011939,0.115741,Tomcat,6.0.389418,org.apache.catalina.mbeans.StandardServerMBean,3,2,0,5,8,3,0,0,2,1,27,1,0,0.976190476,1,0,0,7.666666667,1,0.3333,0,0
org\apache\naming\NamingService.java-->NamingService,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,823556,823556,0.110132,0.110132,1,1,0.001101,0.001101,0,0,0,0,0,0,,0,Tomcat,6.0.389418,org.apache.naming.NamingService,11,2,0,1,25,35,0,0,11,0.65,283,1,0,0.411764706,0.318181818,0,0,24.36363636,2,1.1818,0,0
