"","Sum","Mean","SD","Var","Min","25%","Median","75%","Max","Skewness","Kurtosis","shapiro.p","ks.p"
"Size",3930,5.50420168067227,7.90143411938609,62.4326611429986,0,1,3,7,93,4.45056677384253,34.3320969647268,1.50181855982041e-37,0
"Ties",5511,7.71848739495798,19.3577240660873,374.721481018775,0,0,1,6,223,5.58969015840926,44.6510741305955,7.83085470761131e-43,0
"Pairs",62216,87.1372549019608,424.159124506182,179910.962901851,0,0,6,42,8556,13.4750353008152,238.074369417375,4.49385008163747e-48,0
"Density",12101.961134,19.7744462973856,20.706818620876,428.772337397856,0,0,15.5927405,33.333332,100,1.37456661690418,5.28718267226427,3.08903163612717e-24,NA
"nWeakComp",1306,1.82913165266106,1.98421331280732,3.93710247072181,0,1,1,2,18,3.40859048292441,19.7074615528735,7.89132549929798e-36,0
"pWeakComp",34520.471433,48.3479992058824,36.0996979331021,1303.18819086122,0,16.666666,50,100,100,0.265200913488227,1.68402593233633,6.08227602019992e-23,0
"X2StepReach",4005.953689,5.61057939635854,5.410356575431,29.2719582733095,0,1.323043,4.410143,7.938258,29.106945,1.34974848719759,4.79626701193443,9.65567167972498e-24,3.49720252756924e-14
"ReachEffic",45764.891558,64.3669360872011,30.9054607945497,955.147506923451,0,48.412298,69.811317,88.888885,100,-0.828149627095806,2.76484702410109,2.07389062430259e-22,NA
"Broker",28352.5,39.7093837535014,204.359540529014,41762.8218052298,0,0,2.5,16.875,4166.5,13.8283874009587,248.35130321198,2.8441712323473e-48,0
"nBroker",202.490193,0.330866328431373,0.164457364674339,0.0270462247956285,0,0.25,0.392857,0.452381,0.5,-1.0567559649477,2.86413538822441,8.40807695323257e-26,NA
"EgoBetween",6778.409549,9.49357079691877,55.5682623050164,3087.8317755991,0,0,0,2,843.333313,11.3607479224918,148.340431130873,1.41042752515363e-48,0
"nEgoBetween",4802.321563,7.84693065849673,12.3073282515966,151.470328692547,0,0,0,12.74645425,50,1.82804936396132,5.88838987206861,6.34863181717381e-32,NA
