Class,Size,Ties,Pairs,Density,AvgDist,Diameter,nWeakComp,pWeakComp,2StepReach,ReachEffic,Broker,nBroker,EgoBetween,nEgoBetween,Size2,Ties2,Pairs2,Density2,AvgDist2,Diameter2,nWeakComp2,pWeakComp2,2StepReach2,ReachEffic2,Broker2,nBroker2,EgoBetween2,nEgoBetween2,Size3,Ties3,Pairs3,Density3,AvgDist3,Diameter3,nWeakComp3,pWeakComp3,2StepReach3,ReachEffic3,Broker3,nBroker3,EgoBetween3,nEgoBetween3,Degree,NrmDegree,Share,OutDegree,InDegree,NrmOutDeg,NrmInDeg,Clus Coef,nPairs,Eigenvec,nEigenvec,Power,Normalized Power,inFarness,outFarness,inCloseness,outCloseness,OutdwReach,IndwReach,nOutdwReach,nIndwReach,Betweenness,nBetweenness,Betweenness2,EffSize,Efficiency,Constraint,Hierarchy,Indirects,name, version,name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug,bug_2
apache\xpath\res\XPATHErrorResources_sv.java-->XPATHErrorResources_sv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.000016,0.000009,504810,504810,0.140647,0.140647,1,1,0.001406,0.001406,0,0,0,0,0,0,,0,xalan,2.5.0,org.apache.xpath.res.XPATHErrorResources_sv,3,4,0,1,4,1,0,1,2,1.428571429,1872,0,0,0.976190476,1,0,0,618.3333333,1,0.3333,1,1
apache\xalan\xsltc\compiler\TransletOutput.java-->TransletOutput,7,10,42,23.809525,,,2,28.571428,19.15493,34.517765,16,0.380952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,42,23.809525,,,2,28.571428,19.15493,34.517765,16,0.380952,0,0,7,0.985915,0.001272,7,0,0.985915,0,0.238095,21,0.057295,8.102691,2.749539,1.556136,504810,415003,0.140647,0.171083,41.200035,1,0.057947,0.001406,0,0,0.004058,5.071428,0.72449,0.159552,0.003374,0.055129,xalan,2.5.0,org.apache.xalan.xsltc.compiler.TransletOutput,5,3,0,20,33,0,0,20,4,0.5,176,1,1,0.933333333,0.333333333,2,7,33.8,6,1.8,0,0
apache\xalan\lib\Extensions.java-->Extensions,9,6,72,8.333333,,,3,33.333332,17.464788,76.543213,33,0.458333,7,9.722222,1,0,0,,0,0,1,100,0.422535,100,0,,0,,8,5,56,8.928572,,,3,37.5,17.323944,77.35849,25.5,0.455357,0,0,9,1.267606,0.001636,8,1,1.126761,0.140845,0.083333,36,0.000004,0.000594,10.047175,5.686325,504100,343792,0.140845,0.20652,60.897652,2,0.085651,0.002813,55.883335,0.011101,0.61878,7.888889,0.876543,0.153661,0.034307,0.155408,xalan,2.5.0,org.apache.xalan.lib.Extensions,13,1,0,11,54,76,1,10,9,0.875,371,0.5,1,0,0.208333333,0,0,27.23076923,5,1.9231,1,1
apache\xml\serializer\ToHTMLStream.java-->ToHTMLStream,13,15,156,9.615385,,,4,30.76923,9.295774,55.462185,70.5,0.451923,12,7.692307,1,0,0,,0,0,1,100,1.549296,100,0,,0,,12,15,132,11.363636,,,3,25,8.591549,56.48148,58.5,0.443182,0,0,13,1.830986,0.002363,12,1,1.690141,0.140845,0.096154,78,0.000172,0.024302,16.143312,9.13651,493480,482132,0.143876,0.147263,20.383337,7.250001,0.028669,0.010197,142.371857,0.028283,1.374138,10.692307,0.822485,0.131068,0.081923,0.246449,xalan,2.5.0,org.apache.xml.serializer.ToHTMLStream,28,3,0,12,104,222,1,11,17,0.855967078,2480,0.888888889,5,0.866666667,0.196296296,2,26,87.25,3,1.1429,4,1
apache\xpath\functions\FuncConcat.java-->FuncConcat,5,5,20,25,,,2,40,20,57.48988,7.5,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,20,25,,,2,40,20,57.48988,7.5,0.375,0,0,5,0.704225,0.000909,5,0,0.704225,0,0.25,10,0.000007,0.000969,0.176333,0.099798,504810,348092,0.140647,0.203969,54.008373,1,0.075961,0.001406,0,0,0.012046,3.8,0.76,0.214933,0.001407,0.036078,xalan,2.5.0,org.apache.xpath.functions.FuncConcat,4,7,0,7,13,6,0,7,3,2,81,0,0,0.96,0.5,3,8,19.25,1,0.75,1,1
apache\xpath\patterns\StepPattern.java-->StepPattern,14,41,182,22.527473,,,1,7.142857,27.605635,44.044945,70.5,0.387363,25.75,14.148352,9,14,72,19.444445,,,1,11.111111,7.887324,45.161289,29,0.402778,8.5,11.805555,6,10,30,33.333332,,,2,33.333332,26.197184,55.029587,10,0.333333,4.833333,16.111111,14,1.971831,0.002545,6,9,0.84507,1.267606,0.225275,91,0.000015,0.002103,-6.775617,-3.834745,325717,348612,0.217981,0.203665,64.249222,90.16674,0.090365,0.126817,274.335327,0.054498,0.112842,10.8,0.771429,0.14,0.042578,0.363149,xalan,2.5.0,org.apache.xpath.patterns.StepPattern,31,3,2,22,78,239,11,13,26,0.733333333,1095,0.4,2,0.641975309,0.180107527,2,9,34.16129032,17,3.0645,1,1
apache\xpath\functions\FunctionDef1Arg.java-->FunctionDef1Arg,15,16,210,7.619048,,,5,33.333332,26.478872,51.64835,97,0.461905,44.833332,21.349207,9,0,72,0,,,9,100,1.830986,59.090908,36,0.5,0,0,6,10,30,33.333332,,,1,16.666666,25.915493,53.80117,10,0.333333,0,0,15,2.112676,0.002726,6,9,0.84507,1.267606,0.07619,105,0.000011,0.001599,7.121924,4.030742,498420,347211,0.14245,0.204487,63.299225,10,0.089028,0.014065,621.952393,0.123553,0.70261,13.466666,0.897778,0.105409,0.106405,0.183379,xalan,2.5.0,org.apache.xpath.functions.FunctionDef1Arg,8,4,9,18,21,8,9,9,4,2,110,0,0,0.872727273,0.5,2,5,12.75,2,1.125,1,1
apache\xalan\res\XSLTErrorResources_zh_CN.java-->XSLTErrorResources_zh_CN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.000001,0,504810,504810,0.140647,0.140647,1,1,0.001406,0.001406,0,0,0,0,0,0,,0,xalan,2.5.0,org.apache.xalan.res.XSLTErrorResources_zh_CN,3,4,0,1,4,1,0,1,2,1.423076923,3769,0,0,0.976190476,1,0,0,1251,1,0.3333,0,0
apache\xalan\templates\Stylesheet.java-->Stylesheet,37,104,1332,7.807808,,,1,2.702703,21.97183,30.952381,614,0.460961,293.5,22.034534,27,66,702,9.40171,,,1,3.703704,18.02817,34.688347,318,0.452991,68.583336,9.769706,16,44,240,18.333334,,,3,18.75,18.309858,42.345276,98,0.408333,62.833332,26.180555,37,5.211267,0.006725,16,27,2.253521,3.802817,0.078078,666,0.000028,0.0039,-36.305283,-20.547428,325751,348449,0.217958,0.20376,78.709457,100.966629,0.110702,0.142007,1355.444946,0.269263,1.355281,32.290699,0.872722,0.080403,0.222503,0.438439,xalan,2.5.0,org.apache.xalan.templates.Stylesheet,74,3,2,47,119,2539,37,17,70,0.966051221,1136,0.913043478,4,0.728624535,0.073443008,3,19,14.04054054,16,1.8378,2,1
apache\xalan\xsltc\dom\LoadDocument.java-->LoadDocument,9,11,72,15.277778,,,3,33.333332,7.183099,43.965519,30.5,0.423611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,72,15.277778,,,3,33.333332,7.183099,43.965519,30.5,0.423611,0,0,9,1.267606,0.001636,9,0,1.267606,0,0.152778,36,0.00029,0.041039,-6.797266,-3.846998,504810,431880,0.140647,0.164398,43.199989,1,0.060759,0.001406,0,0,0.13194,7.222222,0.802469,0.154349,0.013046,0.170322,xalan,2.5.0,org.apache.xalan.xsltc.dom.LoadDocument,6,1,0,17,51,15,0,17,3,1.2,368,1,0,0,0.5,0,0,60.16666667,1,0.8333,4,1
