Class,Size,Ties,Pairs,Density,AvgDist,Diameter,nWeakComp,pWeakComp,2StepReach,ReachEffic,Broker,nBroker,EgoBetween,nEgoBetween,Size2,Ties2,Pairs2,Density2,AvgDist2,Diameter2,nWeakComp2,pWeakComp2,2StepReach2,ReachEffic2,Broker2,nBroker2,EgoBetween2,nEgoBetween2,Size3,Ties3,Pairs3,Density3,AvgDist3,Diameter3,nWeakComp3,pWeakComp3,2StepReach3,ReachEffic3,Broker3,nBroker3,EgoBetween3,nEgoBetween3,Degree,NrmDegree,Share,OutDegree,InDegree,NrmOutDeg,NrmInDeg,Clus Coef,nPairs,Eigenvec,nEigenvec,Power,Normalized Power,inFarness,outFarness,inCloseness,outCloseness,OutdwReach,IndwReach,nOutdwReach,nIndwReach,Betweenness,nBetweenness,Betweenness2,EffSize,Efficiency,Constraint,Hierarchy,Indirects,name, version,name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug,bug_2
apache\xalan\xsltc\compiler\FilterExpr.java-->FilterExpr,8,18,56,32.142857,,,1,12.5,17.539585,32.142857,19,0.339286,3.5,6.25,1,0,0,,0,0,1,100,6.942753,100,0,,0,,7,17,42,40.476189,,,1,14.285714,16.443361,34.526855,12.5,0.297619,0,0,8,0.974421,0.001356,7,1,0.852619,0.121803,0.321429,28,0.06231,8.811903,47.817463,21.076069,553089,494323,0.148439,0.166086,57.282978,34.378593,0.069687,0.041823,0.367943,0.000055,0.00227,5.375,0.671875,0.149453,0.001345,0.092683,xalan,2.6.0,org.apache.xalan.xsltc.compiler.FilterExpr,7,3,0,19,35,0,0,19,6,0.083333333,226,1,1,0.922077922,0.306122449,2,9,31,3,1.5714,1,1
apache\xpath\operations\Operation.java-->Operation,4,5,12,41.666668,,,1,25,18.1486,62.605042,3.5,0.291667,2,16.666666,2,0,2,0,,,2,100,5.237515,78.181816,1,0.5,1,50,3,4,6,66.666664,1.333333,2,1,33.333332,15.834349,65,1,0.166667,0.5,8.333333,4,0.487211,0.000678,3,2,0.365408,0.243605,0.416667,6,0.000196,0.027747,-3.686754,-1.624977,464457,484393,0.176766,0.16949,61.055199,84.483398,0.074276,0.102778,7.576388,0.001125,0.002424,2.8,0.7,0.302358,0.13969,0.049184,xalan,2.6.0,org.apache.xpath.operations.Operation,12,2,14,22,23,0,17,7,12,0.363636364,149,1,2,0.731707317,0.21875,1,7,11.25,5,1.5833,1,1
apache\xalan\xsltc\runtime\BasisLibrary.java-->BasisLibrary,24,14,552,2.536232,,,14,58.333332,15.225335,59.808613,269,0.487319,195,35.326088,17,6,272,2.205882,,,12,70.588234,8.64799,65.137611,133,0.488971,32,11.764706,9,4,72,5.555555,,,6,66.666664,9.622412,75.238098,34,0.472222,16,22.222221,24,2.923264,0.004068,9,17,1.096224,2.070646,0.025362,276,0.008662,1.225048,-0.893898,-0.393995,532380,608548,0.154213,0.134911,32.535725,67.783333,0.039581,0.082461,10734.19531,1.594456,5.476636,23.173077,0.965545,0.053532,0.040587,0.100096,xalan,2.6.0,org.apache.xalan.xsltc.runtime.BasisLibrary,69,1,0,36,198,2330,20,18,64,1.005793226,2601,0.303030303,0,0,0.102076125,0,0,36.2173913,49,4.2464,3,1
apache\xpath\objects\XString.java-->XString,26,37,650,5.692307,,,3,11.538462,24.969549,49.516907,306.5,0.471538,108.75,16.73077,22,4,462,0.865801,,,19,86.36364,11.327649,54.385963,229,0.495671,80,17.316017,6,6,30,20,,,2,33.333332,22.533495,69.548874,12,0.4,13,43.333332,26,3.16687,0.004407,6,22,0.730816,2.679659,0.056923,325,0.000581,0.082198,-9.713409,-4.281291,464324,484353,0.176816,0.169504,65.512344,105.366776,0.079699,0.128183,1618.522705,0.240415,0.417437,24.071428,0.925824,0.078,0.158909,0.263927,xalan,2.6.0,org.apache.xpath.objects.XString,49,3,2,42,100,1176,33,12,46,1,740,0,1,0.606837607,0.122222222,3,21,14.08163265,16,1.8571,3,1
apache\xalan\xsltc\runtime\ErrorMessages_cs.java-->ErrorMessages_cs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,-0.000001,0,674862,674862,0.121655,0.121655,1,1,0.001217,0.001217,0,0,0,0,0,0,,0,xalan,2.6.0,org.apache.xalan.xsltc.runtime.ErrorMessages_cs,3,3,0,0,4,1,0,0,2,0.5,234,1,0,0.974358974,1,0,0,76.66666667,1,0.3333,1,1
apache\xml\utils\XMLStringFactoryDefault.java-->XMLStringFactoryDefault,2,0,2,0,,,2,100,2.679659,95.652176,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,,,2,100,2.679659,95.652176,1,0.5,0,0,2,0.243605,0.000339,2,0,0.243605,0,0,1,0.000018,0.002575,0.758839,0.334467,674862,672400,0.121655,0.1221,3.5,1,0.004258,0.001217,0,0,0.014348,2,1,0.5,0,0,xalan,2.6.0,org.apache.xml.utils.XMLStringFactoryDefault,6,2,0,4,10,13,0,4,5,0.8,41,1,1,0.5,0.4,0,0,5.666666667,1,0.6667,0,0
apache\xml\dtm\ref\ChunkedIntArray.java-->ChunkedIntArray,2,0,2,0,,,2,100,4.628502,97.435898,1,0.5,1,50,1,0,0,,0,0,1,100,0.852619,100,0,,0,,1,0,0,,0,0,1,100,3.897686,100,0,,0,,2,0.243605,0.000339,1,1,0.121803,0.121803,0,1,0.000048,0.006724,-1.812422,-0.798845,674041,674041,0.121803,0.121803,2,2,0.002433,0.002433,0.5,0.000074,0.004333,2,1,0.5,0,0,xalan,2.6.0,org.apache.xml.dtm.ref.ChunkedIntArray,9,1,0,3,24,0,2,2,0,0.892857143,353,0,1,0,0.62962963,0,0,37.44444444,3,1.4444,0,0
apache\xalan\transformer\XalanProperties.java-->XalanProperties,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,674862,674862,0.121655,0.121655,1,1,0.001217,0.001217,0,0,0,0,0,0,,0,xalan,2.6.0,org.apache.xalan.transformer.XalanProperties,1,1,0,0,2,0,0,0,1,2,5,0,0,0,1,0,0,3,0,0,0,0
apache\xml\utils\ElemDesc.java-->ElemDesc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,674862,674862,0.121655,0.121655,1,1,0.001217,0.001217,0,0,0,0,0,0,,0,xalan,2.6.0,org.apache.xml.utils.ElemDesc,4,1,0,0,10,0,0,0,0,1.266666667,90,0,0,0,0.833333333,0,0,15.25,4,2,0,0
apache\xpath\objects\XMLStringFactoryImpl.java-->XMLStringFactoryImpl,6,9,30,30,,,1,16.666666,22.168087,66.666664,10.5,0.35,12,40,4,5,12,41.666668,,,1,25,21.071863,68.379448,3.5,0.291667,6,50,4,4,12,33.333332,,,1,25,4.750305,73.584908,4,0.333333,4,33.333332,6,0.730816,0.001017,4,4,0.487211,0.487211,0.3,15,0.000277,0.03921,-6.195006,-2.730517,464225,484577,0.176854,0.169426,52.083782,114.500061,0.063362,0.139294,689.283508,0.102386,0.019583,3.9375,0.65625,0.269969,0.128843,0.19989,xalan,2.6.0,org.apache.xpath.objects.XMLStringFactoryImpl,7,2,0,8,11,19,4,6,6,0.833333333,39,1,1,0.444444444,0.333333333,0,0,4.428571429,1,0.7143,1,1
