"","Sum","Mean","SD","Var","Min","25%","Median","75%","Max","Skewness","Kurtosis","shapiro.p","ks.p"
"Size",5468,8.76282051282051,13.0202273452435,169.526320121826,0,2,5,10,109,4.30755328287013,25.7152145086599,3.76373024172965e-37,0
"Ties",14260,22.8525641025641,54.1714541623474,2934.5464460633,0,1,7,20,492,5.28476281568816,36.3195819099926,1.1334375507978e-40,0
"Pairs",148062,237.278846153846,1034.14277857846,1069451.28648599,0,2,20,90,11772,7.39007551320293,63.2904044021512,6.21427611330031e-45,0
"Density",15035.788283,25.9685462573402,20.4507536092792,418.233323187448,0,9.370032,25,37.5,100,0.988649008348743,4.65724468112913,2.95106263698673e-17,NA
"nWeakComp",924,1.48076923076923,1.33466513722433,1.78133102852204,0,1,1,2,15,3.62303459983642,25.4030724778232,7.5773304120199e-35,0
"pWeakComp",19973.940544,32.0095201025641,31.0347821939503,963.157705825934,0,9.77272725,20,50,100,1.18878215627432,3.24314722000792,3.37835998162975e-26,0
"X2StepReach",10600.147019,16.9874150945513,11.5137372123302,132.566144594596,0,6.470588,18.6029405,23.4191175,53.088234,0.247104793050961,2.5391864234847,4.29954833283082e-12,0.00118814187854477
"ReachEffic",33985.384282,54.6388814823151,27.169104885721,738.160260291308,0,37.4848785,55.329948,72.189922,100,-0.226220385753102,2.54696002232824,4.83935770050492e-11,NA
"Broker",66901,107.213141025641,492.578239545991,242633.322074227,0,1,8,33.5,5651,7.50502266141401,65.1531375444163,4.0338228285914e-45,0
"nBroker",187.821062,0.324388708117444,0.139195290112282,0.0193753287894423,0,0.25,0.351648,0.416667,0.5,-1.16937210662551,3.67938432520736,1.83669561438761e-22,NA
"EgoBetween",21154.177198,33.9009249967949,205.318832468252,42155.8229661262,0,0,0.5,5,3217.182617,10.745399479434,136.807941162475,3.23448959785753e-46,0
"nEgoBetween",4626.360351,7.99025967357513,11.8557368143417,140.558495410937,0,0,3.333333,11.6369045,80.514709,2.21470848597769,8.78177888465458,2.01797672362055e-30,NA
"Size2",2728,4.37179487179487,11.6315660336195,135.293328394452,0,0,1,3,102,5.19628153127359,33.3494913256637,1.17519050636232e-41,0
"Ties2",5307,8.50480769230769,37.1403132202002,1379.40286609458,0,0,0,1,393,6.70807299484061,53.4747193410642,1.44666059244637e-44,0
"Pairs2",93486,149.817307692308,851.961851885129,725838.997067539,0,0,0,6,10302,7.91334721470306,72.414710636663,8.05326840980795e-46,0
"Density2",5829.65428,13.0126211607143,21.5478622273896,464.310366570561,0,0,0,16.666666,100,2.03701842360503,7.23244740442385,5.87357757180618e-29,NA
"nWeakComp2",759,1.21634615384615,1.92299311460792,3.69790251882949,0,0,1,1,24,6.36408456834561,61.5971341475619,8.06857856014866e-39,0
"pWeakComp2",29722.056862,47.6315013814103,43.8532469069624,1923.10726428301,0,0,40,100,100,0.150077482287585,1.25759886792005,1.39563335852061e-28,0
"X2StepReach2",3374.411766,5.40771116346154,7.21628673849889,52.0747942922349,0,0,2.352941,8.382353,52.794117,2.04581375472215,8.66634122486996,2.56520314714151e-29,0
"ReachEffic2",33480.448227,53.7406873627608,41.7585865525981,1743.77955087083,0,0,62.5,100,100,-0.232443368370802,1.37949281632129,1.18925950736096e-26,NA
"Broker2",44089.5,70.65625,408.670013336385,167011.179800361,0,0,0,2.5,4954.5,7.98866997786585,73.7619179229871,6.99771820044291e-46,0
"nBroker2",96.351729,0.215070823660714,0.211336581932157,0.0446631508627675,0,0,0.25,0.43928575,0.5,0.125706408253296,1.2467495178042,1.96642211943264e-24,NA
"EgoBetween2",9292.825177,14.8923480400641,112.007507491972,12545.6817345641,0,0,0,0,1823.106934,10.970049565471,143.507832014049,9.11145785730032e-47,0
"nEgoBetween2",2090.448891,4.66618056026786,12.37393212907,153.114196334831,0,0,0,0,85,3.18154256286276,13.7601368000215,5.33294108733196e-35,NA
"Size3",3035,4.86378205128205,5.19621752083674,27.0006765238507,0,1,3,7,50,2.30139697895454,13.7294504082824,1.3700702559286e-26,3.66373598126302e-15
"Ties3",5840,9.35897435897436,15.7384108420262,247.697575832407,0,0,3,10.25,146,3.19912232696303,18.4502291364282,1.94832782913613e-34,0
"Pairs3",28548,45.75,130.205868601605,16953.5682182986,0,0,6,42,2450,11.3563313764761,191.949346164086,7.7083573751088e-43,0
"Density3",14464.285101,26.2034150380435,24.287522530666,589.883750677608,0,0,25,40,100,1.00680674537366,4.08362307808049,3.24341770917603e-20,NA
"nWeakComp3",790,1.26602564102564,1.1910849577375,1.41868337654855,0,1,1,2,10,2.68173980141607,14.2984029425936,6.13846881950903e-32,0
"pWeakComp3",22045.964794,35.3300717852564,34.1214313358715,1164.27207640859,0,9.090909,25,50,100,0.919773277593668,2.5304458540637,2.61273417717652e-25,0
"X2StepReach3",9249.117623,14.8223038830128,11.7425951525425,137.888540916514,0,1.87500025,16.17647,21.911764,50.14706,0.276352441790877,2.19016357444282,9.72730045188024e-17,2.23222998974038e-08
"ReachEffic3",32472.437936,52.4595120129241,32.1312731158173,1032.41871204324,0,34.4688035,55.497383,75.2967455,100,-0.267050163987347,2.11340333330242,3.77598545269615e-17,NA
"Broker3",11354,18.1955128205128,59.4403291092521,3533.15272461621,0,0,2.5,15.625,1152,12.3921040541346,218.127167939073,8.8306521033233e-44,0
"nBroker3",146.678576,0.265722057971015,0.169357880859916,0.0286820918093614,0,0.083333,0.316667,0.39464275,0.5,-0.550611995603364,1.95819125049028,1.25384959455236e-21,NA
"EgoBetween3",3289.348161,5.27139128365385,42.7413392543838,1826.82208125833,0,0,0,0,957.216675,18.5223759654693,399.250292985795,3.98752758428125e-47,0
"nEgoBetween3",1759.730494,3.1879175615942,9.62378650355594,92.6172666660254,0,0,0,0,81.060608,4.03159434157987,21.6692056876248,1.7891400894086e-39,NA
"Degree",5468,8.76282051282051,13.0202273452435,169.526320121826,0,2,5,10,109,4.30755328287013,25.7152145086599,3.76373024172965e-37,0
"OutDegree",3035,4.86378205128205,5.19621752083674,27.0006765238507,0,1,3,7,50,2.30139697895454,13.7294504082824,1.3700702559286e-26,3.21964677141295e-15
"InDegree",2728,4.37179487179487,11.6315660336195,135.293328394452,0,0,1,3,102,5.19628153127359,33.3494913256637,1.17519050636232e-41,0
"Clus.Coef",150.357895,0.285851511406844,0.196345734781149,0.0385516475667494,0,0.15120925,0.266667,0.4,1,1.06125059444212,5.05284083963907,1.33167356573315e-15,NA
"Eigenvec",15.176673,0.0243215913461538,0.0298464269852555,0.000890809203786185,0,0.004247,0.017223,0.0324745,0.250048,3.0513599891476,17.2403678399804,5.66947031620015e-31,0
"Power",-39466.218791,-63.2471454983974,891.526109077845,794818.803167481,-7578.634277,-5.77696775,0.0703175,17.96548675,4420.610352,-3.38977678557576,24.0409845751059,7.01921538927723e-40,0
"inCloseness",114.676253,0.183776046474359,0.0399773127414981,0.00159818553403154,0.146843,0.146843,0.185937,0.23791825,0.255926,0.455990918432878,1.4749466319496,1.23353159400422e-29,0
"outCloseness",117.681042,0.188591413461538,0.0339155997046309,0.00115026790332476,0.146843,0.147492,0.183002,0.2248265,0.229278,-0.080117308799191,1.302874304708,3.29284736995601e-28,0
"OutdwReach",26262.287144,42.0869986282051,31.7122657057904,1005.66779619465,1,3.12500025,48.5666735,67.11589475,122.116753,-0.0321940396982139,1.68141643929219,8.44599945576884e-20,2.77555756156289e-15
"IndwReach",22265.408968,35.6817451410256,37.7238823354119,1423.091298456,1,1,31.673013,66.42386025,187,0.796252401591675,2.8490398665013,2.66453261128431e-24,0
"Betweenness",228928.990336,366.873381948718,1579.52198846166,2494889.71203387,0,0,0.266147,51.08373075,20629.6582,8.24330964386183,86.807481239876,1.43538174101714e-44,0
"Betweenness2",169.71345,0.271976682692308,1.19495100063354,1.42790789391511,0,4.725e-05,0.0073215,0.0997905,22.308168,12.0386245037878,196.964165862014,4.9032827641539e-45,0
"EffSize",4218.184544,6.75991112820513,11.8752142238008,141.02071286116,0,1.833333,3.4270835,6.83749975,102.703537,4.74654209289277,29.6317888834813,4.12318386266851e-39,0
"Efficiency",416.079708,0.666794403846154,0.256933549643879,0.0660148489326039,0,0.569444,0.681994,0.839028,1,-1.1587989329067,4.36744883453163,2.22611532751387e-22,1.53053403284531e-09
"Constraint",175.080199,0.280577241987179,0.251919847021462,0.0634636093233169,0,0.124817,0.200106,0.353834,1,1.61382866530077,5.21713747548115,2.49765043791871e-26,1.65090163761761e-13
"Hierarchy",63.608535,0.111398485113835,0.266038454245604,0.0707764591373906,0,0.0019895,0.010163,0.0710305,1,2.91068483419491,9.86775677157514,8.04552917288352e-39,NA
"Indirects",87.914181,0.140888110576923,0.145624457267018,0.0212064825543136,0,0.025435,0.102057,0.21821,0.716667,1.36132371538253,4.69005131041858,2.49044259836376e-23,1.77635683940025e-15
"wmc",7564,12.1217948717949,16.7403331435073,280.238753755608,1,3,6,13,123,3.42558605665594,17.5360321808213,1.85791869686834e-35,0
"dit",1710,2.74038461538462,1.5318671176965,2.34661686627979,1,1,3,4,8,0.511035358100093,2.61639950553085,1.31818670111905e-20,9.48130463029884e-14
"noc",424,0.67948717948718,2.78089602864738,7.73338272214677,0,0,0,0,29,6.91871539650559,58.6582759261435,3.6048544761001e-44,0
