Class,Size,Ties,Pairs,Density,AvgDist,Diameter,nWeakComp,pWeakComp,2StepReach,ReachEffic,Broker,nBroker,EgoBetween,nEgoBetween,Size2,Ties2,Pairs2,Density2,AvgDist2,Diameter2,nWeakComp2,pWeakComp2,2StepReach2,ReachEffic2,Broker2,nBroker2,EgoBetween2,nEgoBetween2,Size3,Ties3,Pairs3,Density3,AvgDist3,Diameter3,nWeakComp3,pWeakComp3,2StepReach3,ReachEffic3,Broker3,nBroker3,EgoBetween3,nEgoBetween3,Degree,NrmDegree,Share,OutDegree,InDegree,NrmOutDeg,NrmInDeg,Clus Coef,nPairs,Eigenvec,nEigenvec,Power,Normalized Power,inFarness,outFarness,inCloseness,outCloseness,OutdwReach,IndwReach,nOutdwReach,nIndwReach,Betweenness,nBetweenness,Betweenness2,EffSize,Efficiency,Constraint,Hierarchy,Indirects,name, version,name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug,bug_2
org\xml\sax\SAXException.java-->SAXException,15,25,210,11.904762,,,4,26.666666,26.551723,47.239265,92.5,0.440476,0,0,15,25,210,11.904762,,,4,26.666666,26.551723,47.239265,92.5,0.440476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5.172414,0.008741,0,15,0,5.172414,0.119048,105,0.016666,2.356881,0.000121,0.000008,73409,84390,0.395047,0.343643,1,25.449999,0.003436,0.087457,0,0,11.493504,12.166666,0.811111,0.121329,0.026524,0.324455,xerces,1.2.0,org.xml.sax.SAXException,6,3,3,0,10,0,0,0,6,0,54,1,0,0.85,0.555555556,1,2,7.833333333,3,1,0,0
org\apache\xerces\parsers\DOMParser.java-->DOMParser,24,58,552,10.507246,,,1,4.166667,42.068966,34.757835,247,0.447464,63.5,11.503623,4,1,12,8.333333,,,3,75,12.413794,64.285713,5.5,0.458333,0,0,20,34,380,8.947369,,,1,5,38.965519,38.305084,173,0.455263,0,0,24,8.275862,0.013986,20,4,6.896552,1.37931,0.105072,276,0.062569,8.848581,1059.268066,71.662201,82364,46057,0.352096,0.629655,62.016647,6.333333,0.213116,0.021764,336.742859,0.401793,20.093864,20.1875,0.841146,0.083185,0.033893,0.376459,xerces,1.2.0,org.apache.xerces.parsers.DOMParser,63,2,3,27,225,793,7,20,42,0.872080089,5680,0.896551724,6,0.678947368,0.152073733,2,11,88.6984127,6,1.6984,0,0
org\apache\xerces\dom\RangeExceptionImpl.java-->RangeExceptionImpl,2,0,2,0,,,2,100,1.37931,100,1,0.5,1,50,1,0,0,,0,0,1,100,1.034483,100,0,,0,,1,0,0,,0,0,1,100,0.344828,,0,,0,,2,0.689655,0.001166,1,1,0.344828,0.344828,0,1,0.000517,0.073076,1.000048,0.067656,84100,84100,0.344828,0.344828,2,2,0.006873,0.006873,1,0.001193,0.649087,2,1,0.5,0,0,xerces,1.2.0,org.apache.xerces.dom.RangeExceptionImpl,1,5,0,1,2,0,1,0,1,2,6,0,0,1,1,0,0,5,0,0,1,1
org\apache\html\dom\HTMLIFrameElementImpl.java-->HTMLIFrameElementImpl,3,3,6,50,,,1,33.333332,36.896553,50.710899,1.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,50,,,1,33.333332,36.896553,50.710899,1.5,0.25,0,0,3,1.034483,0.001748,3,0,1.034483,0,0.5,3,0.073392,10.379174,231.608673,15.668921,84390,68859,0.343643,0.42115,20.566666,1,0.070676,0.003436,0,0,0.003463,2,0.666667,0.354794,0.000171,0.031641,xerces,1.2.0,org.apache.html.dom.HTMLIFrameElementImpl,21,4,0,2,25,210,0,2,21,2,120,0,0,0.824561404,0.523809524,0,0,4.714285714,1,0.9524,0,0
org\apache\xerces\dom\ChildAndParentNode.java-->ChildAndParentNode,22,54,462,11.688312,,,2,9.090909,49.655174,46.153847,204,0.441558,105.666664,22.871572,16,19,240,7.916667,,,3,18.75,43.793102,61.352657,110.5,0.460417,0,0,6,9,30,30,,,1,16.666666,18.275862,50.476189,10.5,0.35,0,0,22,7.586207,0.012821,6,16,2.068965,5.517241,0.116883,231,0.139127,19.675558,591.083557,39.988319,43418,71691,0.667926,0.404514,22.416664,71.254753,0.077033,0.244862,2250.090576,2.684752,4.837009,19,0.863636,0.104035,0.093439,0.417008,xerces,1.2.0,org.apache.xerces.dom.ChildAndParentNode,25,3,3,13,67,34,3,11,14,0.638888889,1120,0.833333333,3,0.684931507,0.205,2,22,43.56,11,2.28,2,1
org\apache\html\dom\HTMLTitleElementImpl.java-->HTMLTitleElementImpl,3,2,6,33.333332,,,2,66.666664,25.172413,53.676472,2,0.333333,2,33.333332,1,0,0,,0,0,1,100,20.344828,100,0,,0,,3,2,6,33.333332,,,2,66.666664,25.172413,53.676472,2,0.333333,2,33.333332,3,1.034483,0.001748,3,1,1.034483,0.344828,0.333333,3,0.051615,7.299419,303.534332,20.534876,68494,69122,0.423395,0.419548,21.616671,29,0.074284,0.099656,4,0.004773,0.009662,2.25,0.75,0.392065,0.203329,0.024554,xerces,1.2.0,org.apache.html.dom.HTMLTitleElementImpl,3,4,0,2,14,3,1,2,3,2,60,0,0,0.979166667,0.666666667,0,0,19,3,1.6667,0,0
org\apache\wml\dom\WMLSmallElementImpl.java-->WMLSmallElementImpl,3,3,6,50,,,1,33.333332,34.137932,57.894737,1.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,50,,,1,33.333332,34.137932,57.894737,1.5,0.25,0,0,3,1.034483,0.001748,3,0,1.034483,0,0.5,3,0.050277,7.110226,95.966293,6.492366,84390,70883,0.343643,0.409125,16.899998,1,0.058076,0.003436,0,0,0.008155,2,0.666667,0.36564,0.00039,0.047227,xerces,1.2.0,org.apache.wml.dom.WMLSmallElementImpl,7,4,0,3,10,21,0,3,7,2,39,0,0,0.931818182,0.571428571,1,6,4.571428571,1,0.8571,0,0
org\apache\html\dom\HTMLButtonElementImpl.java-->HTMLButtonElementImpl,3,3,6,50,,,1,33.333332,36.896553,50.710899,1.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,50,,,1,33.333332,36.896553,50.710899,1.5,0.25,0,0,3,1.034483,0.001748,3,0,1.034483,0,0.5,3,0.073392,10.379175,231.608673,15.668921,84390,68859,0.343643,0.42115,20.566666,1,0.070676,0.003436,0,0,0.003463,2,0.666667,0.354794,0.000171,0.031641,xerces,1.2.0,org.apache.html.dom.HTMLButtonElementImpl,12,4,0,3,22,66,0,3,12,2,97,0,0,0.895238095,0.316666667,1,1,7.083333333,3,1.25,0,0
org\apache\xerces\utils\regex\REUtil.java-->REUtil,5,5,20,25,,,1,20,6.206897,54.545456,7.5,0.375,10.5,52.5,4,4,12,33.333332,,,1,25,6.206897,58.064518,4,0.333333,8,66.666664,3,1,6,16.666666,,,2,66.666664,6.206897,85.714287,2.5,0.416667,3,50,5,1.724138,0.002914,3,4,1.034483,1.37931,0.25,10,0.00004,0.005601,7.541599,0.510208,74331,81786,0.390147,0.354584,7,14.884523,0.024055,0.05115,51.5,0.061449,0.324305,3.642857,0.728571,0.395607,0.140761,0.326531,xerces,1.2.0,org.apache.xerces.utils.regex.REUtil,17,1,0,8,54,134,7,3,5,0.9375,867,0,1,0,0.2125,0,0,49.88235294,19,4.7059,0,0
org\apache\xerces\dom\ParentNode.java-->ParentNode,15,29,210,13.809524,,,2,13.333333,39.310345,52.293579,90.5,0.430952,60.666668,28.888889,11,12,110,10.909091,,,4,36.363636,35.517242,72.53521,49,0.445455,36.5,33.18182,6,9,30,30,,,1,16.666666,18.275862,50.476189,10.5,0.35,5.5,18.333334,15,5.172414,0.008741,6,11,2.068965,3.793103,0.138095,105,0.071666,10.135033,591.084167,39.988361,43403,71692,0.668157,0.404508,22.249996,67.666641,0.07646,0.232531,1483.590454,1.770183,2.897264,12.323529,0.821569,0.145659,0.143944,0.34363,xerces,1.2.0,org.apache.xerces.dom.ParentNode,25,2,5,14,68,34,5,11,14,0.638888889,1120,0.833333333,3,0.656716418,0.205,1,17,43.56,11,2.28,2,1
javax\xml\parsers\DocumentBuilderFactory.java-->DocumentBuilderFactory,3,0,6,0,,,3,100,2.068965,85.714287,3,0.5,2,33.333332,1,0,0,,0,0,1,100,0.689655,100,0,,0,,2,0,2,0,,,2,100,1.724138,100,1,0.5,0,0,3,1.034483,0.001748,2,1,0.689655,0.344828,0,3,0.000077,0.01089,2.240004,0.151542,84100,83521,0.344828,0.347218,3.5,2,0.012027,0.006873,1.833333,0.002187,0.487858,3,1,0.333333,0,0,xerces,1.2.0,javax.xml.parsers.DocumentBuilderFactory,8,1,1,0,16,14,0,0,6,0.785714286,117,1,0,0,0.571428571,0,0,13.125,1,0.75,1,1
org\apache\xerces\utils\regex\RangeToken.java-->RangeToken,5,8,20,40,,,1,20,6.206897,50,6,0.3,0,0,5,8,20,40,,,1,20,6.206897,50,6,0.3,0,0,1,0,0,,0,0,1,100,2.068965,100,0,,0,,5,1.724138,0.002914,1,5,0.344828,1.724138,0.4,10,0.000042,0.005956,2.031408,0.13743,74331,81799,0.390147,0.354528,4.5,15.217857,0.015464,0.052295,0,0,0.002068,2.416667,0.483333,0.51723,0.097642,0.546958,xerces,1.2.0,org.apache.xerces.utils.regex.RangeToken,18,2,0,6,35,0,6,1,1,0.680672269,2128,0.142857143,1,0.734375,0.361111111,1,7,116.8333333,17,8,0,0
