Class,Size,Ties,Pairs,Density,AvgDist,Diameter,nWeakComp,pWeakComp,2StepReach,ReachEffic,Broker,nBroker,EgoBetween,nEgoBetween,Size2,Ties2,Pairs2,Density2,AvgDist2,Diameter2,nWeakComp2,pWeakComp2,2StepReach2,ReachEffic2,Broker2,nBroker2,EgoBetween2,nEgoBetween2,Size3,Ties3,Pairs3,Density3,AvgDist3,Diameter3,nWeakComp3,pWeakComp3,2StepReach3,ReachEffic3,Broker3,nBroker3,EgoBetween3,nEgoBetween3,Degree,NrmDegree,Share,OutDegree,InDegree,NrmOutDeg,NrmInDeg,Clus Coef,nPairs,Eigenvec,nEigenvec,Power,Normalized Power,inFarness,outFarness,inCloseness,outCloseness,OutdwReach,IndwReach,nOutdwReach,nIndwReach,Betweenness,nBetweenness,Betweenness2,EffSize,Efficiency,Constraint,Hierarchy,Indirects,name, version,name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug,bug_2
org\apache\html\dom\HTMLOptGroupElementImpl.java-->HTMLOptGroupElementImpl,3,3,6,50,,,1,33.333332,33.438484,50.236965,1.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,50,,,1,33.333332,33.438484,50.236965,1.5,0.25,0,0,3,0.946372,0.001548,3,0,0.946372,0,0.5,3,0.072403,10.239285,156.82373,2.10032,100806,84130,0.314465,0.376798,20.233332,1,0.063627,0.003145,0,0,0.002841,2,0.666667,0.354794,0.000171,0.031641,xerces,1.4.4,org.apache.html.dom.HTMLOptGroupElementImpl,5,4,0,2,11,10,0,2,5,2,30,0,0,0.959183673,0.45,0,0,5,1,0.8,2,1
org\apache\html\dom\HTMLModElementImpl.java-->HTMLModElementImpl,3,3,6,50,,,1,33.333332,33.438484,50.236965,1.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,50,,,1,33.333332,33.438484,50.236965,1.5,0.25,0,0,3,0.946372,0.001548,3,0,0.946372,0,0.5,3,0.072403,10.239285,156.823746,2.10032,100806,84130,0.314465,0.376798,20.233332,1,0.063627,0.003145,0,0,0.002841,2,0.666667,0.354794,0.000171,0.031641,xerces,1.4.4,org.apache.html.dom.HTMLModElementImpl,5,4,0,2,8,10,0,2,5,2,28,0,0,0.959183673,0.6,0,0,4.6,1,0.8,2,1
org\apache\wml\dom\WMLTrElementImpl.java-->WMLTrElementImpl,3,3,6,50,,,1,33.333332,31.230284,57.894737,1.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,50,,,1,33.333332,31.230284,57.894737,1.5,0.25,0,0,3,0.946372,0.001548,3,0,0.946372,0,0.5,3,0.048894,6.914664,13.813942,0.185008,100806,86342,0.314465,0.367145,16.73333,1,0.052621,0.003145,0,0,0.007178,2,0.666667,0.36564,0.00039,0.047227,xerces,1.4.4,org.apache.wml.dom.WMLTrElementImpl,5,4,0,3,8,10,0,3,5,2,28,0,0,0.953488372,0.6,1,4,4.6,1,0.8,2,1
org\apache\html\dom\HTMLHtmlElementImpl.java-->HTMLHtmlElementImpl,3,3,6,50,,,1,33.333332,33.438484,50.236965,1.5,0.25,0.5,8.333333,1,0,0,,0,0,1,100,18.611988,100,0,,0,,3,3,6,50,,,1,33.333332,33.438484,50.236965,1.5,0.25,0.5,8.333333,3,0.946372,0.001548,3,1,0.946372,0.315457,0.5,3,0.072403,10.239285,156.823547,2.100317,83425,84446,0.379982,0.375388,19.733332,29,0.062055,0.091195,2,0.001997,0.002841,2,0.666667,0.395665,0.195829,0.031543,xerces,1.4.4,org.apache.html.dom.HTMLHtmlElementImpl,3,4,0,2,7,3,1,2,3,2,19,0,0,0.979166667,0.666666667,0,0,5.333333333,1,0.6667,2,1
org\apache\xerces\dom\EntityImpl.java-->EntityImpl,4,4,12,33.333332,,,1,25,20.504732,65,4,0.333333,1,8.333333,2,0,2,0,,,2,100,7.570978,88.888885,1,0.5,0,0,2,1,2,50,,,1,50,16.088327,69.863014,0.5,0.25,0,0,4,1.26183,0.002064,2,2,0.630915,0.630915,0.333333,6,0.030198,4.270694,-1.55722,-0.020856,56914,87268,0.556981,0.363249,16.48333,35.150047,0.051834,0.110535,1.9,0.001897,0.083936,2.875,0.71875,0.320179,0.009653,0.127896,xerces,1.4.4,org.apache.xerces.dom.EntityImpl,14,4,1,4,19,79,3,2,14,0.945054945,133,0.857142857,0,0.858695652,0.392857143,2,6,8,2,1.7143,7,1
org\w3c\dom\events\EventException.java-->EventException,1,0,0,,0,0,1,100,14.195583,100,0,,0,,1,0,0,,0,0,1,100,14.195583,100,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.315457,0.000516,0,1,0,0.315457,,0,0.012782,1.807709,-0.000369,-0.000005,56354,100806,0.562515,0.314465,1,54.949947,0.003145,0.172799,0,0,0,1,1,1,1,0,xerces,1.4.4,org.w3c.dom.events.EventException,1,4,0,0,2,0,0,0,1,2,10,0,0,1,1,0,0,7,0,0,0,0
org\apache\xerces\dom\DeferredEntityReferenceImpl.java-->DeferredEntityReferenceImpl,4,6,12,50,,,1,25,16.719242,55.789474,3,0.25,2,16.666666,1,0,0,,0,0,1,100,5.993691,100,0,,0,,4,6,12,50,,,1,25,16.719242,55.789474,3,0.25,2,16.666666,4,1.26183,0.002064,4,1,1.26183,0.315457,0.5,6,0.030385,4.297156,-21.183693,-0.28371,56793,87235,0.558167,0.363386,21.25,42.333332,0.066824,0.133124,139,0.138761,0.006002,2.3,0.575,0.388087,0.083073,0.210049,xerces,1.4.4,org.apache.xerces.dom.DeferredEntityReferenceImpl,5,3,0,5,13,0,1,5,1,0.75,59,0.5,0,0.921568627,0.466666667,2,6,10.4,1,0.8,2,1
org\apache\xerces\dom\AttrImpl.java-->AttrImpl,13,30,156,19.23077,,,1,7.692307,22.08202,39.772728,63,0.403846,47.5,30.448717,8,8,56,14.285714,,,1,12.5,20.504732,54.621849,24,0.428571,1,1.785714,6,8,30,26.666666,,,1,16.666666,16.719242,51.960785,11,0.366667,6,20,13,4.100946,0.006708,6,8,1.892744,2.523659,0.192308,78,0.057243,8.09537,-8.264351,-0.110683,56649,87231,0.559586,0.363403,22.5,59.999935,0.070755,0.188679,756.299988,0.755001,1.167099,9.535714,0.733516,0.173071,0.127069,0.396333,xerces,1.4.4,org.apache.xerces.dom.AttrImpl,38,2,2,13,98,421,10,4,24,0.817567568,1100,0.75,1,0.556962025,0.174174174,1,17,27.84210526,11,2.6053,16,1
org\apache\wml\dom\WMLNoopElementImpl.java-->WMLNoopElementImpl,3,3,6,50,,,1,33.333332,31.230284,57.894737,1.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,50,,,1,33.333332,31.230284,57.894737,1.5,0.25,0,0,3,0.946372,0.001548,3,0,0.946372,0,0.5,3,0.048894,6.914664,13.813946,0.185008,100806,86342,0.314465,0.367145,16.73333,1,0.052621,0.003145,0,0,0.007178,2,0.666667,0.36564,0.00039,0.047227,xerces,1.4.4,org.apache.wml.dom.WMLNoopElementImpl,5,4,0,3,8,10,0,3,5,2,28,0,0,0.953488372,0.6,1,4,4.6,1,0.8,2,1
org\apache\wml\dom\WMLOptionElementImpl.java-->WMLOptionElementImpl,3,3,6,50,,,1,33.333332,31.230284,57.894737,1.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,50,,,1,33.333332,31.230284,57.894737,1.5,0.25,0,0,3,0.946372,0.001548,3,0,0.946372,0,0.5,3,0.048894,6.914664,13.813941,0.185008,100806,86342,0.314465,0.367145,16.73333,1,0.052621,0.003145,0,0,0.007178,2,0.666667,0.36564,0.00039,0.047227,xerces,1.4.4,org.apache.wml.dom.WMLOptionElementImpl,13,4,0,3,16,78,0,3,13,2,72,0,0,0.872340426,0.538461538,1,7,4.538461538,1,0.9231,2,1
