"","Sum","Mean","SD","Var","Min","25%","Median","75%","Max","Skewness","Kurtosis","shapiro.p","ks.p"
"Size",604,5.25217391304348,5.55805639110309,30.8919908466819,0,2,4,6,35,2.81289354641889,12.330938587774,2.30412730396619e-14,2.31090883617835e-06
"Ties",855,7.43478260869565,13.2188929352946,174.739130434783,0,0,3,8,82,3.18740957560906,14.6023799477579,1.99238438324133e-16,2.19296513170875e-08
"Pairs",6090,52.9565217391304,150.500765942234,22650.4805491991,0,2,12,30,1190,5.12395775707042,33.5267626777385,3.2040159021132e-20,2.90878432451791e-14
"Density",2380.821551,21.6438322818182,19.3537922900186,374.569276005185,0,0,20,33.333332,83.333336,0.721032206103939,3.06102769098909,1.17840939694235e-06,NA
"nWeakComp",192,1.6695652173913,1.16770684805309,1.36353928299008,0,1,1,2,6,1.32934320875384,5.13221220490066,3.2546090694754e-10,0.00054614061932079
"pWeakComp",5082.927848,44.1993725913043,34.8415122654203,1213.93097694143,0,16.666666,33.333332,66.666664,100,0.566323067873236,1.89370102287198,5.58814381431597e-09,0.00261989973957288
"X2StepReach",3071.92979,26.7124329565217,17.1379806409174,293.710380448459,0,13.5964915,27.192982,35.964912,75.438599,0.356907809248623,2.95101504080019,0.0026638994889448,0.366228308246659
"ReachEffic",6415.162936,55.7840255304348,25.5610444282443,653.366992262678,0,42.1369685,57.142857,71.428574,100,-0.430689698639706,2.98170881738746,0.000608097167630642,0.583165417023588
"Broker",2617.5,22.7608695652174,69.5903220933902,4842.81292906179,0,1,4,10,564,5.3573846111839,36.5029017881708,1.55991316815107e-20,2.77555756156289e-15
"nBroker",38.095892,0.346326290909091,0.142430960976164,0.0202865786445935,0,0.316667,0.375,0.44843075,0.5,-1.18992411313551,3.76841388137006,3.75959919489795e-09,NA
"EgoBetween",873.416666,7.59492753043478,32.0358411577122,1026.29511868217,0,0,0,2,286.125,6.85714974540241,55.0294170598032,1.00824758674039e-21,0
"nEgoBetween",975.547548,8.86861407272727,14.6108118676708,213.475823432471,0,0,0.222222,13.2511275,64.583336,2.11104561542043,6.98685181764318,1.49326968573982e-14,NA
"Size2",333,2.89565217391304,4.43742835483251,19.6907704042716,0,1,2,3,33,4.17573121156333,24.6018211629477,6.05227393898359e-17,1.79818724088676e-06
"Ties2",348,3.02608695652174,9.77596485978446,95.5694889397407,0,0,0,2,65,4.8536361092251,27.2192615173539,1.47694394092229e-20,3.59712259978551e-14
"Pairs2",2876,25.0086956521739,114.03765888083,13004.5876430206,0,0,2,6,1056,7.38428885355717,62.4863772113323,4.24063271043203e-22,0
