Class,Size,Ties,Pairs,Density,AvgDist,Diameter,nWeakComp,pWeakComp,2StepReach,ReachEffic,Broker,nBroker,EgoBetween,nEgoBetween,Size2,Ties2,Pairs2,Density2,AvgDist2,Diameter2,nWeakComp2,pWeakComp2,2StepReach2,ReachEffic2,Broker2,nBroker2,EgoBetween2,nEgoBetween2,Size3,Ties3,Pairs3,Density3,AvgDist3,Diameter3,nWeakComp3,pWeakComp3,2StepReach3,ReachEffic3,Broker3,nBroker3,EgoBetween3,nEgoBetween3,Degree,NrmDegree,Share,OutDegree,InDegree,NrmOutDeg,NrmInDeg,Clus Coef,nPairs,Eigenvec,nEigenvec,Power,Normalized Power,inFarness,outFarness,inCloseness,outCloseness,OutdwReach,IndwReach,nOutdwReach,nIndwReach,Betweenness,nBetweenness,Betweenness2,EffSize,Efficiency,Constraint,Hierarchy,Indirects,name, version,name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug,bug_2
org\gjt\sp\jedit\gui\SelectLineRange.java-->SelectLineRange,6,17,30,56.666668,,,2,33.333332,53.562004,47.877357,6.5,0.216667,5,16.666666,1,0,0,,0,0,1,100,7.915567,100,0,,0,,6,17,30,56.666668,,,2,33.333332,53.562004,47.877357,6.5,0.216667,5,16.666666,6,1.583113,0.001835,6,1,1.583113,0.263852,0.566667,15,0.05559,7.861608,170.252075,21.569645,75108,51278,0.504607,0.739108,95.349983,57.899979,0.250921,0.152368,7.825866,0.005463,0.024809,3.142857,0.523809,0.211518,0.094357,0.0832,jEdit,4.2,org.gjt.sp.jedit.gui.SelectLineRange,5,7,0,8,52,2,1,8,4,0.5,372,1,1,0.993939394,0.466666667,0,0,72.4,5,2,0,0
org\gjt\sp\jedit\options\GeneralOptionPane.java-->GeneralOptionPane,3,3,6,50,,,1,33.333332,43.799473,67.206474,1.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,50,,,1,33.333332,43.799473,67.206474,1.5,0.25,0,0,3,0.791557,0.000917,3,0,0.791557,0,0.5,3,0.028826,4.076665,17.576147,2.226764,144020,50613,0.263158,0.748819,83.633293,1,0.220088,0.002632,0,0,0.000915,1.833333,0.611111,0.353177,0.001546,0.028901,jEdit,4.2,org.gjt.sp.jedit.options.GeneralOptionPane,7,6,0,6,36,3,2,6,1,0.788888889,508,1,0,0.991111111,0.5,3,5,69.42857143,6,1.8571,0,0
org\gjt\sp\jedit\ActionContext.java-->ActionContext,10,24,90,26.666666,,,1,10,46.174141,53.19149,33,0.366667,13.666667,15.185185,9,20,72,27.777779,,,1,11.111111,46.174141,55.205048,26,0.361111,10,13.888889,2,1,2,50,,,1,50,5.013193,73.07692,0.5,0.25,0,0,10,2.638522,0.003058,2,9,0.527704,2.37467,0.266667,45,0.048552,6.86623,177.037491,22.429304,74872,51561,0.506197,0.735052,66.242874,91.250023,0.174323,0.240132,253.17424,0.176721,0.096254,7.318182,0.731818,0.182611,0.097118,0.277301,jEdit,4.2,org.gjt.sp.jedit.ActionContext,8,1,2,18,27,0,16,3,8,0.523809524,155,0.333333333,0,0,0.35,0,0,18,3,1.5,0,0
org\gjt\sp\jedit\textarea\Gutter.java-->Gutter,10,40,90,44.444443,,,1,10,37.994724,45,25,0.277778,7.95,8.833333,3,5,6,83.333336,1.166667,2,1,33.333332,21.372032,67.5,0.5,0.083333,0.5,8.333333,10,40,90,44.444443,,,1,10,37.994724,45,25,0.277778,7.95,8.833333,10,2.638522,0.003058,10,3,2.638522,0.791557,0.444444,45,0.051061,7.221164,-267.209961,-33.85347,74973,51394,0.505515,0.73744,86.659523,73.333328,0.228051,0.192982,285.674469,0.199407,0.250921,5.115385,0.511538,0.205922,0.055324,0.390472,jEdit,4.2,org.gjt.sp.jedit.textarea.Gutter,40,4,0,14,106,606,5,14,36,0.929230769,1100,0.88,3,0.943065693,0.125,3,17,25.875,31,2.1,1,1
bsh\BSHTryStatement.java-->BSHTryStatement,13,45,156,28.846153,,,1,7.692307,21.372032,20.716112,55.5,0.355769,18.533333,11.880342,1,0,0,,0,0,1,100,12.137203,100,0,,0,,12,40,132,30.30303,,,1,8.333333,21.108179,23.188406,46,0.348485,0,0,13,3.430079,0.003976,12,1,3.166227,0.263852,0.288462,78,0.019704,2.786567,-14.209139,-1.80019,49438,116833,0.766617,0.324395,36.25,58.335777,0.095395,0.153515,11.394971,0.007954,0.092003,8.576923,0.659763,0.126069,0.011777,0.270623,jEdit,4.2,bsh.BSHTryStatement,2,2,0,16,27,1,1,15,1,2,227,0,0,0.947368421,0.625,1,1,112.5,1,0.5,0,0
org\gjt\sp\jedit\menu\DirectoryProvider.java-->DirectoryProvider,5,16,20,80,1.2,2,1,20,53.298153,45.701359,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,20,80,1.2,2,1,20,53.298153,45.701359,2,0.1,0,0,5,1.319261,0.001529,5,0,1.319261,0,0.8,10,0.057881,8.185552,166.212173,21.057819,144020,50908,0.263158,0.74448,94.266655,1,0.24807,0.002632,0,0,0,1.8,0.36,0.228099,0.00037,0.067781,jEdit,4.2,org.gjt.sp.jedit.menu.DirectoryProvider,3,1,0,13,34,1,2,13,3,0.5,227,1,0,0,0.555555556,0,0,74.33333333,18,6.3333,0,0
org\gjt\sp\jedit\EditServer.java-->EditServer,7,20,42,47.619049,,,1,14.285714,55.40897,49.180328,11,0.261905,4,9.523809,1,0,0,,0,0,1,100,41.688656,100,0,,0,,7,20,42,47.619049,,,1,14.285714,55.40897,49.180328,11,0.261905,4,9.523809,7,1.846966,0.002141,7,1,1.846966,0.263852,0.47619,21,0.058319,8.247509,-31.498152,-3.990577,74891,51297,0.506069,0.738835,93.26667,85.500015,0.245439,0.225,182,0.12704,0.009852,3.0625,0.4375,0.218018,0.112125,0.175252,jEdit,4.2,org.gjt.sp.jedit.EditServer,8,2,0,9,56,12,3,8,4,0.771428571,386,1,0,0.897058824,0.3125,0,0,46.625,15,2.875,0,0
gnu\regexp\RETokenEnd.java-->RETokenEnd,2,1,2,50,,,1,50,9.762533,72.549019,0.5,0.25,0,0,1,0,0,,0,0,1,100,9.762533,100,0,,0,,1,0,0,,0,0,1,100,3.693931,100,0,,0,,2,0.527704,0.000612,1,1,0.263852,0.263852,0.5,1,0.001663,0.235234,1.391975,0.176353,69098,143263,0.548496,0.264548,2.5,61.049984,0.006579,0.160658,0,0,0,1.25,0.625,0.549975,0.001375,0.048535,jEdit,4.2,gnu.regexp.RETokenEnd,3,2,0,4,9,1,1,3,0,0.5,71,1,0,0.777777778,0.444444444,1,2,22.33333333,6,2.3333,0,0
bsh\ClassGeneratorUtil.java-->ClassGeneratorUtil,26,143,650,22,,,4,15.384615,23.746702,16.216217,253.5,0.39,7.035714,1.082418,1,0,0,,0,0,1,100,5.277045,100,0,,0,,25,128,600,21.333334,,,4,16,23.746702,16.82243,236,0.393333,0,0,26,6.860158,0.007951,25,1,6.596306,0.263852,0.22,325,0.030528,4.317341,-16.364933,-2.073313,143641,113409,0.263852,0.334189,48.749977,2,0.128289,0.005263,10.787302,0.00753,3.457558,18.788462,0.722633,0.086571,0.025303,0.46932,jEdit,4.2,bsh.ClassGeneratorUtil,23,1,0,34,118,239,1,33,6,0.96,2050,0,5,0,0.157004831,0,0,87.04347826,18,5.3913,0,0
org\gjt\sp\jedit\io\VFS.java-->VFS,27,123,702,17.521368,,,1,3.703704,65.435356,33.42318,289.5,0.412393,88.215477,12.566307,23,89,506,17.588932,,,2,8.695652,54.881268,37.956203,208.5,0.412055,33.595238,6.639375,9,31,72,43.055557,,,1,11.111111,63.060684,44.014732,20.5,0.284722,10.5,14.583333,27,7.124011,0.008257,9,23,2.37467,6.068602,0.175214,351,0.123466,17.460743,-94.980629,-12.033324,74846,51268,0.506373,0.739253,98.683273,100.250008,0.259693,0.263816,1701.851196,1.187929,2.943896,20.265625,0.750579,0.102409,0.143988,0.47885,jEdit,4.2,org.gjt.sp.jedit.io.VFS,36,1,4,40,88,534,32,15,30,0.979365079,725,0.277777778,0,0,0.221978022,0,0,18.63888889,7,1.5556,3,1
