"","BPP","BCE","MFM","AVG","X0.5","BPP","BCE","MFM","AVG","X0.5","BPP","BCE","MFM","AVG","X0.5","BPP","BCE","MFM","AVG","X0.5","BPP","BCE","MFM","AVG","X0.5","AUC","BPP","BCE","MFM","AVG","X0.5","AR0.05","AR0.1","AR0.15","AR0.2","AR0.25","AR0.3","AR0.35","AR0.4","AR0.45","AR0.5","AR0.55","AR0.6","AR0.65","AR0.7","AR0.75","AR0.8","AR0.85","AR0.9","AR0.95","AR1","CE0.05","CE0.1","CE0.15","CE0.2","CE0.25","CE0.3","CE0.35","CE0.4","CE0.45","CE0.5","CE0.55","CE0.6","CE0.65","CE0.7","CE0.75","CE0.8","CE0.85","CE0.9","CE0.95","CE1"
"3.2_all_bug2.csv-->3.2_all_bug2.csv","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n"
"3.2_all_bug2.csv-->4.0_all_bug2.csv","57","42","62","46.0327272727273","0","0.404255319148936","0.358974358974359","0.424657534246575","0.323767148987448","0","0.76","0.56","0.826666666666667","0.613769696969697","0","0.527777777777778","0.4375","0.561085972850679","0.386386298727397","0","0.629090909090909","0.607272727272727","0.647272727272727","0.560198347107438","0.727272727272727","0.653933333333333","0.433119837663448","0.470351935721031","0.409529067059682","0.43764159600169","0","0.304936343709026","0.335097958213054","0.366228471636981","0.412538363211253","0.450859590029477","0.475507929390139","0.504679364826513","0.535740658960597","0.565175861851898","0.598567273906754","0.632657601189866","0.667004337083578","0.697934832031361","0.723762677787273","0.745465940578181","0.764540464427485","0.780963939243595","0.795245701328709","0.807779043805139","0.818866517820742","0.208420296429052","0.206573687427826","0.216177076305056","0.249931294932823","0.27759026373595","0.29025875379399","0.311538719667348","0.337109965485584","0.360962871573131","0.391077070806308","0.423459662358669","0.458039193806197","0.489120378485073","0.513476546544483","0.532145955715177","0.547300793936522","0.558440410642361","0.566067427914484","0.5705184644253","0.57198192074747"
"3.2_all_bug2.csv-->4.1_all_bug2.csv","49","22","51","46.8480565371025","0","0.374045801526718","0.285714285714286","0.369565217391304","0.323893473837073","0","0.628205128205128","0.282051282051282","0.653846153846154","0.600616109450032","0","0.4688995215311","0.283870967741935","0.472222222222222","0.383155645317619","0","0.607773851590106","0.607773851590106","0.597173144876325","0.553659054302089","0.724381625441696","0.6364602876798","0.397071886299543","0.454322878941449","0.382563078453103","0.432201484769476","0","0.389790054507977","0.392629136275528","0.416237853500649","0.444779888717887","0.479609225275079","0.503712366080531","0.526587318292057","0.549784112223252","0.578013321287436","0.603817678711633","0.632590106729708","0.662070877866421","0.690617424411218","0.715695806701229","0.736769678103294","0.755204824714737","0.772402343783789","0.78740885553122","0.800558883140591","0.812176862125112","0.311852468250046","0.277311061429857","0.276966121148469","0.288691013750943","0.31228853543069","0.324023878883452","0.335725189262162","0.349522165284591","0.371951523123979","0.391573799614343","0.41642851549533","0.443526997100015","0.470618952784147","0.493391510841934","0.510422585314926","0.523671892433354","0.535512473819913","0.543728730319576","0.548520426677005","0.550095371607294"
"3.2_all_bug2.csv-->4.2_all_bug2.csv","24","13","28","27.5512048192771","0","0.16551724137931","0.156626506024096","0.173913043478261","0.157023618226935","0","0.5","0.270833333333333","0.583333333333333","0.57398343373494","0","0.248704663212435","0.198473282442748","0.267942583732057","0.228105881858163","0","0.563253012048193","0.683734939759036","0.539156626506024","0.519859558716795","0.855421686746988","0.584727112676056","0.241288384544373","0.534078541492541","0.26031900244984","0.314469213647497","0","0.171854819229632","0.241539454139453","0.305897292120164","0.338245152982255","0.354438225203079","0.36588131285407","0.384194288321174","0.405842074173136","0.439730718529128","0.469488587128179","0.499734326188066","0.530428587053009","0.562579859498321","0.593864863710507","0.624032451110309","0.650510220493757","0.673420295148777","0.693797497503367","0.711977230888768","0.728119228113521","0.0815397292349823","0.125355848844732","0.172367939630353","0.185855226292292","0.182100123044451","0.173772759166231","0.175698929047082","0.181793703163252","0.204253536277291","0.221264476577074","0.239630212245926","0.259655173176082","0.28332920287583","0.307239138320849","0.331043081834143","0.349997809473308","0.363691098687242","0.373480024754874","0.379490332233386","0.38146822403024"
"3.2_all_bug2.csv-->4.3_all_bug2.csv","2","1","4","4.87096774193548","0","0.0108108108108108","0.0121951219512195","0.0191387559808612","0.017541917451209","0","0.181818181818182","0.0909090909090909","0.363636363636364","0.442815249266862","0","0.0204081632653061","0.021505376344086","0.0363636363636364","0.0333605209130924","0","0.557603686635945","0.790322580645161","0.511520737327189","0.495593450699739","0.974654377880184","0.435418009886095","-0.0298409188007338","0.428574300721269","0.249233243698324","0.0802366019462885","0","0.00878576676885809","0.0965693568329945","0.121614967996061","0.152397333906687","0.172736366088238","0.193663435949732","0.226258222270687","0.250673360799472","0.269538838706606","0.292161607508867","0.319124982982095","0.354118497802382","0.404582775761301","0.447732746884491","0.485051162545841","0.51764536518362","0.546359025223636","0.571846211302378","0.59462181953083","0.615096720226297","-0.023131032086196","0.0433884052996905","0.0448266802000354","0.0526437599220947","0.0488584883861834","0.0455241042280479","0.0562061874588639","0.0572608777383121","0.0511699948742107","0.0497108844708578","0.0541772619226483","0.0705187839916822","0.111172405343219","0.143634020123607","0.169305061547328","0.189191284940042","0.204012122046557","0.214270981570484","0.220300341680429","0.22228961781569"
"4.0_all_bug2.csv-->3.2_all_bug2.csv","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n"
"4.0_all_bug2.csv-->4.0_all_bug2.csv","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n"
"4.0_all_bug2.csv-->4.1_all_bug2.csv","43","28","59","42.7385159010601","0","0.307142857142857","0.314606741573034","0.341040462427746","0.267650036249674","0","0.551282051282051","0.358974358974359","0.756410256410256","0.547929691039232","0","0.394495412844037","0.335329341317365","0.470119521912351","0.337890007431562","0","0.53356890459364","0.607773851590106","0.530035335689046","0.524628850403926","0.724381625441696","0.563727329580988","0.426987607737915","0.578740275750164","0.397002899002617","0.36050399837145","0","0.213203259412713","0.303538885023885","0.404972492866596","0.446624562664213","0.475780377325844","0.507256112330126","0.541415702494899","0.566065665467458","0.587422928530742","0.605779460592041","0.625155294094238","0.648925348085398","0.671162448096009","0.692692862326942","0.714512607798883","0.735044491250328","0.752762373040922","0.768143819512713","0.781622397957885","0.794039475548341","0.112711552763232","0.171305747445608","0.263013114012352","0.291054280369098","0.307228602090839","0.328850692368817","0.356531818426287","0.373045967503998","0.385955968750532","0.394586552660972","0.404619512182773","0.421880054138214","0.437329761511158","0.452402010263593","0.469027054360961","0.484443449814646","0.495430683979611","0.502381370971343","0.50565345729199","0.506649743660898"
"4.0_all_bug2.csv-->4.2_all_bug2.csv","27","16","34","26.0632530120482","0","0.159763313609467","0.149532710280374","0.16504854368932","0.153078316016587","0","0.5625","0.333333333333333","0.708333333333333","0.542984437751004","0","0.248847926267281","0.206451612903226","0.267716535433071","0.219137717675779","0","0.509036144578313","0.629518072289157","0.439759036144578","0.510905066047322","0.855421686746988","0.548488849765258","0.291270361439988","0.412612990261556","0.351092031604202","0.3491844489214","0","0.307128689993881","0.326978152765267","0.321453625464133","0.314721642168534","0.331744071574781","0.352888776115533","0.373737339152524","0.404472698406427","0.441459469641756","0.476797254369553","0.506605687944708","0.537365121314569","0.568427027681283","0.594512450705669","0.618922452191031","0.644602588004427","0.668546249098225","0.689467306275681","0.707904130055135","0.724274400838106","0.231566172489761","0.223882342336361","0.190916952724672","0.156914685131837","0.15334757575177","0.156844086350692","0.161701536305921","0.179907955576029","0.206708869150296","0.231992839194053","0.250074214611043","0.270591586924959","0.292909225134971","0.308343753225335","0.321950889864474","0.339010437927517","0.354194492372446","0.364620034132143","0.370715336934034","0.372721199272077"
"4.0_all_bug2.csv-->4.3_all_bug2.csv","6","6","8","5.78110599078341","0","0.0254237288135593","0.0377358490566038","0.0269360269360269","0.022184371482968","0","0.545454545454545","0.545454545454545","0.727272727272727","0.525555090071219","0","0.048582995951417","0.0705882352941176","0.0519480519480519","0.0423025093994741","0","0.45852534562212","0.63594470046083","0.327188940092166","0.499792945273843","0.974654377880184","0.520309477756286","0.551625816318837","0.783649568998015","0.418930578941637","0.207216334710283","0","0.0205140598261558","0.150540338523657","0.305176302269234","0.378398910628539","0.421104381547904","0.461709705822656","0.504112906554591","0.535641799445629","0.560004046318445","0.579526356568929","0.607180799381886","0.633411113513268","0.655542552359409","0.67446625414908","0.690832489185998","0.705126889732143","0.717719452965522","0.72889702496053","0.738885416771109","0.748720562248129","-0.0110250915356791","0.100536419099242","0.244434918792871","0.305243253222085","0.334418157610115","0.362815561606805","0.395127439174525","0.415783959218761","0.428468774099117","0.435504585569038","0.454323741345013","0.472445823533481","0.485800423325911","0.495215362352566","0.501263295132567","0.5043362903872","0.504692243172522","0.502483733428965","0.497775259906207","0.492281209752327"
