"","BPP","BCE","MFM","AVG","X0.5","BPP","BCE","MFM","AVG","X0.5","BPP","BCE","MFM","AVG","X0.5","BPP","BCE","MFM","AVG","X0.5","BPP","BCE","MFM","AVG","X0.5","AUC","BPP","BCE","MFM","AVG","X0.5","AR0.05","AR0.1","AR0.15","AR0.2","AR0.25","AR0.3","AR0.35","AR0.4","AR0.45","AR0.5","AR0.55","AR0.6","AR0.65","AR0.7","AR0.75","AR0.8","AR0.85","AR0.9","AR0.95","AR1","CE0.05","CE0.1","CE0.15","CE0.2","CE0.25","CE0.3","CE0.35","CE0.4","CE0.45","CE0.5","CE0.55","CE0.6","CE0.65","CE0.7","CE0.75","CE0.8","CE0.85","CE0.9","CE0.95","CE1"
"3.2_all_bug2.csv-->3.2_all_bug2.csv","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n"
"3.2_all_bug2.csv-->4.0_all_bug2.csv","43","30","68","33.3127272727273","0","0.252941176470588","0.218978102189781","0.276422764227642","0.206571824858436","0","0.573333333333333","0.4","0.906666666666667","0.444169696969697","0","0.351020408163265","0.283018867924528","0.423676012461059","0.263706054522064","0","0.421818181818182","0.447272727272727","0.327272727272727","0.467490909090909","0.727272727272727","0.420566666666667","0.403874750356585","0.287757277230225","0.267498136347176","0.278346467285957","0","0.163403793527713","0.225192214837803","0.270418050326841","0.314351698195887","0.363429249251905","0.396423437046417","0.419449099403736","0.44414742589448","0.469908466494511","0.496508107463876","0.521469229146487","0.551149048345726","0.583590144401628","0.615868505824799","0.646940905024495","0.673413519327841","0.696193165212895","0.71600221820297","0.733386182715104","0.748764702465835","0.0472346365198478","0.075423377733528","0.097682632817304","0.124566947593452","0.162573178349733","0.183241833430757","0.193074570408748","0.206329093543296","0.220953618588292","0.236266158436826","0.248950589168855","0.269481105282559","0.295730418525886","0.323447752714509","0.351049027265584","0.372098309155886","0.387549151726993","0.39812795764739","0.404301622884077","0.406331462315778"
"3.2_all_bug2.csv-->4.1_all_bug2.csv","37","25","70","32.886925795053","0","0.22289156626506","0.186567164179104","0.278884462151394","0.19653531287373","0","0.474358974358974","0.320512820512821","0.897435897435897","0.421627253782731","0","0.30327868852459","0.235849056603774","0.425531914893617","0.250376134117795","0","0.399293286219081","0.42756183745583","0.332155477031802","0.454868958283909","0.724381625441696","0.389368355222014","0.309493385990745","0.271105323569094","0.296520243176395","0.328313152264209","0","0.217651724009684","0.254702857134635","0.279748724767309","0.306692173166121","0.350306391347037","0.38829671311067","0.428455862027413","0.460708837493067","0.493668644612249","0.522786011151614","0.549099601236616","0.573665020487475","0.602065169567924","0.632417512601295","0.661408121272191","0.686671565824354","0.708788982050745","0.727989801753762","0.744815251496303","0.759680446256399","0.117728186718639","0.113197498816687","0.107913939946031","0.111782737255414","0.141411099448814","0.166820233097347","0.19803083282361","0.220825037070621","0.246420200950338","0.267131625001077","0.283817284483092","0.297947732966148","0.319098184967616","0.344995912929339","0.370258960189353","0.390318293962345","0.405688584090086","0.416201277668644","0.422332249301432","0.424347390072161"
"3.2_all_bug2.csv-->4.2_all_bug2.csv","18","16","42","19.8403614457831","0","0.101694915254237","0.112676056338028","0.143835616438356","0.106923587773001","0","0.375","0.333333333333333","0.875","0.413340863453815","0","0.16","0.168421052631579","0.247058823529412","0.154907901988498","0","0.430722891566265","0.524096385542169","0.228915662650602","0.473354260415155","0.855421686746988","0.396933685446009","0.205078989029755","0.384025650430552","0.21678658494398","0.254017593156816","0","0.167034701939619","0.173534584202033","0.222730314581141","0.263021458660298","0.283844539238555","0.297800699365883","0.311811421826391","0.329202852526325","0.352867668414633","0.375662733887941","0.406917341394928","0.440278045936123","0.469267873067179","0.498172984318507","0.529058962646642","0.56048954434824","0.590099984994363","0.615972498512891","0.638772826834094","0.659017504172425","0.0761939440585396","0.0469337581170551","0.0732015537426119","0.0933089036363965","0.0926608635988517","0.0850668771652007","0.0788091580710535","0.0762549381138379","0.0808825658480091","0.0835378920760656","0.0985547103243949","0.117520271197291","0.130446494685603","0.144013692157907","0.162057294795496","0.182571921454643","0.201349550134659","0.214242539615439","0.22178043804972","0.224261034513709"
"3.2_all_bug2.csv-->4.3_all_bug2.csv","6","6","10","5.62903225806452","0","0.0241935483870968","0.0304568527918782","0.0253164556962025","0.0249233600874616","0","0.545454545454545","0.545454545454545","0.909090909090909","0.511730205278592","0","0.0463320463320463","0.0576923076923077","0.0492610837438424","0.0468018185660736","0","0.430875576036866","0.548387096774194","0.110599078341014","0.499054980993438","0.974654377880184","0.506125080593166","0.563525133106194","0.719120978541451","0.279201098466762","0.348395763594628","0","0.242499706449421","0.293349912563191","0.351623543285758","0.41261928782892","0.448193710171416","0.471498522504094","0.498625848102155","0.520172895958976","0.536830365034164","0.562820031110262","0.587870374572322","0.608674460304596","0.626509726832144","0.647556226847651","0.670999060045835","0.691823504194309","0.710168668714717","0.726452438221118","0.741003779966512","0.754085199098518","0.218108425844938","0.251752558814769","0.294942570654934","0.343490994971203","0.365563954330002","0.374402769712105","0.388434441632556","0.396322298932778","0.398367400751881","0.413075964273171","0.427499084234208","0.436847568395129","0.442460769333731","0.453487681110403","0.469268797814451","0.481974110871739","0.491443147374584","0.497997535268566","0.50184969493806","0.503120643954209"
"4.0_all_bug2.csv-->3.2_all_bug2.csv","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n"
"4.0_all_bug2.csv-->4.0_all_bug2.csv","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n"
"4.0_all_bug2.csv-->4.1_all_bug2.csv","45","31","74","31.4734982332155","0","0.240641711229947","0.206666666666667","0.273062730627306","0.174147097174091","0","0.576923076923077","0.397435897435897","0.948717948717949","0.403506387605328","0","0.339622641509434","0.271929824561403","0.424068767908309","0.233153487141146","0","0.381625441696113","0.413427561837456","0.289752650176678","0.444755209829065","0.724381625441696","0.364352720450281","0.379944707701728","0.432619385214228","0.251267227125199","0.24084371894016","0","0.222094248268582","0.213605161067532","0.263997493635341","0.335823811701783","0.377023353260917","0.41490712602447","0.448952441813839","0.478412610240351","0.511176829124479","0.541092092888544","0.566635766615662","0.589096773923428","0.6148993028829","0.642508413641237","0.669307390425053","0.69397088712851","0.71557305446637","0.734326570519196","0.750760053397699","0.765278947532101","0.122738121620691","0.064296815358999","0.0884048405459964","0.149104145204282","0.176718337584135","0.203065350793951","0.226790860141172","0.246403680729366","0.272477868574627","0.295244691023128","0.311670660916917","0.323359435042308","0.34105852621004","0.36297713251943","0.384950671014664","0.404521481992002","0.419533704756736","0.429801493884143","0.435789637969306","0.437757833878495"
"4.0_all_bug2.csv-->4.2_all_bug2.csv","22","15","45","18.4036144578313","0","0.11","0.0974025974025974","0.141955835962145","0.100042463221672","0","0.458333333333333","0.3125","0.9375","0.383408634538153","0","0.17741935483871","0.148514851485149","0.246575342465753","0.141735861562604","0","0.385542168674699","0.481927710843373","0.171686746987952","0.464626578603571","0.855421686746988","0.361942488262911","0.132372660200713","0.354032722615404","0.157344120039617","0.280732706203258","0","0.140316958951219","0.218395653612834","0.274638679176084","0.29527067619433","0.303424884919667","0.311409175152227","0.313978346719808","0.324012264828161","0.342284397558857","0.373360522144153","0.407611457207516","0.439548004651988","0.469238331011148","0.497627915214554","0.527861649265222","0.556248825869726","0.584639957040096","0.610857102522242","0.633961140102881","0.654475484433517","0.0465624422045661","0.0986668010404791","0.135095890491935","0.132984520716979","0.117468345932153","0.102798089994632","0.0817097458318401","0.0691070547745543","0.0658512217486245","0.080158484915673","0.0996097191341587","0.116369259289037","0.130398092870313","0.143083946099542","0.159926921916033","0.174684777217305","0.190711214876505","0.203775944002081","0.211414250181326","0.213927889157003"
"4.0_all_bug2.csv-->4.3_all_bug2.csv","7","6","11","5.91013824884793","0","0.0251798561151079","0.0277777777777778","0.0261904761904762","0.027866637228769","0","0.636363636363636","0.545454545454545","1","0.537285295349812","0","0.0484429065743945","0.052863436123348","0.0510440835266821","0.0518600919216237","0","0.366359447004608","0.504608294930876","0.0576036866359447","0.500276072968209","0.974654377880184","0.532344723834085","0.529835892538514","0.682449369383601","0.243522404563846","0.448054539905473","0","0.353050889492185","0.404030243123229","0.446723954989457","0.482685278600136","0.503658927232561","0.521665485681183","0.542992995860602","0.564785037416947","0.594820236352601","0.619161322395584","0.638994293232362","0.655465397759888","0.673295842238941","0.692218776987043","0.713016511323745","0.731181418792719","0.747183681020724","0.761387813636266","0.774080770743304","0.785491532365634","0.332219323583144","0.368948149112477","0.398356646090771","0.421802987405456","0.429334762371049","0.43378635623346","0.442552547620585","0.45244950552078","0.473693144016438","0.488715427222999","0.498516765188437","0.504183909962638","0.512302199388981","0.522743079286076","0.537049675378523","0.548132364280301","0.556392088797708","0.562109401046768","0.565469592725988","0.566578225979847"
