"","BPP","BCE","MFM","AVG","X0.5","BPP","BCE","MFM","AVG","X0.5","BPP","BCE","MFM","AVG","X0.5","BPP","BCE","MFM","AVG","X0.5","BPP","BCE","MFM","AVG","X0.5","AUC","BPP","BCE","MFM","AVG","X0.5","AR0.05","AR0.1","AR0.15","AR0.2","AR0.25","AR0.3","AR0.35","AR0.4","AR0.45","AR0.5","AR0.55","AR0.6","AR0.65","AR0.7","AR0.75","AR0.8","AR0.85","AR0.9","AR0.95","AR1","CE0.05","CE0.1","CE0.15","CE0.2","CE0.25","CE0.3","CE0.35","CE0.4","CE0.45","CE0.5","CE0.55","CE0.6","CE0.65","CE0.7","CE0.75","CE0.8","CE0.85","CE0.9","CE0.95","CE1"
"3.2_all_bug2.csv-->3.2_all_bug2.csv","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n"
"3.2_all_bug2.csv-->4.0_all_bug2.csv","56","44","59","41.7090909090909","0","0.327485380116959","0.330827067669173","0.339080459770115","0.276493328144197","0","0.746666666666667","0.586666666666667","0.786666666666667","0.556121212121212","0","0.455284552845528","0.423076923076923","0.473895582329317","0.34275102610726","0","0.512727272727273","0.563636363636364","0.523636363636364","0.528793388429752","0.727272727272727","0.574666666666667","0.401628030187633","0.490762872223882","0.433686564500621","0.451039133055797","0","0.306062172033404","0.350113539587131","0.37360744109799","0.419064125424594","0.462792024185512","0.488416031665645","0.51638555784875","0.540365653470409","0.567478134745528","0.592677969083166","0.622300963250554","0.650581847169848","0.676574924665748","0.703776797166893","0.727558416535121","0.747986274256104","0.765564415944038","0.780850269899819","0.794264780065353","0.8061317687136","0.209702456477584","0.224491751461352","0.225303086480557","0.258263362435466","0.293287718257848","0.307725962753926","0.327809514913114","0.343713737341577","0.364346395461814","0.382143736498978","0.407205019405117","0.431311080306446","0.45299459323177","0.478276380318251","0.499230488269664","0.515473377266449","0.527396174542726","0.53555941598626","0.540323386541903","0.541889732450624"
"3.2_all_bug2.csv-->4.1_all_bug2.csv","46","26","48","39.8197879858657","0","0.294871794871795","0.238532110091743","0.3","0.243053063992184","0","0.58974358974359","0.333333333333333","0.615384615384615","0.510510102382894","0","0.393162393162393","0.27807486631016","0.403361344537815","0.310144297121587","0","0.498233215547703","0.522968197879859","0.498233215547703","0.504026770218132","0.724381625441696","0.512070043777361","0.429651896509642","0.463957587982199","0.412911686967733","0.451296223286682","0","0.390631528918324","0.384753378420637","0.399028516109527","0.41298372773345","0.442915340998088","0.474677218066412","0.510078228823134","0.545116035690072","0.573196339545826","0.59762542833915","0.624265455903573","0.653010154492277","0.680641260684242","0.707003084591138","0.730044595276231","0.750497021381048","0.768109087909126","0.783398672847155","0.796796754123794","0.808633887195208","0.312801417939884","0.267939977921365","0.255651046094385","0.247956006900733","0.263796505743566","0.284476113859322","0.312560257890112","0.342777666927185","0.364782344098736","0.38206421989934","0.403206147427478","0.428606566707326","0.453548851176346","0.477901739960376","0.497914722845691","0.514511339942405","0.526750679723993","0.535121922404408","0.540004006241559","0.541608659920553"
"3.2_all_bug2.csv-->4.2_all_bug2.csv","24","12","24","19.6566265060241","0","0.114832535885167","0.0869565217391304","0.111627906976744","0.0961595853723101","0","0.5","0.25","0.5","0.409513052208835","0","0.186770428015564","0.129032258064516","0.182509505703422","0.148394796725889","0","0.370481927710843","0.512048192771084","0.352409638554217","0.472329075337495","0.855421686746988","0.392458920187793","0.242479270265232","0.382352831696515","0.195201945799034","0.236332719344157","0","0.128725222777308","0.205811653016403","0.25202302955358","0.300227319653504","0.327815049143463","0.345362716753996","0.356587846555436","0.374658247499322","0.405329939339744","0.439583740622053","0.469434829641736","0.496994326196102","0.526011911450238","0.555004899556529","0.581498020048888","0.607793827368939","0.634043678633795","0.65714250645796","0.677498505416034","0.695572834215167","0.0337065452046913","0.084155139781534","0.108129511480326","0.13908258767577","0.14836966799981","0.147037980038605","0.138745683760253","0.138850905912046","0.155394354996831","0.177367275250592","0.193577038974138","0.206941397631814","0.223416139781026","0.240954151264368","0.255361810929737","0.270551282762974","0.286969577968507","0.298480363108962","0.305210154474799","0.307424816400935"
"3.2_all_bug2.csv-->4.3_all_bug2.csv","6","6","7","4.31336405529954","0","0.0218181818181818","0.0272727272727273","0.025","0.0152482985951509","0","0.545454545454545","0.545454545454545","0.636363636363636","0.392124005027231","0","0.041958041958042","0.051948051948052","0.0481099656357388","0.0292364347733681","0","0.368663594470046","0.495391705069124","0.361751152073733","0.493268066852131","0.974654377880184","0.386202450032237","0.503606343142922","0.669119721975895","0.546362242718203","0.0340935547170266","0","0","0.0427380877534911","0.135442435561861","0.25334612352458","0.322110848387567","0.367202605626942","0.41104052962605","0.443818212187468","0.469145393742488","0.48930312243927","0.505727518814724","0.519367832801368","0.530876645594289","0.545031955694579","0.561296417843449","0.578515266986347","0.593850503685108","0.616169759934899","0.636587580364673","0.654942868246524","-0.0321996978907499","-0.0136116716274831","0.0598629429071991","0.165473119241611","0.220600923405234","0.250945713285639","0.281599727485698","0.300259322129871","0.310448240828434","0.314377844958785","0.313392120688354","0.308327348437035","0.299701510605632","0.294509763387026","0.292300868217914","0.291509876499305","0.287343750500213","0.295611610287749","0.301016795993284","0.30280013729893"
"4.0_all_bug2.csv-->3.2_all_bug2.csv","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n"
"4.0_all_bug2.csv-->4.0_all_bug2.csv","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n"
"4.0_all_bug2.csv-->4.1_all_bug2.csv","43","37","57","38.3745583038869","0","0.27741935483871","0.272058823529412","0.295336787564767","0.237996467203236","0","0.551282051282051","0.474358974358974","0.730769230769231","0.491981516716499","0","0.369098712446352","0.345794392523364","0.420664206642066","0.299687799890186","0","0.480565371024735","0.50530035335689","0.445229681978799","0.49377567456205","0.724381625441696","0.486491557223265","0.413439121187839","0.462351030701633","0.40755674925033","0.461357937079346","0","0.387274873039171","0.397959515668272","0.41794303674962","0.441220763423156","0.460465765365821","0.479983960541835","0.508344901825665","0.537786521430335","0.566555856156002","0.590538765610049","0.613699193152464","0.63799407339005","0.665305298228324","0.692586712065508","0.716912498817205","0.738007062109249","0.75650077740499","0.772555749170126","0.786624529812326","0.799054222182131","0.309016041324446","0.283653489846486","0.279078120472252","0.284131312555174","0.286989899308482","0.291704243172095","0.310128118854384","0.332187888346217","0.354899222926704","0.371181070788445","0.386423339581867","0.403879358557912","0.427307658214763","0.452212858556244","0.473490569171147","0.490208088636132","0.503060121926359","0.511850423652527","0.516976901478981","0.518661883093164"
"4.0_all_bug2.csv-->4.2_all_bug2.csv","20","19","36","19.3644578313253","0","0.0985221674876847","0.101604278074866","0.144578313253012","0.0958745103600282","0","0.416666666666667","0.395833333333333","0.75","0.403426204819277","0","0.159362549800797","0.161702127659574","0.242424242424242","0.146609098054313","0","0.364457831325301","0.406626506024096","0.322289156626506","0.470541805777326","0.855421686746988","0.385343309859155","0.17989810582666","0.283758704224894","0.248215649371343","0.222161009430255","0","0.144659076225057","0.157231361423943","0.219789001998308","0.270132025027171","0.300815068293569","0.321146614469054","0.3405547600343","0.363563865360901","0.391302144959476","0.424087711239549","0.456142132718207","0.481683459202964","0.505603852251381","0.531442846903724","0.558377540822361","0.586725251762579","0.614109921734657","0.638466950036909","0.659931746714761","0.678990589936413","0.051378098081852","0.028133151380605","0.069694400456094","0.102056902191723","0.11416181698218","0.115485521831311","0.117284222556811","0.123572992531463","0.135470778707546","0.154620717383274","0.173373044041993","0.182801680306564","0.189979499124683","0.200763420544011","0.214223673940065","0.231366673946205","0.248130584720887","0.260268365978943","0.267364731215038","0.269700026478739"
"4.0_all_bug2.csv-->4.3_all_bug2.csv","7","7","8","5.71428571428571","0","0.022508038585209","0.023972602739726","0.0225352112676056","0.0361410324310407","0","0.636363636363636","0.636363636363636","0.727272727272727","0.519480519480519","0","0.0434782608695652","0.0462046204620462","0.0437158469945355","0.0628025547747837","0","0.290322580645161","0.334101382488479","0.193548387096774","0.499665526980824","0.974654377880184","0.51665592091124","0.474421351561911","0.542486994546505","0.407484104445729","0.590161551700349","0","0.40581775522591","0.366112240454718","0.382026162864656","0.431515692792837","0.463152368308732","0.490608095565201","0.516503684427449","0.535758345243025","0.557079272138717","0.57676749930859","0.592809348657399","0.608742265025579","0.626290106324037","0.641294558501459","0.656443416353132","0.678177320324495","0.697334816387298","0.714339638004428","0.729535319236164","0.743195989067633","0.386685266452136","0.328798081949137","0.328002982678964","0.364611300361601","0.382762583798536","0.397023134059347","0.410241447265563","0.415930587240497","0.424669648769812","0.431800757048841","0.434359952786707","0.436945145449583","0.442132923984266","0.44377810713386","0.445788213604909","0.459035708272647","0.468924037664296","0.475768656590082","0.479791391497667","0.481118618666756"
