"","Sum","Mean","SD","Var","Min","25%","Median","75%","Max","Skewness","Kurtosis","shapiro.p","ks.p"
"Size",1933,7.95473251028807,10.7462278712677,115.481413461211,0,3,4,9,100,4.15419580852125,27.784245595944,6.93490222144214e-24,7.40518757424979e-14
"Ties",4694,19.3168724279835,38.1369108652387,1454.42397034316,0,1,5,19,313,3.9428704927604,22.8164883129869,4.30656859903348e-25,0
"Pairs",41390,170.329218106996,731.30262376885,534803.527531204,0,6,12,72,9900,10.3502158120518,131.739785244113,9.31296657405393e-31,0
"Density",6852.550872,30.1874487753304,19.5229179590248,381.144325634814,0,16.666666,30.357143,41.666668,100,0.829706959444466,4.80352607213897,6.99903105369384e-09,NA
"nWeakComp",365,1.50205761316872,1.31228929232454,1.72210318674965,0,1,1,2,16,6.49277271749123,65.4288011695527,1.39654949126199e-26,1.11022302462516e-16
"pWeakComp",8688.430315,35.7548572633745,29.9114183547337,894.692947991898,0,12.5,25,50,100,1.10769121257713,3.1399053127384,2.41880745659532e-15,2.04110137680402e-08
"X2StepReach",6802.54547,27.9940142798354,15.8196228813998,250.260468109708,0,16.909091,23.636364,40.727272,73.818184,0.261527407905002,2.2883828941623,7.37999228366097e-05,0.00447452867594356
"ReachEffic",13968.408632,57.4831630946502,24.4715225092526,598.855413920858,0,41.5178585,58.51852,73.258434,100,-0.123291382307304,2.43415429282113,0.000589511532050767,0.548194767176645
"Broker",18348,75.5061728395062,350.212330757544,122648.676614631,0,1.5,5,22.75,4793.5,10.6755113460015,138.234771004382,5.43130371081182e-31,0
"nBroker",76.237237,0.335846859030837,0.109467630372456,0.0119831620993606,0,0.285714,0.339286,0.4081575,0.5,-1.15599844730075,5.05026703626236,2.3728197355162e-11,NA
"EgoBetween",10846.15759,44.6343933744856,300.95365163905,90573.1004348789,0,0,1,4.1666665,4324.626953,12.2785130537238,170.726628998258,5.55665279562294e-32,0
"nEgoBetween",2351.632542,10.359614722467,13.121561021182,172.175363632602,0,0,5.138889,16.666666,59.090908,1.50794588459631,4.88686284930816,8.86205863029749e-17,NA
"Size2",1060,4.36213991769547,9.47988991271532,89.8683127572017,0,1,1,3.5,92,5.09627763237848,37.3307782931473,5.60719086284372e-27,0
"Ties2",1943,7.99588477366255,26.0304173539925,677.582627623032,0,0,0,3,219,4.75060245471143,28.5795907676421,1.00948438069621e-28,0
"Pairs2",25312,104.164609053498,603.745449534168,364508.567833214,0,0,0,9,8372,11.1858793833714,147.600305578325,1.50025964737751e-31,0
"Density2",3345.111036,22.6021015945946,25.7631455055782,663.739666341596,0,0,15.552054,40.416667,100,1.25088627583606,4.24401115495948,2.21015831044434e-12,NA
"nWeakComp2",305,1.25514403292181,1.70340091266015,2.90157466925144,0,1,1,1,16,6.23851446230225,50.5099326134239,8.95127036227167e-28,0
"pWeakComp2",13865.362193,57.0591036748971,41.9822465284907,1762.50902357897,0,14.285714,50,100,100,-0.135609635406281,1.28258421932981,1.00223786934925e-17,0
"X2StepReach2",3363.636345,13.8421248765432,12.2692499870289,150.534495244208,0,3.636364,11.636364,18.727272,59.272728,1.22313489695642,4.72983901168404,3.81922065242819e-12,0.000661271327400015
"ReachEffic2",16408.530012,67.8038430247934,36.9352890542647,1364.21557752209,0,45.2828865,84.045456,100,100,-0.808235349755636,2.18232470453283,3.76870818805012e-17,NA
"Broker2",11684.5,48.0843621399177,291.158025739965,84772.9959527939,0,0,0,3,4076.5,11.4721155589255,153.563532783103,1.13835669990936e-31,0
"nBroker2",38.274445,0.258611114864865,0.188182420125146,0.0354126232441568,0,0,0.291667,0.419643,0.5,-0.338896105667075,1.59380489622701,3.06225291259155e-11,NA
"EgoBetween2",4895.031088,20.1441608559671,152.637926829129,23298.3367066946,0,0,0,0,2068.293945,11.0697294409283,139.77602007487,3.85694425731187e-32,0
"nEgoBetween2",948.962838,6.41191106756757,13.866756595135,192.28693846872,0,0,0,2.00576,64.520889,2.23431894874046,7.06663613368392,9.02838195169453e-20,NA
"Size3",1021,4.20164609053498,5.03505042838493,25.3517328163793,0,1,3,6,42,2.96277980818744,17.0823924785292,6.82449764099015e-20,1.2986898889622e-08
"Ties3",1880,7.73662551440329,13.5270075781874,182.979934020338,0,0,2,9,76,2.44636620436731,9.00393254492561,1.15219801504404e-22,1.11022302462516e-16
"Pairs3",9404,38.6995884773663,131.420922865319,17271.4589667721,0,0,6,30,1722,9.34111671628942,113.533416783883,1.01085113910666e-29,0
"Density3",5983.927544,28.907862531401,23.3416079900855,544.830663562824,0,3.927751,32.727272,45.535713,100,0.599014465582924,3.40904292020943,4.32891288119844e-10,NA
"nWeakComp3",287,1.18106995884774,0.962162083669287,0.925755875250825,0,1,1,1,9,3.00708710519207,21.7053490661176,6.96536474957244e-21,1.80966353013901e-14
"pWeakComp3",9775.660181,40.2290542427984,34.676343599721,1202.44880544591,0,12.5,33.333332,50,100,0.675051045027982,2.16347287357547,3.58006196201053e-14,4.9708493132794e-06
"X2StepReach3",5650.181834,23.2517770946502,17.4194676118301,303.437851879599,0,5.454545,21.818182,38.909092,62.545456,0.179486435409501,1.85407590284232,3.40512724418126e-09,0.007397705560099
"ReachEffic3",13841.268443,57.1953241446281,33.1765367005829,1100.68258744512,0,34.87074,62.7836075,83.5993555,100,-0.428732252874558,2.06366397099723,7.77513282262284e-11,NA
"Broker3",3762,15.4814814814815,61.1617610871674,3740.76101928375,0,0,1.5,8.25,823,10.1363422793715,127.988902145194,2.07618642671037e-30,0
"nBroker3",54.080359,0.26125777294686,0.157064826907977,0.0246693598516327,0,0.184524,0.3,0.355655,0.5,-0.572474038413129,2.21716158118053,6.51770686186336e-12,NA
"EgoBetween3",2477.133331,10.1939643251029,66.7106782807798,4450.31459668171,0,0,0,0,958.5,12.2585118034536,170.532213792739,7.00868875967167e-32,0
"nEgoBetween3",1145.435448,5.53350457971014,12.7492818308703,162.544187202959,0,0,0,0,65.471817,2.64726551629043,9.70242558804562,1.00112418166805e-23,NA
"Degree",1933,7.95473251028807,10.7462278712677,115.481413461211,0,3,4,9,100,4.15419580852125,27.784245595944,6.93490222144214e-24,6.69464483848969e-14
"OutDegree",1021,4.20164609053498,5.03505042838493,25.3517328163793,0,1,3,6,42,2.96277980818744,17.0823924785292,6.82449764099015e-20,1.51854924190786e-08
"InDegree",1060,4.36213991769547,9.47988991271532,89.8683127572017,0,1,1,3.5,92,5.09627763237848,37.3307782931473,5.60719086284372e-27,0
"Clus.Coef",68.525505,0.310070158371041,0.191314188059322,0.0366011185527975,0,0.177778,0.309524,0.416667,1,0.884292823099523,5.01888834871668,9.65759647812307e-09,NA
"Eigenvec",9.41939,0.0387629218106996,0.049793548968207,0.00247939751884923,0,0.006553,0.025149,0.047273,0.396288,3.25900027587846,17.97063224539,3.04360774026918e-21,1.85107262851147e-10
"Power",29193.572839,120.138159831276,377.912121246503,142817.571385031,-231.686462,-28.4710855,0.000122,9.1185485,3640.152832,4.51271580723631,34.5722005986808,3.10466458925556e-25,0
"inCloseness",182.505694,0.751052238683128,0.259898115667874,0.0675470305277114,0.362319,0.7060605,0.710392,1.116389,1.158334,0.0947307260946387,2.12606167548617,8.15179227746207e-16,4.74698058638978e-12
"outCloseness",208.838143,0.859416226337449,0.458100222983508,0.209855814297539,0.362319,0.3656275,0.468651,1.316608,1.403634,0.00858273394055787,1.0263727303493,7.56665554446397e-21,0
"OutdwReach",8945.191161,36.8114862592593,26.4336020156052,698.735315519405,1,3,38.307171,59.87504,83.892883,-0.125689608408409,1.52445313261594,1.26893753122741e-12,7.22194231861373e-07
"IndwReach",9659.389823,39.7505754032922,22.8977567452872,524.307263966343,1,33.7797795,43.739319,53.199974,113.416679,-0.305186726382432,2.8999005112522,3.07475499713888e-11,3.28365422952448e-06
"Betweenness",87630.086207,360.617638711934,1541.80111252536,2377150.67058445,0,0,1,69.124874,16849.94922,7.22336823626418,65.1453063073306,2.59389152558967e-30,0
"Betweenness2",201.428237,0.82892278600823,3.26147541715034,10.637221896676,0,0.000394,0.018207,0.165574,30.638569,6.80129098595841,56.5508881621383,5.892016567986e-30,0
"EffSize",1471.145201,6.05409547736626,9.72728665887053,94.6201057438405,0,1.9642855,3.125,5.447222,95.212959,4.8059176485838,35.0871684461263,1.17337099977971e-25,0
"Efficiency",171.177368,0.704433613168724,0.193724925246236,0.0375293466616597,0,0.611111,0.6875,0.8125,1,-0.87660471656364,5.53369592713434,8.25057991819744e-11,0.0461764097558243
"Constraint",81.597143,0.335790711934156,0.231906931267142,0.0537808247697431,0,0.1835825,0.284657,0.4351435,1,1.40528879396601,4.94668561707251,7.59590593891626e-14,0.000429413134954371
"Hierarchy",29.263221,0.123473506329114,0.248110603270004,0.0615588714550053,0,0.003802,0.024973,0.128033,1,2.96086750173907,10.6557722312795,2.06730966344758e-25,NA
"Indirects",41.578045,0.171103065843621,0.154493793302072,0.0238683321688634,0,0.05,0.141067,0.2455105,0.693054,0.967740753251066,3.30910222561328,2.14964064126575e-11,0.000323988901857697
"wmc",3252,13.3827160493827,32.2801148655498,1042.00581573309,1,3,6,12,399,8.48992156213821,91.7842742718215,2.56163932712842e-29,0
"dit",712,2.93004115226337,2.11626005251475,4.47855660986974,1,1,2,5,8,0.920332342226652,2.43997084990566,1.12119823379112e-16,8.21565038222616e-15
"noc",117,0.481481481481481,2.84203008186506,8.07713498622589,0,0,0,0,35,9.07331757811477,98.508607681341,1.77386831836816e-31,0
"cbo",3049,12.5473251028807,17.0645596884541,291.199197360814,1,5,8,13,162,4.78902350199201,33.6492106973086,3.24256808443799e-25,2.33146835171283e-14
"rfc",9817,40.3991769547325,57.3505344436535,3289.08380097269,2,12,24,45.5,487,4.53690897389033,29.642087550853,1.5357305264145e-24,1.13908882326541e-13
"lcom",46213,190.17695473251,1009.92527215358,1019949.05533449,0,1,4,33,11469,8.24580191868446,79.1432417766173,3.04855885471223e-31,0
"ca",1761,7.24691358024691,14.8667893771676,221.021426385063,0,1,3,6,137,5.0410839390213,34.9500207305688,5.85499697813928e-27,0
"ce",1643,6.76131687242798,7.26424402356417,52.7692412338877,0,2,5,9,48,2.81383620722135,13.5404953634511,8.11943056323663e-20,9.75168863326381e-07
"npm",1882,7.74485596707819,15.941548846581,254.132979627929,0,1,3,8,169,6.11144822178702,51.6651082891168,2.67590636795134e-27,0
"lcom3",242.333158776,0.997255797432099,0.579860723391436,0.336238458532039,0,0.6366666665,0.813131313,1.0669642855,2,0.782143481821484,2.45992379589,1.21561598514238e-15,1.86350934683333e-12
"loc",125050,514.609053497942,1709.18981321667,2921329.81760365,5,70,179,389,23350,10.5468592733059,134.535120137713,1.67690823672879e-30,0
"dam",137.690174027,0.566626230563786,0.460490468250545,0.212051471349606,0,0,0.818181818,1,1,-0.284673618366405,1.2057810100133,4.32005746222279e-20,0
"moa",245,1.0082304526749,1.88949197236036,3.57017991361426,0,0,0,1,16,3.58637802196807,21.9263880992094,7.16126037792377e-24,7.7715611723761e-15
"mfa",144.269896721,0.593703278687243,0.428379600528052,0.183509082148573,0,0,0.80952381,0.98048048,1,-0.531039374562868,1.46594657770472,4.6770405612106e-19,1.42786893420066e-11
"cam",109.628812327,0.451147375831276,0.235433381284936,0.0554288770232578,0.054675365,0.285714286,0.416666667,0.6,1,0.76768084639002,3.16059916904949,7.34513509411352e-09,0.00940072233167621
"ic",171,0.703703703703704,0.954906136762953,0.911845730027548,0,0,0,1,4,1.53350850314718,5.04065771579303,1.03810214905592e-19,3.09974268475344e-12
"cbm",383,1.5761316872428,2.96629939179449,8.79893208176036,0,0,0,2,18,3.04528174926091,13.4614384672572,6.84131030991573e-24,2.22044604925031e-16
"amc",7942.519872432,32.6852669647407,25.4393759806656,647.161850285664,1.714285714,14,26.375,42.40819209,140.6,1.44279442572414,5.31842025037311,4.78366012549435e-13,0.00456955537899317
"max_cc",1663,6.84362139917695,12.5546833007324,157.620072781689,0,1,4,8.5,163,8.52342771297084,101.072127037811,1.96253304147542e-27,0
"avg_cc",437.1923,1.79914526748971,1.49947882789246,2.24843675529776,0,0.8,1.4492,2.2697,8.75,2.00197712067982,8.49107536534917,8.13069532408088e-16,0.000178943736728887
