class,CL,LOC,LOCE,CCMax,CCSum,NMax,n1,n2,n,N1,N2,N,V,L,D,E,T,WMC,DIT,NOC,CBO,RFC,LCOM,Class,Size,Ties,Pairs,Density,AvgDist,Diameter,nWeakComp,pWeakComp,2StepReach,ReachEffic,Broker,nBroker,EgoBetween,nEgoBetween,Size2,Ties2,Pairs2,Density2,AvgDist2,Diameter2,nWeakComp2,pWeakComp2,2StepReach2,ReachEffic2,Broker2,nBroker2,EgoBetween2,nEgoBetween2,Size3,Ties3,Pairs3,Density3,AvgDist3,Diameter3,nWeakComp3,pWeakComp3,2StepReach3,ReachEffic3,Broker3,nBroker3,EgoBetween3,nEgoBetween3,Degree,NrmDegree,Share,OutDegree,InDegree,NrmOutDeg,NrmInDeg,Clus Coef,nPairs,Eigenvec,nEigenvec,Power,Normalized Power,inFarness,outFarness,inCloseness,outCloseness,OutdwReach,IndwReach,nOutdwReach,nIndwReach,Betweenness,nBetweenness,Betweenness2,EffSize,Efficiency,Constraint,Hierarchy,Indirectsfile,blocker,critical,major,normal,minor,trivial,enhancement,high,middle,low,non
main\org\apache\tools\ant\taskdefs\optional\sitraka\Triggers.java,111,65,34,3,5,2,20,16,36,45,31,76,337.535551,0.405192875,10.67442722,2163.843758,6.678530119,5,1,0,5,13,2,main\org\apache\tools\ant\taskdefs\optional\sitraka\Triggers.java-->Triggers,1,0,0,,0,0,1,100,1.610542,100,0,,0,,1,0,0,,0,0,1,100,1.610542,100,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.146413,0.000245,0,1,0,0.146413,,0,0.002095,0.296316,-0.000013,-0.000005,466489,467172,0.146413,0.146199,1,2,0.001462,0.002924,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
main\org\apache\tools\ant\BuildException.java,174,63,28,2,16,1,77,44,121,116,77,193,737.9625134,121.1024878,20.51849461,2576.637877,7.95258604,16,4,1,5,51,66,main\org\apache\tools\ant\BuildException.java-->BuildException,306,833,93330,0.892532,,,26,8.496732,78.477303,20.64715,46248.5,0.495537,232,0.24858,305,827,92720,0.891933,,,26,8.52459,78.477303,20.710974,45946.5,0.49554,0,0,1,0,0,,0,0,1,100,1.171303,100,0,,0,,306,44.802341,0.074853,1,305,0.146413,44.65593,0.008925,46665,0.473337,66.939964,0.999906,0.362595,132711,466489,0.514652,0.146413,2,394.500061,0.002924,0.576754,374.883331,0.080481,51.311584,301.047394,0.983815,0.018611,0.409196,0.552527,0,0,0,1,0,0,0,0,1,0,0
testcases\org\apache\tools\ant\ProjectTest.java,171,123,90,2,10,1,56,122,178,376,291,667,3311.743604,0.99365108,97.1320493,97333.22001,300.4111729,10,2,0,26,34,12,testcases\org\apache\tools\ant\ProjectTest.java-->DummyTaskPackage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,467172,467172,0.146199,0.146199,1,1,0.001462,0.001462,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1
testcases\org\apache\tools\ant\ProjectTest.java,171,123,90,2,10,1,56,122,178,376,291,667,3311.743604,0.99365108,97.1320493,97333.22001,300.4111729,10,2,0,26,34,12,testcases\org\apache\tools\ant\ProjectTest.java-->ProjectTest,5,3,20,15,,,2,40,49.048317,80.722893,8.5,0.425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,20,15,,,2,40,49.048317,80.722893,8.5,0.425,0,0,5,0.732064,0.001223,5,0,0.732064,0,0.15,10,0.026081,3.688466,9.950912,3.60849,467172,431147,0.146199,0.158415,17.903572,1,0.026175,0.001462,0,0,0.057132,4,0.8,0.251621,0.019115,0.113169,0,0,0,0,0,0,0,0,0,0,1
testcases\org\apache\tools\ant\ProjectTest.java,171,123,90,2,10,1,56,122,178,376,291,667,3311.743604,0.99365108,97.1320493,97333.22001,300.4111729,10,2,0,26,34,12,testcases\org\apache\tools\ant\ProjectTest.java-->DummyTaskPackage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,467172,467172,0.146199,0.146199,1,1,0.001462,0.001462,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1
testcases\org\apache\tools\ant\ProjectTest.java,171,123,90,2,10,1,56,122,178,376,291,667,3311.743604,0.99365108,97.1320493,97333.22001,300.4111729,10,2,0,26,34,12,testcases\org\apache\tools\ant\ProjectTest.java-->ProjectTest,5,3,20,15,,,2,40,49.048317,80.722893,8.5,0.425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,20,15,,,2,40,49.048317,80.722893,8.5,0.425,0,0,5,0.732064,0.001223,5,0,0.732064,0,0.15,10,0.026081,3.688466,9.950912,3.60849,467172,431147,0.146199,0.158415,17.903572,1,0.026175,0.001462,0,0,0.057132,4,0.8,0.251621,0.019115,0.113169,0,0,0,0,0,0,0,0,0,0,1
main\org\apache\tools\ant\input\PropertyFileInputHandler.java,59,36,23,4,8,2,29,33,62,83,53,136,674.5065451,0.265005424,16.1354008,5637.437104,17.39949723,8,1,0,8,19,2,main\org\apache\tools\ant\input\PropertyFileInputHandler.java-->PropertyFileInputHandler,5,1,20,5,,,4,80,45.973644,97.213623,9.5,0.475,5,25,3,0,6,0,,,3,100,1.464129,71.428574,3,0.5,0,0,2,0,2,0,,,2,100,45.241581,100,1,0.5,0,0,5,0.732064,0.001223,2,3,0.292826,0.439239,0.05,10,0.02054,2.904835,2.214964,0.80321,465123,465124,0.146843,0.146843,3.5,4,0.005117,0.005848,4.166667,0.000895,0.26558,4.6,0.92,0.217862,0.007499,0.040654,0,0,0,1,0,0,0,0,1,0,0
main\org\apache\tools\ant\util\JavaEnvUtils.java,300,161,122,5,29,2,72,77,149,230,165,395,1952.180675,4.383542293,79.76943769,58576.81708,180.7926453,29,1,0,8,22,32,main\org\apache\tools\ant\util\JavaEnvUtils.java-->JavaEnvUtils,25,10,600,1.666667,,,16,64,18.008785,57.209301,295,0.491667,18,3,25,10,600,1.666667,,,16,64,18.008785,57.209301,295,0.491667,18,3,1,0,0,,0,0,1,100,6.734993,100,0,,0,,25,3.660322,0.006115,1,25,0.146413,3.660322,0.016667,300,0.03303,4.671119,4.184633,1.51747,171128,439291,0.399116,0.155478,12.82619,150.752319,0.018752,0.220398,443.111115,0.095128,0.332753,24.115385,0.964615,0.054471,0.102968,0.093146,1,0,0,0,0,0,0,1,0,0,0
main\org\apache\tools\ant\Task.java,316,115,59,5,31,4,79,50,129,91,68,159,566.2406624,42.45256991,16.70486173,775.7767315,2.394372628,31,2,105,8,71,230,main\org\apache\tools\ant\Task.java-->Task,165,356,27060,1.315595,,,8,4.848485,61.639824,26.263256,13352,0.493422,835.476196,3.087495,162,174,26082,0.667127,,,55,33.950619,46.266472,26.576956,12954,0.496664,629,2.411625,6,5,30,16.666666,,,2,33.333332,48.169838,74.943054,12.5,0.416667,10,33.333332,165,24.158127,0.040362,6,162,0.878477,23.718887,0.013156,13530,0.289797,40.983521,14.71076,5.33455,246899,433895,0.276631,0.157411,16.378971,219.999924,0.023946,0.321637,3787.677002,0.813145,12.339996,160.800598,0.974549,0.037144,0.589085,0.422242,0,0,0,8,1,0,0,0,8,1,0
testcases\org\apache\tools\ant\MockBuildListener.java,39,31,14,2,11,1,57,52,109,104,77,181,783.3773821,1.317243571,74.6507497,5997.37291,18.51041022,11,2,0,4,26,40,testcases\org\apache\tools\ant\MockBuildListener.java-->MockBuildListener,3,2,6,33.333332,,,1,33.333332,12.737921,89.69072,2,0.333333,1,16.666666,1,0,0,,0,0,1,100,0.732064,100,0,,0,,2,1,2,50,,,1,50,12.445095,92.391304,0.5,0.25,0,0,3,0.439239,0.000734,2,1,0.292826,0.146413,0.333333,3,0.007728,1.092859,6.576351,2.384776,466489,433190,0.146413,0.157668,15.386904,2,0.022495,0.002924,8.5,0.001825,0.001054,2,0.666667,0.405132,0.021159,0.096158,0,0,0,1,0,0,0,0,1,0,0
