class,CL,LOC,LOCE,CCMax,CCSum,NMax,n1,n2,n,N1,N2,N,V,L,D,E,T,WMC,DIT,NOC,CBO,RFC,LCOM,Class,Size,Ties,Pairs,Density,AvgDist,Diameter,nWeakComp,pWeakComp,2StepReach,ReachEffic,Broker,nBroker,EgoBetween,nEgoBetween,Size2,Ties2,Pairs2,Density2,AvgDist2,Diameter2,nWeakComp2,pWeakComp2,2StepReach2,ReachEffic2,Broker2,nBroker2,EgoBetween2,nEgoBetween2,Size3,Ties3,Pairs3,Density3,AvgDist3,Diameter3,nWeakComp3,pWeakComp3,2StepReach3,ReachEffic3,Broker3,nBroker3,EgoBetween3,nEgoBetween3,Degree,NrmDegree,Share,OutDegree,InDegree,NrmOutDeg,NrmInDeg,Clus Coef,nPairs,Eigenvec,nEigenvec,Power,Normalized Power,inFarness,outFarness,inCloseness,outCloseness,OutdwReach,IndwReach,nOutdwReach,nIndwReach,Betweenness,nBetweenness,Betweenness2,EffSize,Efficiency,Constraint,Hierarchy,Indirectsfile,blocker,critical,major,minor,trivial,high,middle,low,non
test\java\org\apache\hadoop\hbase\io\hfile\TestCachedBlockQueue.java,109,85,74,1,2,0,20,108,128,409,352,761,4567.222516,0.035496985,112.6863417,257293.7544,794.116526,2,2,0,5,24,1,test\java\org\apache\hadoop\hbase\io\hfile\TestCachedBlockQueue.java,2,1,2,50,,,1,50,0.686106,66.666664,0.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,50,,,1,50,0.686106,66.666664,0.5,0.25,0,0,2,0.343053,0.000332,2,0,0.343053,0,0.5,1,0.000035,0.004897,2.347562,0.454227,340472,208544,0.171233,0.279557,34.124882,1,0.058433,0.001712,0,0,0,1,0.5,0.953125,0.023586,0.375,1,0,0,0,0,1,0,0,0
main\java\org\apache\hadoop\hbase\io\hfile\CachedBlockQueue.java,65,40,23,4,9,3,41,27,68,102,64,166,752.8349669,0.619890545,15.47988995,4285.166862,13.22582365,9,1,0,4,17,1,main\java\org\apache\hadoop\hbase\io\hfile\CachedBlockQueue.java,2,1,2,50,,,1,50,0.686106,66.666664,0.5,0.25,0,0,1,0,0,,0,0,1,100,0.343053,100,0,,0,,1,0,0,,0,0,1,100,0.686106,100,0,,0,,2,0.343053,0.000332,1,1,0.171527,0.171527,0.5,1,0.000035,0.004897,0.67712,0.131015,339889,209127,0.171527,0.278778,33.124886,2,0.056721,0.003425,0,0,0,1,0.5,0.953125,0.023586,0.375,1,0,0,0,0,1,0,0,0
main\java\org\apache\hadoop\hbase\io\hfile\CachedBlock.java,75,52,22,3,12,1,46,35,81,104,61,165,740.7411405,0.806456409,22.10215593,3860.4554,11.9149858,12,1,1,6,21,20,main\java\org\apache\hadoop\hbase\io\hfile\CachedBlock.java,4,1,12,8.333333,,,3,75,2.401372,77.777779,5.5,0.458333,3,25,3,1,6,16.666666,,,2,66.666664,1.200686,77.777779,2.5,0.416667,0,0,1,0,0,,0,0,1,100,1.543739,100,0,,0,,4,0.686106,0.000664,1,3,0.171527,0.51458,0.083333,6,0.001117,0.158004,-0.326173,-0.063111,84065,209483,0.693511,0.278304,38.078266,94.065445,0.065203,0.161071,455,0.134097,0.650958,3.5,0.875,0.40625,0.054754,0.25,1,0,0,0,0,1,0,0,0
test\java\org\apache\hadoop\hbase\zookeeper\TestZooKeeperNodeTracker.java,261,190,121,2,5,1,27,99,126,379,304,683,4256.42814,0.141937559,28.38444688,64175.56628,198.0727354,5,1,0,22,74,0,test\java\org\apache\hadoop\hbase\zookeeper\TestZooKeeperNodeTracker.java,8,21,56,37.5,,,1,12.5,59.176674,52.272728,17.5,0.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,21,56,37.5,,,1,12.5,59.176674,52.272728,17.5,0.3125,0,0,8,1.372213,0.001329,8,0,1.372213,0,0.375,28,0.030295,4.284417,17.95228,3.473562,340472,208112,0.171233,0.280138,80.174248,1,0.137285,0.001712,0,0,0.019875,4.75,0.59375,0.168315,0.008432,0.155338,1,0,3,1,0,1,3,1,0
test\java\org\apache\hadoop\hbase\HBaseTestingUtility.java,1203,647,407,6,128,4,740,882,1622,2164,1449,3613,18985.07551,20.02091113,315.0657959,145450.4398,448.9211104,128,1,0,60,685,2255,test\java\org\apache\hadoop\hbase\HBaseTestingUtility.java,101,606,10100,6,,,2,1.980198,78.044594,17.015707,4747,0.47,1936.026611,19.168581,71,44,4970,0.885312,,,37,52.112675,44.939964,27.724867,2463,0.495573,160.5,3.229376,33,165,1056,15.625,,,1,3.030303,73.413376,22.15321,445.5,0.421875,502.491669,47.584438,101,17.324184,0.016777,33,71,5.660378,12.178388,0.06,5050,0.191556,27.090055,15.327705,2.965737,83035,208494,0.702114,0.279624,113.703644,199.283173,0.194698,0.341238,48737.05469,14.363747,3.928249,91.548073,0.906417,0.032619,0.174061,0.51709,1,1,5,1,0,2,5,1,0
main\java\org\apache\hadoop\hbase\util\Bytes.java,1215,647,408,7,146,3,1122,653,1775,2681,1498,4179,21015.8191,65.38596705,667.0217819,387038.8755,1194.564431,146,1,0,27,80,2305,main\java\org\apache\hadoop\hbase\util\Bytes.java,230,1278,52670,2.426429,,,9,3.913043,83.361923,12.776025,25696,0.487868,2552.137451,4.845524,230,1278,52670,2.426429,,,9,3.913043,83.361923,12.776025,25696,0.487868,2552.137451,4.845524,2,1,2,50,,,1,50,47.512863,82.195847,0.5,0.25,1,50,230,39.451115,0.038206,2,230,0.343053,39.451115,0.024264,26335,0.313809,44.379341,1.926597,0.372775,82459,209195,0.707018,0.278687,48.338009,330.583374,0.082771,0.566067,6987.019043,2.059209,25.077917,220.713364,0.959623,0.018857,0.226945,0.611767,0,0,4,0,0,0,4,0,0
main\java\org\apache\hadoop\hbase\util\Threads.java,100,56,30,4,15,2,88,59,147,163,99,262,1205.229237,2.47675093,30.192531,7309.792141,22.56108685,15,1,0,8,18,21,main\java\org\apache\hadoop\hbase\util\Threads.java,16,40,240,16.666666,,,1,6.25,54.888508,43.360435,100,0.416667,0.5,0.208333,15,25,210,11.904762,,,1,6.666667,42.024014,47.665371,92.5,0.440476,0,0,1,0,0,,0,0,1,100,38.421955,100,0,,0,,16,2.744425,0.002658,1,15,0.171527,2.572899,0.166667,120,0.042086,5.951803,-1.323616,-0.256105,83089,209264,0.701657,0.278595,45.675751,166.866638,0.078212,0.285731,3.394444,0.001,0.134682,12.71875,0.794922,0.08974,0.028732,0.176169,1,0,0,0,0,1,0,0,0
test\java\org\apache\hadoop\hbase\master\TestActiveMasterManager.java,224,156,93,4,9,1,36,97,133,279,241,520,3001.220147,0.389055854,29.83459713,38279.62239,118.1469827,9,1,0,13,76,4,test\java\org\apache\hadoop\hbase\master\TestActiveMasterManager.java,8,24,56,42.857143,,,1,12.5,46.140652,57.478634,16,0.285714,7,12.5,2,1,2,50,,,1,50,2.058319,63.157894,0.5,0.25,0,0,6,15,30,50,,,1,16.666666,46.140652,59.910912,7.5,0.25,0,0,8,1.372213,0.001329,6,2,1.02916,0.343053,0.428571,28,0.02288,3.235764,13.973638,2.70374,83866,208695,0.695157,0.279355,78.840904,101.145149,0.135002,0.173194,424.404724,0.12508,0.003241,4.4375,0.554688,0.193002,0.010541,0.235779,2,0,0,1,0,2,0,1,0
main\java\org\apache\hadoop\hbase\zookeeper\ZooKeeperWatcher.java,360,193,118,10,41,4,134,193,327,499,323,822,4425.888089,9.770570468,49.64070012,29385.41424,90.69572296,41,1,0,21,39,108,main\java\org\apache\hadoop\hbase\zookeeper\ZooKeeperWatcher.java,34,129,1122,11.497326,,,2,5.882353,55.74614,35.249458,496.5,0.442513,190.902374,17.014473,32,117,992,11.794354,,,2,6.25,55.403088,36.089386,437.5,0.441028,137.616669,13.872648,7,11,42,26.190475,,,1,14.285714,44.596912,62.650604,15.5,0.369048,29.5,70.238098,34,5.831904,0.005648,7,32,1.200686,5.488851,0.114973,561,0.056095,7.932963,0.720337,0.139377,82797,208883,0.704132,0.279104,64.808456,208.999741,0.110973,0.357876,11430.76563,3.368866,0.56836,27.551281,0.810332,0.078695,0.140815,0.456215,1,1,5,0,0,2,5,0,0
main\java\org\apache\hadoop\hbase\zookeeper\ZooKeeperNodeTracker.java,149,93,51,4,23,3,94,69,163,197,107,304,1487.898361,1.630936247,28.89407882,8968.399298,27.68024475,23,2,6,8,41,20,main\java\org\apache\hadoop\hbase\zookeeper\ZooKeeperNodeTracker.java,15,49,210,23.333334,,,1,6.666667,47.855919,51.192661,80.5,0.383333,10.75,5.119048,11,14,110,12.727273,,,1,9.090909,47.512863,61.555557,48,0.436364,0,0,4,9,12,75,1.25,2,1,25,8.919382,54.736843,1.5,0.125,0,0,15,2.572899,0.002492,4,11,0.686106,1.886792,0.233333,105,0.02812,3.976763,0.732186,0.14167,82869,209091,0.70352,0.278826,52.478489,190.499741,0.08986,0.326198,646.39093,0.190504,0.048111,11.066667,0.737778,0.137936,0.074614,0.37155,1,0,6,0,0,1,6,0,0
